ablation,argv,balance_comp,balance_kd_pitch,balance_kd_roll,balance_kp_pitch,balance_kp_roll,balance_max_rad,base_height_mean_m,best_mapping,best_mapping_r,cap_effort_target,cap_runtime_gains,clip,clip_archive,cmd_jump_rad,contact_rule,contact_threshold_n,decimation,dt,duty,duty_bare_threshold,duty_per_leg,fall_height_m,flight_frac,gain_writes,ground_friction_mu,handover_ang_dps,handover_feet_loaded,handover_speed_mps,hip_offset_rad_max,hip_sign,mode_requested,mode_used,n_cycles,n_steps,phys_dt,plant_comp,plant_comp_alpha,rate,run_utc,settle_mode,start_feet_down,start_foot_spread_m,start_frame,start_phase,stride_cv,stride_hz,stride_hz_bare_threshold,switch_after_cycles,switch_step,switch_t_s,term_reason,terminated_s,then_clip,torque_saturated_frac,verdict,via_clip,vx_mean,vy_mean,yaw_rate_deg_s
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --balance-comp off --balance-kp-roll 0 --balance-kd-roll 0 --results-csv outputs/balance_comp.csv --trace-npz outputs/traces/balance/TROT_off.npz,off,0.0,0.0,0.0,0.0,0.0,0.32432231307029724,identity,0.5995747037231922,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.020090821531248082,0.45918367346938777,0.4744897959183674,"[0.3673469387755102, 0.6122448979591837, 0.30612244897959184, 0.5510204081632653]",0.15,0.030612244897959183,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,1,98,0.0050227053828120205,off,0.0,lo,2026-08-28T09:31:38Z,stand,2,0.014293946325778961,16,level,0.0,1.555436643115643,1.555436643115643,,,,roll,1.948809688531064,,0.006802721088435374,FAIL,,0.3830695152282715,-0.21615459024906158,-1.7226946353912354
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --balance-comp pd --balance-kp-roll 0.5 --balance-kd-roll 0.05 --results-csv outputs/balance_comp.csv --trace-npz outputs/traces/balance/TROT_pos05.npz,pd,0.0,0.05,0.0,0.5,0.3,0.3263273239135742,identity,0.49251067638397217,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.020090821531248082,0.5090579710144928,0.5172101449275363,"[0.4057971014492754, 0.5036231884057971, 0.4601449275362319, 0.6666666666666666]",0.15,0.010869565217391304,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,8,276,0.0050227053828120205,off,0.0,lo,2026-08-28T09:32:06Z,stand,2,0.014293946325778961,16,level,0.6814744782146784,1.9519204933215912,1.9519204933215912,,,,roll,5.5249759210932226,,0.0,FAIL,,0.3034478425979614,-0.03637586906552315,1.8552701473236084
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --balance-comp pd --balance-kp-roll -0.5 --balance-kd-roll -0.05 --results-csv outputs/balance_comp.csv --trace-npz outputs/traces/balance/TROT_neg05.npz,pd,0.0,-0.05,0.0,-0.5,0.3,0.31472334265708923,identity + hip sign flipped,0.5948030725121498,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.020090821531248082,0.5171428571428571,0.5285714285714286,"[0.53, 0.5285714285714286, 0.44857142857142857, 0.5614285714285714]",0.15,0.002857142857142857,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,29,700,0.0050227053828120205,off,0.0,lo,2026-08-28T09:32:35Z,stand,2,0.014293946325778961,16,level,0.38742980565281976,2.3701891704619324,4.977397257970058,,,,roll,14.04348425034241,,0.0,FAIL,,0.584151029586792,-0.02915339544415474,6.072857856750488
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --balance-comp pd --balance-kp-roll 0.25 --balance-kd-roll 0.025 --results-csv outputs/balance_comp.csv --trace-npz outputs/traces/balance/TROT_k0.25.npz,pd,0.0,0.025,0.0,0.25,0.3,0.32056063413619995,identity,0.561954143922776,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.020090821531248082,0.4722222222222222,0.48055555555555557,"[0.35555555555555557, 0.5888888888888889, 0.3111111111111111, 0.6333333333333333]",0.15,0.03333333333333333,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,1,90,0.0050227053828120205,off,0.0,lo,2026-08-28T09:33:53Z,stand,2,0.014293946325778961,16,level,0.0,1.555436643115643,2.619682767352662,,,,roll,1.7880831162810793,,0.007407407407407408,FAIL,,0.3578684628009796,-0.29365426301956177,11.019789695739746
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --balance-comp pd --balance-kp-roll 0.5 --balance-kd-roll 0.05 --results-csv outputs/balance_comp.csv --trace-npz outputs/traces/balance/TROT_k0.5.npz,pd,0.0,0.05,0.0,0.5,0.3,0.31472334265708923,identity + hip sign flipped,0.5948030725121498,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.020090821531248082,0.5171428571428571,0.5285714285714286,"[0.53, 0.5285714285714286, 0.44857142857142857, 0.5614285714285714]",0.15,0.002857142857142857,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,29,700,0.0050227053828120205,off,0.0,lo,2026-08-28T09:34:22Z,stand,2,0.014293946325778961,16,level,0.38742980565281976,2.3701891704619324,4.977397257970058,,,,roll,14.04348425034241,,0.0,FAIL,,0.584151029586792,-0.02915339544415474,6.072857856750488
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --balance-comp pd --balance-kp-roll 1.0 --balance-kd-roll 0.1 --results-csv outputs/balance_comp.csv --trace-npz outputs/traces/balance/TROT_k1.0.npz,pd,0.0,0.1,0.0,1.0,0.3,0.3051261305809021,identity,0.4869240429252386,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.020090821531248082,0.47058823529411764,0.4681372549019608,"[0.3235294117647059, 0.5686274509803921, 0.27450980392156865, 0.7156862745098039]",0.15,0.029411764705882353,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,1,102,0.0050227053828120205,off,0.0,lo,2026-08-28T09:34:54Z,stand,2,0.014293946325778961,16,level,0.0,1.6591324193233525,16.591324193233525,,,,roll,2.0291729746560563,,0.0,FAIL,,0.26997295022010803,-0.17225638031959534,-16.09317398071289
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --balance-comp pd --balance-kp-roll 2.0 --balance-kd-roll 0.2 --results-csv outputs/balance_comp.csv --trace-npz outputs/traces/balance/TROT_k2.0.npz,pd,0.0,0.2,0.0,2.0,0.3,0.3103024363517761,identity,0.4966509019335111,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.020090821531248082,0.4494949494949495,0.4722222222222222,"[0.26262626262626265, 0.5252525252525253, 0.26262626262626265, 0.7474747474747475]",0.15,0.010101010101010102,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,0,99,0.0050227053828120205,off,0.0,lo,2026-08-28T09:35:23Z,stand,2,0.014293946325778961,16,level,nan,nan,4.977397257970058,,,,roll,1.968900510062312,,0.0,FAIL,,0.19272646307945251,-0.14238367974758148,-13.049432754516602
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --balance-comp pd --balance-kp-roll 0.4 --balance-kd-roll 0.15 --results-csv outputs/balance_comp.csv --trace-npz outputs/traces/balance/TROT_kp0.4_kd0.15.npz,pd,0.0,0.15,0.0,0.4,0.3,0.3093687891960144,identity + hip sign flipped,0.4722481250452499,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.020090821531248082,0.4738372093023256,0.4680232558139535,"[0.3023255813953488, 0.5581395348837209, 0.3023255813953488, 0.7325581395348837]",0.15,0.0,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,0,86,0.0050227053828120205,off,0.0,lo,2026-08-28T09:36:09Z,stand,2,0.014293946325778961,16,level,nan,nan,2.927880739982387,,,,roll,1.707719830156087,,0.0,FAIL,,0.28412961959838867,-0.1207030862569809,3.1520838737487793
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --balance-comp pd --balance-kp-roll 0.4 --balance-kd-roll 0.30 --results-csv outputs/balance_comp.csv --trace-npz outputs/traces/balance/TROT_kp0.4_kd0.30.npz,pd,0.0,0.3,0.0,0.4,0.3,0.3125499486923218,identity,0.48908272963793326,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.020090821531248082,0.4274193548387097,0.4596774193548387,"[0.27956989247311825, 0.46236559139784944, 0.27956989247311825, 0.6881720430107527]",0.15,0.053763440860215055,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,0,93,0.0050227053828120205,off,0.0,lo,2026-08-28T09:36:38Z,stand,2,0.014293946325778961,16,level,nan,nan,4.977397257970058,,,,roll,1.8483555808748235,,0.0,FAIL,,0.2252604216337204,-0.10587040334939957,-8.555366516113281
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --balance-comp pd --balance-kp-roll 0.5 --balance-kd-roll 0.15 --results-csv outputs/balance_comp.csv --trace-npz outputs/traces/balance/TROT_kp0.5_kd0.15.npz,pd,0.0,0.15,0.0,0.5,0.3,0.3077644109725952,identity + hip sign flipped,0.47113997366977856,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.020090821531248082,0.4511494252873563,0.45689655172413796,"[0.2988505747126437, 0.5287356321839081, 0.2988505747126437, 0.6781609195402298]",0.15,0.022988505747126436,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,0,87,0.0050227053828120205,off,0.0,lo,2026-08-28T09:37:07Z,stand,2,0.014293946325778961,16,level,nan,nan,1.555436643115643,,,,roll,1.727810651687335,,0.0,FAIL,,0.2820916771888733,-0.13248157501220703,0.9825760126113892
