task,task_name,level,episode,goals,settle_ok,heading,heading_cap_rad,final_x_m,final_y_m,travelled_m,dist_to_next_goal_m,dist_to_last_goal_m,alive_at_end,switches,refused_ticks,steps_alive,frac_WALK,frac_TROT,frac_TURN,yaw_moment,yaw_moment_gain,partial,skill,start_phase,foot_comp,steps
0,jump_on_and_off_box,0,0,1,1,heading-only,0.02,1.5407538414001465,1.500106692314148,0.7364156679879351,1.2189725624648329,17.066568864853092,0,,,,,,,off,5.0,0,TROT,first,on,1000
0,jump_on_and_off_box,1,0,1,1,heading-only,0.02,1.519864654541017,1.5465179681777954,0.6898588349993395,1.1314081827736802,16.736280190967214,0,,,,,,,off,5.0,0,TROT,first,on,1000
0,jump_on_and_off_box,2,0,1,1,heading-only,0.02,1.298793029785159,2.570716381072998,0.644200638212393,1.5140798900163746,16.660984687363364,0,,,,,,,off,5.0,0,TROT,first,on,1000
0,jump_on_and_off_box,3,0,1,1,heading-only,0.02,1.3364685058593864,2.5879435539245605,0.6774132254663253,1.2782620681020307,16.124254241212615,0,,,,,,,off,5.0,0,TROT,first,on,1000
0,jump_on_and_off_box,4,0,1,1,heading-only,0.02,1.2617553710937557,2.5757296085357666,0.6324400813050804,1.465221483032126,16.098542785658434,0,,,,,,,off,5.0,0,TROT,first,on,1000
0,jump_on_and_off_box,5,0,1,1,heading-only,0.02,1.2237091064453125,2.6232144832611084,0.6621495725687441,1.4250656269103479,15.83855674420996,0,,,,,,,off,5.0,0,TROT,first,on,1000
0,jump_on_and_off_box,6,0,1,1,heading-only,0.02,1.1351715087890852,2.6240673065185547,0.6385384403883931,1.5072041296521363,15.777175836009464,0,,,,,,,off,5.0,0,TROT,first,on,1000
0,jump_on_and_off_box,7,0,1,1,heading-only,0.02,1.261248779296892,2.5309391021728516,0.5917324183279381,1.3042703339112738,15.297967519208765,0,,,,,,,off,5.0,0,TROT,first,on,1000
0,jump_on_and_off_box,8,0,1,1,heading-only,0.02,1.2055786132812614,2.5899858474731445,0.6247766532587874,1.5142610673862869,15.355759538147579,0,,,,,,,off,5.0,0,TROT,first,on,1000
0,jump_on_and_off_box,9,0,1,1,heading-only,0.02,1.398626708984409,1.5413256883621216,0.6076885528560024,1.203911370804709,14.658551137027214,0,,,,,,,off,5.0,0,TROT,first,on,1000
1,forward_ramp_lips,0,0,1,1,heading-only,0.02,1.3205759525299072,2.5849023818969723,0.6669930567023985,1.2676689041158735,12.942647217460834,0,,,,,,,off,5.0,0,TROT,first,on,1000
1,forward_ramp_lips,1,0,1,1,heading-only,0.02,1.2899299621582045,2.62281379699707,0.6869908359555936,1.3904948318626529,12.925084348185525,0,,,,,,,off,5.0,0,TROT,first,on,1000
1,forward_ramp_lips,2,0,1,1,heading-only,0.02,1.4235260009765653,2.58525333404541,0.7224235174151445,1.3153962275513733,12.839819185355978,0,,,,,,,off,5.0,0,TROT,first,on,1000
1,forward_ramp_lips,3,0,1,1,heading-only,0.02,1.6142318725586051,1.670538520812988,0.6970119507834457,1.0634146537007931,12.889979251358499,0,,,,,,,off,5.0,0,TROT,first,on,1000
1,forward_ramp_lips,4,0,1,1,heading-only,0.02,1.1838592529296932,2.610796546936035,0.6378688318430746,1.5179493120341714,13.03046401204856,0,,,,,,,off,5.0,0,TROT,first,on,1000
1,forward_ramp_lips,5,0,1,1,heading-only,0.02,1.4202117919921875,2.6235071182250973,0.7518903354922517,1.2897270965572893,11.446782063374478,0,,,,,,,off,5.0,0,TROT,first,on,1000
1,forward_ramp_lips,6,0,1,1,heading-only,0.02,1.3704162597656477,2.6263223648071286,0.7276591991834953,1.4023843106318659,13.244401294302834,0,,,,,,,off,5.0,0,TROT,first,on,1000
1,forward_ramp_lips,7,0,1,1,heading-only,0.02,1.004901123046892,2.4388080596923825,0.4388354295839321,1.6556936460532201,13.60217872207914,0,,,,,,,off,5.0,0,TROT,first,on,1000
1,forward_ramp_lips,8,0,1,1,heading-only,0.02,1.2916076660156364,2.570199584960937,0.6404393785275168,1.225544565730459,12.471434044013142,0,,,,,,,off,5.0,0,TROT,first,on,1000
