task,task_name,level,episode,goals,settle_ok,heading,heading_cap_rad,final_x_m,final_y_m,travelled_m,dist_to_next_goal_m,dist_to_last_goal_m,alive_at_end,switches,refused_ticks,steps_alive,frac_WALK,frac_TROT,frac_TURN,yaw_moment,yaw_moment_gain,partial,skill,start_phase,foot_comp,steps
0,jump_on_and_off_box,0,0,1,1,heading-only,0.04,1.3554807901382446,2.652097702026367,0.7426964421251656,1.4341033307350342,17.25684427096331,0,,,,,,,off,5.0,0,WALK,first,on,1000
0,jump_on_and_off_box,1,0,1,1,heading-only,0.04,1.5019470214843764,2.628748893737793,0.804534638007299,1.2226771136258643,16.75985094631043,0,,,,,,,off,5.0,0,WALK,first,on,1000
0,jump_on_and_off_box,2,0,1,1,heading-only,0.04,1.4306747436523466,2.671725273132324,0.7979320631386547,1.4470638559561975,16.532976796922274,0,,,,,,,off,5.0,0,WALK,first,on,1000
0,jump_on_and_off_box,3,0,1,1,heading-only,0.04,1.4699905395507926,2.440537929534912,0.6441775955636398,1.0977801122929463,15.986080696137035,1,,,,,,,off,5.0,0,WALK,first,on,1000
0,jump_on_and_off_box,4,0,1,1,heading-only,0.04,1.6827453613281307,2.1352293491363525,0.6960087681077884,0.9458250463543789,15.667838232821172,1,,,,,,,off,5.0,0,WALK,first,on,1000
0,jump_on_and_off_box,5,0,1,1,heading-only,0.04,1.6809234619140625,2.158034086227417,0.6990218404275838,0.8600582054207244,15.36988901735968,1,,,,,,,off,5.0,0,WALK,first,on,1000
0,jump_on_and_off_box,6,0,1,1,heading-only,0.04,1.6450286865234602,2.0153441429138184,0.6452111663323411,0.8393163548905402,15.254979030392473,1,,,,,,,off,5.0,0,WALK,first,on,1000
0,jump_on_and_off_box,7,0,1,1,heading-only,0.04,1.6468231201172046,2.038789749145508,0.6479851798898854,0.8183228531899744,14.903227360464959,1,,,,,,,off,5.0,0,WALK,first,on,1000
0,jump_on_and_off_box,8,0,1,1,heading-only,0.04,1.4516113281250114,2.5275683403015137,0.6944646466014885,1.2648533771938566,15.107603014399466,1,,,,,,,off,5.0,0,WALK,first,on,1000
0,jump_on_and_off_box,9,0,1,1,heading-only,0.04,1.106848144531284,2.69301438331604,0.7012028675588039,1.5983975769064163,14.959213091305351,0,,,,,,,off,5.0,0,WALK,first,on,1000
1,forward_ramp_lips,0,0,1,1,heading-only,0.04,1.2775219678878784,2.540602302551269,0.6076753180639268,1.2842035218548826,12.983737410436,0,,,,,,,off,5.0,0,WALK,first,on,1000
1,forward_ramp_lips,1,0,1,1,heading-only,0.04,1.657132720947267,1.995682334899902,0.6571469053198647,0.8466160991958837,12.542868022193476,1,,,,,,,off,5.0,0,WALK,first,on,1000
1,forward_ramp_lips,2,0,1,1,heading-only,0.04,1.6630279541015653,1.9210725784301754,0.6677092224881788,0.9280055276915297,12.587219503214532,1,,,,,,,off,5.0,0,WALK,first,on,1000
