task,task_name,level,episode,goals,settle_ok,heading,heading_cap_rad,final_x_m,final_y_m,travelled_m,dist_to_next_goal_m,dist_to_last_goal_m,alive_at_end,end_cause,upright_s,yaw_cum_deg,yaw_rate_deg_s,base_h_max_m,vx_mean_ms,vy_mean_ms,cross_track_m,curvature_rad_m,fell,episode_s,end_roll_deg,end_pitch_deg,peak_roll_deg,peak_pitch_deg,switches,refused_ticks,steps_alive,frac_WALK,frac_TROT,frac_TURN,yaw_moment,yaw_moment_gain,terrain,planner_set,perception,turn_target,swing_lift_mm,foot_yaw_turn,roll_couple,roll_gain,roll_damp,roll_cap_nm,roll_sign,partial,skill,start_phase,foot_comp,steps,terrain_seed,measurement_seed,episode_length_s,episodes,num_envs,rate,gutter,spawn_z,settle_s,foot_clip_rad,steering,cmd_mean_feet_down,cmd_frac_below_3_feet
0,jump_on_and_off_box,0,0,1,1,heading-only,0.04,1.3974765539169312,2.594897747039795,0.7154655409918097,1.2824992141475366,16.713114395479607,0,roll,6.94,33.14369842894865,4.77574905316263,0.32659009099006653,0.05727327866238201,0.08572013646106555,0.5948977470397949,1.455347889511289,1,6.94,-89.39085118149981,0.3030050890882944,89.39085118149981,16.490133912427954,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
0,jump_on_and_off_box,1,0,1,1,heading-only,0.04,1.4182983398437514,2.588052749633789,0.7216505646557054,1.2730081865723373,16.49218892842151,0,roll,7.08,24.20639835481117,3.418982818476154,0.32704728841781616,0.059081686418608954,0.08305829797087416,0.5880527496337891,1.010000067173598,1,7.08,-87.30874321999646,-3.7895587706518077,87.30874321999646,20.05425069647761,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
0,jump_on_and_off_box,2,0,1,1,heading-only,0.04,1.6575805664062528,2.0042099952697754,0.6575940429895483,0.8271274030088156,15.642420000132057,1,timeout,20.0,6.7683989280461105,0.33841994640230555,0.3215121328830719,0.03287902832031264,0.00021049976348876953,0.004209995269775391,0.17964467385107946,0,20.0,2.317088171467198,-3.7113462705267475,8.183851153417148,4.979849212399977,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
0,jump_on_and_off_box,3,0,1,1,heading-only,0.04,1.4278686523437614,2.5683059692382812,0.7113671754658973,1.2697705867426041,15.6824319750752,1,timeout,20.0,35.09059294978985,1.7545296474894925,0.32350999116897583,0.02139343261718807,0.02841529846191406,0.5683059692382812,1.431388768717008,0,20.0,-75.02265065227633,1.7252381661439404,75.02265065227633,20.840733503678898,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
0,jump_on_and_off_box,4,0,1,1,heading-only,0.04,1.6827453613281307,2.1352293491363525,0.6960087681077884,0.9561973419846755,15.71783637635029,1,timeout,20.0,31.677383010485016,1.5838691505242508,0.3216957449913025,0.03413726806640653,0.006761467456817627,0.13522934913635254,0.8097816012587493,0,20.0,-2.8058918916361537,-4.286456968331242,8.304538815439024,5.238563156568743,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
0,jump_on_and_off_box,5,0,1,1,heading-only,0.04,1.6954803466796875,2.237492084503174,0.7349118333646295,0.9265332223657549,15.156380452240999,1,timeout,20.0,37.30430241684317,1.8652151208421586,0.3216075599193573,0.03477401733398437,0.01187460422515869,0.23749208450317383,0.9361629058850404,0,20.0,-4.381576790778533,-5.963850304789664,8.306530966582804,5.963850304789664,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
0,jump_on_and_off_box,6,0,1,1,heading-only,0.04,1.6468750000000227,2.0339951515197754,0.6477676558395625,0.93655409046308,14.553164705174982,1,timeout,20.0,13.15929668561023,0.6579648342805114,0.3211056590080261,0.032343750000001135,0.0016997575759887696,0.03399515151977539,0.355050132422288,0,20.0,0.7379631755626056,-3.356349863909296,8.270376637879608,4.7802853830893755,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
0,jump_on_and_off_box,7,0,1,1,heading-only,0.04,1.6430084228515796,2.026853322982788,0.6435689029259366,0.8965194569376393,14.807015927144132,1,timeout,20.0,11.786334290137233,0.5893167145068616,0.3213917911052704,0.032150421142578975,0.0013426661491394043,0.026853322982788086,0.31991857772458104,0,20.0,1.4432161048287129,-3.1878043691244624,8.217786157057919,4.946703794274902,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
0,jump_on_and_off_box,8,0,1,1,heading-only,0.04,1.4520080566406364,2.5276100635528564,0.6947543900043338,1.1270716712332145,14.807394704501224,1,timeout,20.0,91.44316258624235,4.572158129312117,0.3231034576892853,0.022600402832031817,0.026380503177642824,0.5276100635528564,3.530875704800303,0,20.0,-37.71425895382098,-0.2910755232565331,37.71425895382098,14.918781750789822,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
0,jump_on_and_off_box,9,0,1,1,heading-only,0.04,1.210699462890659,2.8790931701660156,0.9039906335216906,1.475501313965606,14.216506411008414,0,roll,18.3,41.636093932347904,2.275196389745787,0.33023056387901306,0.011513631851948584,0.04803787815114839,0.8790931701660156,3.448926337160208,1,18.3,-93.636482837542,-11.454018278099626,93.636482837542,14.230423758736729,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
1,forward_ramp_lips,0,0,1,1,heading-only,0.04,1.3781049251556396,2.634596443176269,0.7386988426408448,1.376638664062208,12.887528679444111,0,roll,7.42,35.87567565852646,4.83499671947796,0.32673436403274536,0.0509575370829703,0.08552512711270474,0.6345964431762692,1.6560182636106353,1,7.42,-87.71720614714566,8.035030251609617,87.71720614714566,13.105330257762722,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
1,forward_ramp_lips,1,0,1,1,heading-only,0.04,1.399209594726564,2.7095390319824215,0.8141338578073628,1.334262402729711,12.171489354667804,0,roll,10.6,22.258230671754802,2.099833082241019,0.32638224959373474,0.037661282521373955,0.06693764452664354,0.7095390319824215,0.973121427997233,1,10.6,-90.14314592749415,0.25272647265270337,90.14314592749415,18.66736541217578,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
1,forward_ramp_lips,2,0,1,1,heading-only,0.04,1.6630279541015653,1.9210725784301754,0.6677092224881788,0.7828319225086982,11.687238559192986,1,timeout,20.0,-15.849175506088955,-0.7924587753044477,0.32690611481666565,0.033151397705078266,-0.003946371078491229,-0.07892742156982457,-0.4172075922236561,0,20.0,5.493033114458483,-4.79963394779565,9.335792263669406,6.499620184718928,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
1,forward_ramp_lips,3,0,1,1,heading-only,0.04,1.4432189941406364,2.708399391174316,0.8356271741531501,1.3669024682371185,12.876282364488679,0,roll,11.26,14.76713685079605,1.311468636838015,0.3295916020870209,0.03936225525227677,0.0629129121824437,0.708399391174316,0.5815074772206098,1,11.26,-86.21810374465892,-0.537610782602973,86.21810374465892,18.853842321887985,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
1,forward_ramp_lips,4,0,1,1,heading-only,0.04,1.6555541992187557,1.9508958816528317,0.6573906924744194,0.7319571795015313,11.794548018555215,1,timeout,20.0,-4.458333686057415,-0.22291668430287076,0.3210604786872864,0.03277770996093778,-0.002455205917358416,-0.049104118347168324,-0.11869743503589603,0,20.0,4.492494954402405,-4.152579884958612,8.168231431383761,5.411420267118746,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
1,forward_ramp_lips,5,0,1,1,heading-only,0.04,1.66278076171875,2.036688423156738,0.6637954342251944,0.8658807919877207,12.287274012163248,1,timeout,20.0,9.88186768560874,0.494093384280437,0.32322365045547485,0.0331390380859375,0.0018344211578368963,0.036688423156737926,0.2602234967005458,0,20.0,-0.0661058237352144,-3.512899777638355,8.281768903246723,4.771866145749129,,,,,,,off,5.0,legged_eval-seed1-no-roughness,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,2.649,0.5676
