task,task_name,level,episode,goals,settle_ok,heading,heading_cap_rad,final_x_m,final_y_m,travelled_m,dist_to_next_goal_m,dist_to_last_goal_m,alive_at_end,end_cause,upright_s,yaw_cum_deg,yaw_rate_deg_s,base_h_max_m,vx_mean_ms,end_roll_deg,end_pitch_deg,peak_roll_deg,peak_pitch_deg,switches,refused_ticks,steps_alive,frac_WALK,frac_TROT,frac_TURN,yaw_moment,yaw_moment_gain,terrain,planner_set,perception,turn_target,swing_lift_mm,foot_yaw_turn,roll_couple,roll_gain,roll_damp,roll_cap_nm,roll_sign,partial,skill,start_phase,foot_comp,steps
0,jump_on_and_off_box,0,0,1,1,off,0.0,1.385393738746643,1.453883409500122,0.6684098026542752,1.2161589270563191,16.723525519433668,0,roll,6.5200000000000005,-41.30703508523595,-6.335434829023919,0.3279416263103485,0.059109469132920714,86.52598223848457,0.43819672266360293,86.52598223848457,14.199169240014076,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
0,jump_on_and_off_box,1,0,0,1,off,0.0,1.1933227539062514,1.3689610958099365,0.659987716385156,0.7016131639821489,16.7185906913157,0,roll,3.66,-5.637608233549059,-1.5403301184560272,0.3248094320297241,0.052820424564549565,88.70410032725606,0.11628200715857662,88.70410032725606,16.11706828923843,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
0,jump_on_and_off_box,2,0,1,1,off,0.0,1.5160629272460966,2.760115146636963,0.918746962457423,1.2151686807270978,15.8022291007567,0,roll,5.8,14.788036088682276,2.5496613946003923,0.3354231119155884,0.08897636676656838,-86.48414556777493,-6.8518263147921346,86.48414556777493,13.474823608329373,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
0,jump_on_and_off_box,3,0,1,1,off,0.0,1.6975067138671989,1.8107426166534424,0.7227267623666668,0.8746276769963525,15.403655987671142,1,timeout,20.0,-33.89980839386001,-1.6949904196930006,0.3327255845069885,0.034875335693359946,0.7229164635969763,-6.859845639995499,9.20774641941722,10.867950292996158,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
0,jump_on_and_off_box,4,0,1,1,off,0.0,1.3441833496093807,1.360115647315979,0.7265770179121974,1.3885456812074333,16.06856248379956,0,roll,7.28,-39.40765283373619,-5.413139125513213,0.3302716016769409,0.04727793263865119,87.87653209266207,2.667009734020191,87.87653209266207,13.754042561935822,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
0,jump_on_and_off_box,5,0,0,1,off,0.0,0.8633880615234375,1.5400910377502441,0.4797698149029089,0.7853604355762607,15.993225988680296,0,roll,1.72,-19.718911562921875,-11.464483466815043,0.3081996738910675,-0.07942554562590844,86.61615055313364,2.4704413301080006,86.61615055313364,13.597922053739957,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
0,jump_on_and_off_box,6,0,1,1,off,0.0,1.6747833251953352,2.0537362098693848,0.6769195788369547,0.9099478608447773,14.525316073334661,1,timeout,20.0,34.87632770851221,1.7438163854256103,0.33281296491622925,0.033739166259766765,11.043047890994107,-12.765752743387084,24.06015627068802,17.491911953259425,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
0,jump_on_and_off_box,7,0,1,1,off,0.0,1.162738037109392,1.4937001466751099,0.5318112542989506,1.4530178597622252,15.295643754465495,0,roll,12.14,-63.676746367887375,-5.24520151300555,0.3221907317638397,0.013405110140806593,86.70984335508717,-5.509226401776724,86.70984335508717,16.218760601377685,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
0,jump_on_and_off_box,8,0,0,1,off,0.0,1.1883056640625114,2.547719955444336,0.5791857842782131,0.6301987850253739,15.071649989924904,0,roll,1.86,-15.487241690224266,-8.326474027002293,0.32560041546821594,0.10123960433468353,-86.31018069783407,-3.35032650015424,86.31018069783407,10.615682649776097,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
0,jump_on_and_off_box,9,0,1,1,off,0.0,1.226660156250034,1.0613454580307007,0.9656330439617758,1.5486150693152978,14.204387866979317,0,roll,12.26,-81.44695331375561,-6.643307774368321,0.3313997685909271,0.018487777834423662,89.22286401532693,6.7400915612695975,89.22286401532693,13.772555412857397,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
1,forward_ramp_lips,0,0,1,1,off,0.0,1.2880549430847168,1.3249145507812496,0.7339727610629848,1.4780405010713102,12.979513088796415,0,roll,6.48,-50.45939412375046,-7.7869435376158105,0.329782634973526,0.044452923315542715,88.08142951355121,1.554872174116444,88.08142951355121,15.541551738796496,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
1,forward_ramp_lips,1,0,1,1,off,0.0,1.427865600585939,2.344958877563476,0.5496049484626385,1.179159592028859,12.127041643561206,0,roll,4.62,-20.70272721495644,-4.481109786787108,0.3382834494113922,0.09261160185842833,-86.07704679422554,9.5917049752073,86.07704679422554,16.609786335913135,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
1,forward_ramp_lips,2,0,0,1,off,0.0,0.9426223754882841,1.3740850448608395,0.6285393566527594,0.8381165476073007,12.423155357971705,0,roll,2.9,-21.211790226578984,-7.314410422958271,0.3188866078853607,-0.01978538776266066,93.19433670005506,1.5782373754477306,93.19433670005506,15.577095438175098,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
1,forward_ramp_lips,3,0,1,1,off,0.0,1.7159164428711051,1.4582029342651364,0.897819811327487,1.0777362668054873,12.595741464210857,0,roll,12.66,1.6763391113912007,0.13241225208461302,0.3374384343624115,0.056549482059329,86.65255966207027,-15.383999281166481,86.65255966207027,17.372637515229837,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
1,forward_ramp_lips,4,0,1,1,off,0.0,1.6421875000000057,2.573368644714355,0.8609044011374513,0.978087453985135,11.821725239485877,0,roll,10.040000000000001,-3.0649937068415625,-0.30527825765354205,0.3319695293903351,0.06396289840637506,-89.10977592241231,-1.3931637896993763,89.10977592241231,18.14361918547194,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
1,forward_ramp_lips,5,0,1,1,off,0.0,1.27386474609375,2.6113306045532223,0.6698708884676229,1.4029077458239911,12.690867979905393,0,roll,15.02,49.20554618766778,3.2760017435198256,0.33468377590179443,0.01823333862142144,-88.4287397165866,0.506493258315557,88.4287397165866,21.834614996225667,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000
