task,task_name,level,episode,goals,settle_ok,heading,heading_cap_rad,final_x_m,final_y_m,travelled_m,dist_to_next_goal_m,dist_to_last_goal_m,alive_at_end,end_cause,upright_s,yaw_cum_deg,yaw_rate_deg_s,base_h_max_m,vx_mean_ms,end_roll_deg,end_pitch_deg,peak_roll_deg,peak_pitch_deg,switches,refused_ticks,steps_alive,frac_WALK,frac_TROT,frac_TURN,yaw_moment,yaw_moment_gain,terrain,planner_set,perception,turn_target,swing_lift_mm,foot_yaw_turn,roll_couple,roll_gain,roll_damp,roll_cap_nm,roll_sign,partial,skill,start_phase,foot_comp,steps
0,jump_on_and_off_box,0,0,1,1,off,0.0,1.5551280975341797,1.386608362197876,0.8272946911454768,1.0951510511687121,16.5562385695039,0,roll,5.92,-19.50156059171033,-3.294182532383502,0.3224598169326782,0.09377163809698981,92.17246466653265,0.9024600069023442,92.17246466653265,14.909743048845234,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
0,jump_on_and_off_box,1,0,1,1,off,0.0,1.444192504882814,2.688758373260498,0.8195700568776999,1.3049891182175963,16.470215190248467,0,roll,10.200000000000001,36.13678660113959,3.5428222157979987,0.33795708417892456,0.04354828479243273,-86.45039427507008,0.5270483356929961,86.45039427507008,18.638040748450354,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
0,jump_on_and_off_box,2,0,1,1,off,0.0,1.471400451660159,2.741903305053711,0.8789988053888479,1.240451871313219,15.845976908217231,0,roll,9.4,13.07394482318557,1.3908451939559117,0.33613821864128113,0.05014898421916586,-87.75787580485193,-11.291356462215754,87.75787580485193,14.929076096082353,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
0,jump_on_and_off_box,3,0,1,1,off,0.0,1.4807022094726676,1.3018889427185059,0.8476046616734656,1.272177826043115,15.634891189818704,0,roll,4.04,-0.33423395877974826,-0.08273117791577927,0.3244816064834595,0.11898569541402663,87.85462257020502,2.2623058788309844,87.85462257020502,16.691516049872803,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
0,jump_on_and_off_box,4,0,1,1,off,0.0,1.6438659667968807,1.950416088104248,0.6457723650932793,0.9711471558278775,15.756212052285303,1,timeout,20.0,-7.27775298351645,-0.3638876491758225,0.3308124244213104,0.03219329833984404,2.3998835406133714,-1.595087624455505,9.642539158323524,6.70101147364937,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
0,jump_on_and_off_box,5,0,0,1,off,0.0,0.909423828125,1.369636058807373,0.6368380808866813,0.863793327794578,15.953035052606909,0,roll,1.92,-14.66833618468695,-7.639758429524454,0.30858197808265686,-0.04717508951822917,86.40530203401157,7.247239258869658,86.40530203401157,13.795918314376241,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
0,jump_on_and_off_box,6,0,0,1,off,0.0,1.3397613525390852,1.3712064027786255,0.7147161426648937,0.648889676329266,14.87353603039295,0,roll,2.96,4.377108187653704,1.4787527660992243,0.3362294137477875,0.11478424072266394,88.71647851361035,-1.0970580521645605,88.71647851361035,10.908867317077473,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
0,jump_on_and_off_box,7,0,1,1,off,0.0,1.3459197998047046,2.6555159091949463,0.7411893247373467,1.3773132123004115,15.118298178073475,0,roll,3.8000000000000003,5.541255241704221,1.4582250636063738,0.32604193687438965,0.09103152626439592,-88.40007026536223,5.158798339272324,88.40007026536223,9.792329376143938,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
0,jump_on_and_off_box,8,0,0,1,off,0.0,1.1804626464843864,2.568114757537842,0.5960882019537288,0.651811704423941,15.080242386206352,0,roll,1.98,-15.523185560406802,-7.839992707276163,0.3251326084136963,0.09114275074969008,-87.05466229712734,-6.643095164201696,87.05466229712734,10.193754231295795,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
0,jump_on_and_off_box,9,0,1,1,off,0.0,1.634832763671909,2.071380615234375,0.6388331785862033,0.7912373479280524,13.765352310649769,1,timeout,20.0,5.787281012811576,0.2893640506405788,0.331862211227417,0.031741638183595454,-0.9169268921561312,-3.696757309646029,8.293509019206331,7.373900611493477,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,hold,8.0,0.8,2.0,1.0,0,WALK,first,on,1000
