task,task_name,level,episode,goals,settle_ok,heading,heading_cap_rad,final_x_m,final_y_m,travelled_m,dist_to_next_goal_m,dist_to_last_goal_m,alive_at_end,end_cause,upright_s,yaw_cum_deg,yaw_rate_deg_s,base_h_max_m,vx_mean_ms,vy_mean_ms,cross_track_m,cross_track_abs_max_m,curvature_rad_m,fell,episode_s,end_roll_deg,end_pitch_deg,peak_roll_deg,peak_pitch_deg,switches,refused_ticks,steps_alive,frac_WALK,frac_TROT,frac_TURN,yaw_moment,yaw_moment_gain,terrain,planner_set,perception,turn_target,swing_lift_mm,foot_yaw_turn,roll_couple,roll_gain,roll_damp,roll_cap_nm,roll_sign,partial,skill,start_phase,foot_comp,steps,terrain_seed,measurement_seed,episode_length_s,episodes,num_envs,rate,gutter,spawn_z,settle_s,foot_clip_rad,steering,cross_track,cross_track_gain,cross_track_cap,cmd_mean_feet_down,cmd_frac_below_3_feet
0,jump_on_and_off_box,0,0,1,1,heading-only,0.04,1.3527734279632568,2.4704318046569824,0.5880095018873185,1.2640648246551496,16.753832514919278,0,roll,8.42,43.85129787918609,5.207992622231127,0.32137903571128845,0.04189708170584998,0.05587076064809768,0.4710841178894043,0.4428378139116619,2.1695214792207054,1,8.42,-87.60439665263688,5.159387005273736,87.60439665263688,18.50580422841942,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,off,,,2.649,0.5676
0,jump_on_and_off_box,1,0,1,1,heading-only,0.04,1.3370376586914077,2.686525583267212,0.7647952404771955,1.39341856879769,16.577184287329587,0,roll,9.38,39.920324225241444,4.255898105036401,0.32749083638191223,0.03593152011635476,0.07319036068946821,0.6893631219863892,0.14075171563423114,2.0672499889160907,1,9.38,-90.76512446749268,-0.8342205555280771,90.76512446749268,18.517465708784897,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,off,,,2.649,0.5676
0,jump_on_and_off_box,2,0,1,1,heading-only,0.04,1.6923248291015653,2.461846113204956,0.8322352439503128,0.9040871844817314,15.614506910964622,0,roll,18.98,9.378915574490918,0.49414729054219797,0.33014363050460815,0.036476545263517665,0.024333304173074607,0.4509291648864746,0.33720702060368213,0.23643952977082663,1,18.98,-86.47267104272848,-15.284345651276597,86.47267104272848,22.57571850249283,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,off,,,2.649,0.5676
0,jump_on_and_off_box,3,0,1,1,heading-only,0.04,1.6924407958984489,2.0034286975860596,0.6924492846350655,0.8627080564940496,15.407559585601524,1,timeout,20.0,-22.655611777493647,-1.1327805888746822,0.32525134086608887,0.03462203979492244,0.0001714348793029785,0.011607170104980469,0.31571422622607065,-0.571045238687611,0,20.0,-29.537887418210662,-15.338783593037181,32.65614061831561,22.03196327735632,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,off,,,2.649,0.5676
0,jump_on_and_off_box,4,0,1,1,heading-only,0.04,1.6460479736328182,1.949603796005249,0.6480106184408949,0.9689415708969644,15.754032633787956,1,timeout,20.0,3.6749353925014248,0.18374676962507125,0.33078503608703613,0.032302398681640906,-0.002519810199737549,-0.06896471977233887,0.14735549946242274,0.09928012317189597,0,20.0,5.582286028015003,-3.6010183463636296,9.77440439369304,6.237124871597647,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,off,,,2.649,0.5676
0,jump_on_and_off_box,5,0,0,1,heading-only,0.04,0.81280517578125,1.4518486261367798,0.5792338309201428,0.8790373456805886,16.046559997663568,0,roll,2.12,-20.776125004494958,-9.800058964384414,0.31033867597579956,-0.08829944538620282,-0.25856196880340576,-0.5462868213653564,0.3935557563084867,1.9370823346623192,1,2.12,89.82812981215196,2.7244576903003215,89.82812981215196,11.87456775709517,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,off,,,2.649,0.5676
0,jump_on_and_off_box,6,0,1,1,heading-only,0.04,1.6393371582031477,2.042541742324829,0.6407509669905375,0.9445581486954084,14.56072498855477,1,timeout,20.0,2.40032249724905,0.1200161248624525,0.3320522606372833,0.03196685791015739,0.002127087116241455,0.043357253074645996,0.069018001624182,0.0655265068660015,0,20.0,0.9653741149631458,-1.0521320759354205,5.5996110344924945,5.71973364099387,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,off,,,2.649,0.5676
0,jump_on_and_off_box,7,0,1,1,heading-only,0.04,1.5914031982422046,0.8768624663352966,1.2693288235983382,1.44147413961782,14.90098442508863,1,timeout,20.0,-81.64159070777964,-4.082079535388982,0.3335285782814026,0.029570159912110226,-0.05615687668323517,-1.1581490635871887,0.6543963597909925,-2.4093791995910037,0,20.0,-13.955220499256038,4.982705422123377,15.247749627014748,10.586655025137288,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,off,,,2.649,0.5676
0,jump_on_and_off_box,8,0,0,1,heading-only,0.04,1.0347412109375114,2.707247734069824,0.7081004936337112,0.8465607468733677,15.231687344988742,0,roll,3.62,7.420931088302524,2.0499809636194817,0.33331114053726196,0.009597019595997616,0.1953723022292332,0.7278000116348267,0.4739995707017927,3.728127994371029,1,3.62,-89.53040896549243,4.2147924735636755,89.53040896549243,15.131987545001175,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,off,,,2.649,0.5676
0,jump_on_and_off_box,9,0,1,1,heading-only,0.04,1.640356445312534,1.9074277877807617,0.6470131308779352,0.7965416702661219,13.759954955105298,1,timeout,20.0,-19.9937682926265,-0.999688414631325,0.3276137113571167,0.0320178222656267,-0.004628610610961914,-0.08866429328918457,0.16093496953628778,-0.5449419446646853,0,20.0,7.761696214311303,-2.8609504683966422,8.95943406033753,6.5803743758808135,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,off,,,2.649,0.5676
