task,task_name,level,episode,goals,settle_ok,heading,heading_cap_rad,final_x_m,final_y_m,travelled_m,dist_to_next_goal_m,dist_to_last_goal_m,alive_at_end,end_cause,upright_s,yaw_cum_deg,yaw_rate_deg_s,base_h_max_m,vx_mean_ms,vy_mean_ms,cross_track_m,cross_track_abs_max_m,curvature_rad_m,fell,episode_s,end_roll_deg,end_pitch_deg,peak_roll_deg,peak_pitch_deg,switches,refused_ticks,steps_alive,frac_WALK,frac_TROT,frac_TURN,yaw_moment,yaw_moment_gain,terrain,planner_set,perception,turn_target,swing_lift_mm,foot_yaw_turn,roll_couple,roll_gain,roll_damp,roll_cap_nm,roll_sign,partial,skill,start_phase,foot_comp,steps,terrain_seed,measurement_seed,episode_length_s,episodes,num_envs,rate,gutter,spawn_z,settle_s,foot_clip_rad,steering,cross_track,cross_track_gain,cross_track_cap,cmd_mean_feet_down,cmd_frac_below_3_feet
0,jump_on_and_off_box,0,0,1,1,heading-only,0.04,1.4558124542236328,2.506464958190918,0.6813748948271426,1.1880858026718333,16.6518913584269,0,roll,7.640000000000001,24.447487195190178,3.1999328789515937,0.32082876563072205,0.05966131599785769,0.06629122489409921,0.5071172714233398,0.25162047265416404,0.9361068163922481,1,7.640000000000001,-88.79930427978995,-1.1964185063041304,88.79930427978995,19.88618555642706,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,hold,1.0,0.3,2.649,0.5676
0,jump_on_and_off_box,1,0,1,1,heading-only,0.04,1.4738975524902358,1.4285681247711182,0.7423700413431513,1.168013990382989,16.436038938993597,0,roll,10.14,-23.324135920439545,-2.300210643041375,0.3292003273963928,0.046735458825467036,-0.05635422832631971,-0.5685943365097046,0.1820049579941577,-0.8590104862437242,1,10.14,88.79965584673388,0.7092490080486731,88.79965584673388,15.82346014877678,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,hold,1.0,0.3,2.649,0.5676
0,jump_on_and_off_box,2,0,1,1,heading-only,0.04,1.2950775146484403,2.585815906524658,0.6559352224026451,1.3145059392909613,16.015639982168967,0,roll,5.5,36.3143399104581,6.602607256446928,0.33335164189338684,0.05365045720880734,0.10651198300448331,0.5748989582061768,0.3124981622192955,2.147926445296928,1,5.5,-90.00545643093959,5.821390351924179,90.00545643093959,15.203185402283777,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,hold,1.0,0.3,2.649,0.5676
0,jump_on_and_off_box,3,0,1,1,heading-only,0.04,1.7066390991211051,1.7950630187988281,0.7357567415053269,0.8689406048649593,15.394725037848866,1,timeout,20.0,-36.7920162095096,-1.83960081047548,0.3221624493598938,0.035331954956055255,-0.010246849060058594,-0.19675850868225098,0.33163955429889036,-0.9087267066055947,0,20.0,1.4838032212871353,-4.592371601042429,10.001713718507215,11.37684223452883,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,hold,1.0,0.3,2.649,0.5676
0,jump_on_and_off_box,4,0,1,1,heading-only,0.04,1.1812347412109432,2.299135684967041,0.3497544702251829,1.4824497382557413,16.22152362380685,0,roll,11.44,51.23355911708765,4.4784579647803895,0.3275047540664673,0.01584219765829923,0.026148224210405684,0.2805671691894531,0.5508250296608893,4.933901128082091,1,11.44,-90.97380371869646,0.6446122341120534,90.97380371869646,15.536667611210394,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,hold,1.0,0.3,2.649,0.5676
0,jump_on_and_off_box,5,0,0,1,heading-only,0.04,0.793487548828125,1.4575179815292358,0.5804602767228181,0.8907561866330234,16.065673930308723,0,roll,2.16,-20.293465574510037,-9.395122951162053,0.3128376305103302,-0.09560761628327545,-0.25114908262535374,-0.5406174659729004,0.39352731715654826,1.715091699824634,1,2.16,89.02154481227846,-2.0741797722514064,89.02154481227846,11.968391285034803,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,hold,1.0,0.3,2.649,0.5676
0,jump_on_and_off_box,6,0,1,1,heading-only,0.04,1.1733032226562727,1.3925951719284058,0.6316443874109329,1.5286121398120516,15.038967938771487,0,roll,12.58,-56.69407962700359,-4.506683595151318,0.33288291096687317,0.013776090831182253,-0.04828337266069906,-0.6065893173217773,0.3422256149919828,-5.709636212833785,1,12.58,89.74372403929056,0.6902632102839052,89.74372403929056,16.196155208735657,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,hold,1.0,0.3,2.649,0.5676
0,jump_on_and_off_box,7,0,1,1,heading-only,0.04,1.436206054687517,1.3529574871063232,0.7803459076831332,1.2595854667196313,15.027730122869324,0,roll,11.58,-23.123423521039626,-1.9968414094162026,0.3294970691204071,0.03766891663968196,-0.05587586467130196,-0.6820540428161621,0.31436922459569994,-0.9252046605917758,1,11.58,88.7903949486956,2.37189845960274,88.7903949486956,18.30845569654,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,hold,1.0,0.3,2.649,0.5676
0,jump_on_and_off_box,8,0,0,1,heading-only,0.04,0.9950988769531364,2.4385104179382324,0.4385378064061111,0.6687424995424976,15.261202431675455,0,roll,2.06,12.98966380577869,6.305662041640141,0.33511584997177124,-0.0023791859450794325,0.21286913492147205,0.45906269550323486,0.29812699559226197,-46.25723532549445,1,2.06,-88.92658620155784,-3.2202794032358577,88.92658620155784,9.893337555722447,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,hold,1.0,0.3,2.649,0.5676
0,jump_on_and_off_box,9,0,1,1,heading-only,0.04,1.630865478515659,1.8715730905532837,0.643804879643535,0.8126388327406621,13.769733437572466,1,timeout,20.0,-11.382201855142739,-0.569110092757137,0.3339262008666992,0.031543273925782954,-0.006421345472335816,-0.1245189905166626,0.16144753615460927,-0.3148958141857123,0,20.0,9.26289033804975,-5.032880600292781,10.847234650549854,8.132943792030161,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,hold,1.0,0.3,2.649,0.5676
1,forward_ramp_lips,0,0,1,1,heading-only,0.04,1.529719591140747,2.244355773925781,0.5833631711800014,1.0984488295704724,12.72262722177536,0,roll,7.72,18.49195742170656,2.395331272241782,0.32676661014556885,0.06861652734983771,0.03165230232199234,0.2419118881225586,0.387545007511113,0.6092762048923864,1,7.72,-91.00612900009283,2.6047525199642574,91.00612900009283,18.679325626267097,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,hold,1.0,0.3,2.649,0.5676
1,forward_ramp_lips,1,0,0,1,heading-only,0.04,0.994351959228517,2.5182081222534176,0.5182389008304659,0.7240301092533737,12.566337468876853,0,roll,5.46,-1.7927636685119808,-0.32834499423296354,0.334703654050827,-0.0010344397017368048,0.09490991250062594,0.4924955368041992,0.30398134494683815,5.539908437567958,1,5.46,-86.72839117909578,4.761686376349233,86.72839117909578,22.490245149517584,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,hold,1.0,0.3,2.649,0.5676
1,forward_ramp_lips,2,0,1,1,heading-only,0.04,1.6101409912109403,2.190034484863281,0.6390501815922763,0.8576385878948268,11.741396963380597,0,roll,8.0,3.978348947291124,0.4972936184113905,0.32591530680656433,0.07626762390136754,0.023754310607910112,0.19144916534423828,0.5052265340914585,0.11380203743674552,1,8.0,-89.847556402959,-3.839865552530777,89.847556402959,12.825324819555753,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,hold,1.0,0.3,2.649,0.5676
1,forward_ramp_lips,3,0,1,1,heading-only,0.04,1.2186859130859489,2.5652566909790036,0.6060846931566313,1.5092417471469048,13.093521045432832,0,roll,8.68,30.179668567032053,3.4769203418239694,0.3338269889354706,0.025194229618196874,0.0651217385920511,0.6032419204711914,0.3121587225882658,2.4086351801193926,1,8.68,-92.29287311640907,-0.6134320255558482,92.29287311640907,11.83797283842776,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,hold,1.0,0.3,2.649,0.5676
1,forward_ramp_lips,4,0,1,1,heading-only,0.04,1.6261657714843807,2.5147338867187496,0.8105766759013118,0.9539101013178866,11.83503303069129,0,roll,5.0600000000000005,-9.295986130465394,-1.837151409182884,0.3334713876247406,0.12374817618268391,0.10172606456892284,0.4830780029296875,0.5162999305000529,-0.2591096041735577,1,5.0600000000000005,-88.46365148709069,8.316363793286566,88.46365148709069,10.364255680677786,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,hold,1.0,0.3,2.649,0.5676
1,forward_ramp_lips,5,0,1,1,heading-only,0.04,1.1605987548828125,1.4623294830322262,0.5611430698906499,1.4611002775378994,12.800698176014508,0,roll,11.82,-63.04126888147596,-5.33344068371201,0.32793495059013367,0.013587035100068739,-0.045488199405057,-0.49965381622314453,0.43307635225719743,-6.851097366350451,1,11.82,91.10665169227883,3.7209937898705627,91.10665169227883,14.619694362038286,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,hold,1.0,0.3,2.649,0.5676
1,forward_ramp_lips,6,0,1,1,heading-only,0.04,1.2213531494140852,1.3080917358398434,0.7264532075561753,1.4328749058754464,12.447891370934776,0,roll,13.24,-52.94162292181193,-3.9986120031580006,0.33501309156417847,0.016718515816773808,-0.05225893233838041,-0.7020969390869141,0.3992517708969938,-4.174350506332222,1,13.24,89.86729550885468,0.539127478831424,89.86729550885468,13.11353940171407,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,hold,1.0,0.3,2.649,0.5676
1,forward_ramp_lips,7,0,1,1,heading-only,0.04,1.308367919921892,2.3441663742065426,0.4621052555115905,1.2863427107813223,12.046549449742882,0,roll,7.3,29.478588471160634,4.03816280426858,0.3298008143901825,0.04224218081121809,0.0471460786584305,0.3088045120239258,0.5390855383148501,1.6684563938833659,1,7.3,-89.214275459068,-8.496316792082185,89.214275459068,17.57565835660221,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,hold,1.0,0.3,2.649,0.5676
1,forward_ramp_lips,8,0,1,1,heading-only,0.04,1.5846069335937614,1.4950872421264645,0.7724649894133455,0.992514170422173,12.375697256308053,0,roll,4.5200000000000005,17.66014997580126,3.9071128265047035,0.34246334433555603,0.12933781716676135,-0.11170636236140165,-0.5001029968261719,0.5096004440053146,0.5272393222895196,1,4.5200000000000005,88.12741697773941,-12.538975570464958,88.12741697773941,13.042929720740565,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.15,dead-reckoned-heading-hold,hold,1.0,0.3,2.649,0.5676
