task,task_name,level,episode,goals,settle_ok,heading,heading_cap_rad,final_x_m,final_y_m,travelled_m,dist_to_next_goal_m,dist_to_last_goal_m,alive_at_end,end_cause,upright_s,yaw_cum_deg,yaw_rate_deg_s,base_h_max_m,vx_mean_ms,vy_mean_ms,cross_track_m,cross_track_abs_max_m,curvature_rad_m,fell,episode_s,end_roll_deg,end_pitch_deg,peak_roll_deg,peak_pitch_deg,switches,refused_ticks,steps_alive,frac_WALK,frac_TROT,frac_TURN,yaw_moment,yaw_moment_gain,terrain,planner_set,perception,turn_target,swing_lift_mm,foot_yaw_turn,roll_couple,roll_gain,roll_damp,roll_cap_nm,roll_sign,partial,skill,start_phase,foot_comp,steps,terrain_seed,measurement_seed,episode_length_s,episodes,num_envs,rate,gutter,spawn_z,settle_s,foot_clip_rad,steering,cross_track,cross_track_gain,cross_track_cap,cmd_mean_feet_down,cmd_frac_below_3_feet
0,jump_on_and_off_box,0,0,1,1,heading-only,0.04,1.3266493082046509,1.5271860361099243,0.574676269738035,1.244014194902514,16.780013303761145,0,roll,8.68,-57.92901378218917,-6.6738495140770935,0.3259391188621521,0.03763240877933766,-0.05447165482604559,-0.4721616506576538,0.3614392450098185,-3.095221687409589,1,8.68,88.49549067254928,0.960361830455121,88.49549067254928,16.558216163623843,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,hold,-1.0,0.1,2.649,0.5676
0,jump_on_and_off_box,1,0,1,1,heading-only,0.04,1.4762016296386733,2.66697359085083,0.8195253278349478,1.2662705966528585,16.43733575373989,0,roll,13.08,29.207860786933395,2.233016879734969,0.32881197333335876,0.03640685241885881,0.050991864743947256,0.6698111295700073,0.11273522584978324,1.070498936727557,1,13.08,-90.55896809131718,1.182269395334094,90.55896809131718,18.563636881905648,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,hold,-1.0,0.1,2.649,0.5676
0,jump_on_and_off_box,2,0,1,1,heading-only,0.04,1.5307037353515653,2.6937735080718994,0.8734804721449096,1.1642556588519244,15.78455024265048,0,roll,6.28,-2.507239179695432,-0.399241907594814,0.3365466594696045,0.08450696422795625,0.1104734885464808,0.682856559753418,0.4695533116316966,-0.08245575809203314,1,6.28,-87.72136779836775,-2.051631846295177,87.72136779836775,9.971834914899237,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,hold,-1.0,0.1,2.649,0.5676
0,jump_on_and_off_box,3,0,1,1,heading-only,0.04,1.5460479736328239,2.5202393531799316,0.7541998237241817,1.142795039251709,15.5626499229125,0,roll,5.0600000000000005,2.3601856112819917,0.4664398441268758,0.3358383774757385,0.10791461929502447,0.10281410141895882,0.5284178256988525,0.31087808845734183,0.07543844472310958,1,5.0600000000000005,-88.31600441007917,2.278754280896601,88.31600441007917,8.56470151391438,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,hold,-1.0,0.1,2.649,0.5676
0,jump_on_and_off_box,4,0,1,1,heading-only,0.04,1.2623809814453182,1.3572947978973389,0.6942000837179659,1.4648413847516113,16.15041230324563,0,roll,12.38,-44.88468565412214,-3.6255804244040495,0.3305174708366394,0.02119394034291746,-0.05191479823123272,-0.661273717880249,0.202470783647621,-2.9856796177521674,1,12.38,86.02230771585188,0.9879535055995013,86.02230771585188,16.226795786285365,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,hold,-1.0,0.1,2.649,0.5676
0,jump_on_and_off_box,5,0,0,1,heading-only,0.04,0.93634033203125,1.3365890979766846,0.666458234437298,0.8705321626557118,15.927481849082689,0,roll,1.8800000000000001,-4.7955433911277225,-2.550820952727512,0.3085474669933319,-0.03386152551529255,-0.35287813937410395,-0.6615463495254517,0.44581479451861983,1.314773140798027,1,1.8800000000000001,87.01620363626868,1.0729578381343488,87.01620363626868,13.138122713381371,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,hold,-1.0,0.1,2.649,0.5676
0,jump_on_and_off_box,6,0,1,1,heading-only,0.04,1.6403289794922102,2.0615527629852295,0.6432806110933635,0.9449048651567933,14.55980113078627,1,timeout,20.0,4.6784395904115,0.233921979520575,0.33258089423179626,0.03201644897461051,0.0030776381492614744,0.06236827373504639,0.07061706636275195,0.1275190992809485,0,20.0,-0.6739290481919538,-0.9075789335257765,5.52230041388388,4.799591769212813,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,hold,-1.0,0.1,2.649,0.5676
0,jump_on_and_off_box,7,0,1,1,heading-only,0.04,1.8231536865234546,3.4596590995788574,1.6757645057168726,1.6569571276425414,14.69949787458899,1,timeout,20.0,56.82578467959314,2.841289233979657,0.33381977677345276,0.04115768432617273,0.07298295497894287,1.424647569656372,0.6217684921887494,1.2048746897764049,0,20.0,-2.666193738129256,-3.3167027092030352,16.556354902870233,9.43117520319852,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,hold,-1.0,0.1,2.649,0.5676
0,jump_on_and_off_box,8,0,0,1,heading-only,0.04,1.2502258300781364,2.5078206062316895,0.5661225434054123,0.565923054905591,15.008367896502559,0,roll,2.0,-28.364120589092323,-14.182060294546162,0.32974717020988464,0.12511291503906818,0.2539103031158447,0.5283728837966919,0.46234699969661797,-1.9784020440966845,1,2.0,-93.2572436386801,-8.005916265046162,93.2572436386801,11.057285138075398,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,hold,-1.0,0.1,2.649,0.5676
0,jump_on_and_off_box,9,0,1,1,heading-only,0.04,1.632849121093784,2.011789560317993,0.6329589274207819,0.7932232757313172,13.76715592692623,1,timeout,20.0,-7.581966738972255,-0.3790983369486128,0.32896703481674194,0.031642456054689204,0.0005894780158996582,0.015697479248046875,0.11174159613249873,-0.20910242103686646,0,20.0,1.8666303598726974,-4.554690931868365,8.724909479036056,6.486569473852299,,,,,,,off,5.0,legged_eval-seed1,,n/a,settle,0.0,auto,off,,,,,0,WALK,first,on,1000,1,deterministic,20.0,1,200,lo,1.0,0.42,0.5,0.05,dead-reckoned-heading-hold,hold,-1.0,0.1,2.649,0.5676
