argv,drift_max_m,entry_frame,entry_frame_arg,family,fell,final_dist_m,foot_com_height_m,foot_comp,foot_gain,foot_len_bias,foot_offset_clip_m,foot_vy_avg_n,foot_yaw_bias,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,hip_saturated,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,tau_hip_max_nm,yaw_cum_deg,yaw_moment,yaw_moment_cap_nm,yaw_moment_gain,yaw_moment_nm,yaw_ok_deg
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_0.npz --results-csv outputs/lift/lift.csv,,0,0,step_up,1,3.56282686300736,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.02,15,skill.STEP_TROT_MAX,step_up_0p02,0,0,2026-09-01T08:26:40Z,goal,1,TROT,1.0,0.0,98,70.0,1,nan,18.10176658630371,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_0.npz --results-csv outputs/lift/lift.csv,,0,0,step_up,1,3.565324533660684,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.04,15,skill.STEP_TROT_MAX,step_up_0p04,0,0,2026-09-01T08:26:40Z,goal,1,TROT,0.9999999999999982,0.0,98,70.0,1,nan,17.959781646728516,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_0.npz --results-csv outputs/lift/lift.csv,,0,0,step_up,1,3.5350927608235385,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.06,15,skill.STEP_TROT_MAX,step_up_0p06,0,0,2026-09-01T08:26:40Z,goal,1,TROT,0.9999999999999964,0.0,98,70.0,1,nan,17.321592330932617,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_0.npz --results-csv outputs/lift/lift.csv,,0,0,step_up,1,3.560912804294665,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.08,15,skill.STEP_TROT_MAX,step_up_0p08,0,0,2026-09-01T08:26:40Z,goal,1,TROT,1.0,0.0,98,70.0,1,nan,19.019832611083984,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_0.npz --results-csv outputs/lift/lift.csv,,0,0,step_up,1,3.564738437995356,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.1,15,skill.STEP_TROT_MAX,step_up_0p10,0,0,2026-09-01T08:26:40Z,goal,1,TROT,1.0,0.0,98,70.0,1,nan,17.77516746520996,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_0.npz --results-csv outputs/lift/lift.csv,,0,0,step_up,1,3.5551373708278087,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.12,15,skill.STEP_TROT_MAX,step_up_0p12,0,0,2026-09-01T08:26:40Z,goal,1,TROT,0.9999999999999982,0.0,98,70.0,1,nan,17.705829620361328,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_0.npz --results-csv outputs/lift/lift.csv,,0,0,step_up,1,3.552422527421875,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.14,15,skill.STEP_TROT_MAX,step_up_0p14,0,0,2026-09-01T08:26:40Z,goal,1,TROT,0.9999999999999964,0.0,98,70.0,1,nan,18.42568588256836,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_0.npz --results-csv outputs/lift/lift.csv,,0,0,step_up,1,3.5526769821250848,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.16,15,skill.STEP_TROT_MAX,step_up_0p16,0,0,2026-09-01T08:26:40Z,goal,1,TROT,1.0,0.0,98,70.0,1,nan,16.330612182617188,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_0.npz --results-csv outputs/lift/lift.csv,,0,0,step_up,1,3.547961623138338,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.18,15,skill.STEP_TROT_MAX,step_up_0p18,0,0,2026-09-01T08:26:40Z,goal,1,TROT,1.0,0.0,98,70.0,1,nan,17.154085159301758,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --swing-lift 70 --trace-npz outputs/lift/trace_trot70_0.npz --results-csv outputs/lift/lift.csv,,0,0,step_up,1,3.5499139951055296,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.2,15,skill.STEP_TROT_MAX,step_up_0p20,0,0,2026-09-01T08:26:40Z,goal,1,TROT,0.9999999999999982,0.0,98,70.0,1,nan,17.095874786376953,,hold,2.0,5.0,0.0,
