argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_comp,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,yaw_cum_deg,yaw_ok_deg
--headless --device cpu --params skill.STEP_TROT_MAX skill.STEP_WALK_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --trace-full --trace-npz outputs/trace_onecell.npz --results-csv outputs/onecell_phase.csv,,0,step_up,1,1.631096148051735,on,2,1,heading-only,0.0,0,0.04,obstacle,0.02,2,skill.STEP_TROT_MAX,step_up_0p02,0,0,2026-08-31T02:22:09Z,goal,TROT,1.0,0.0,1533,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX skill.STEP_WALK_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --trace-full --trace-npz outputs/trace_onecell.npz --results-csv outputs/onecell_phase.csv,,0,step_up,1,3.0621048661499244,on,2,1,heading-only,0.0,0,0.04,obstacle,0.02,2,skill.STEP_WALK_MAX,step_up_0p02,1,0,2026-08-31T02:22:09Z,goal,WALK,0.9999999999999982,0.0,1533,0.0,1,16.92,,
--headless --device cpu --params skill.STEP_TROT_MAX skill.STEP_WALK_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --trace-full --trace-npz outputs/trace_onecell.npz --results-csv outputs/onecell_phase.csv,,6,step_up,1,3.6604833273337047,on,2,1,heading-only,0.0,0,0.04,obstacle,0.02,2,skill.STEP_TROT_MAX,step_up_0p02,0,1,2026-08-31T02:22:09Z,goal,TROT,1.0,0.0,1520,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX skill.STEP_WALK_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --trace-full --trace-npz outputs/trace_onecell.npz --results-csv outputs/onecell_phase.csv,,7,step_up,1,3.0913708222619545,on,2,1,heading-only,0.0,0,0.04,obstacle,0.02,2,skill.STEP_WALK_MAX,step_up_0p02,1,1,2026-08-31T02:22:09Z,goal,WALK,0.9999999999999982,0.0,1520,0.0,1,17.16,,
--headless --device cpu --params skill.STEP_TROT_MAX skill.STEP_WALK_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --trace-full --trace-npz outputs/trace_onecell.npz --results-csv outputs/onecell_phase.csv,,13,step_up,1,4.0853166064338495,on,2,1,heading-only,0.0,0,0.04,obstacle,0.02,2,skill.STEP_TROT_MAX,step_up_0p02,0,2,2026-08-31T02:22:09Z,goal,TROT,1.0,0.0,1524,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX skill.STEP_WALK_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --trace-full --trace-npz outputs/trace_onecell.npz --results-csv outputs/onecell_phase.csv,,15,step_up,1,3.07028401682745,on,2,1,heading-only,0.0,0,0.04,obstacle,0.02,2,skill.STEP_WALK_MAX,step_up_0p02,1,2,2026-08-31T02:22:09Z,goal,WALK,0.9999999999999982,0.0,1524,0.0,1,16.76,,
--headless --device cpu --params skill.STEP_TROT_MAX skill.STEP_WALK_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --trace-full --trace-npz outputs/trace_onecell.npz --results-csv outputs/onecell_phase.csv,,19,step_up,1,4.2762747206284795,on,2,1,heading-only,0.0,0,0.04,obstacle,0.02,2,skill.STEP_TROT_MAX,step_up_0p02,0,3,2026-08-31T02:22:09Z,goal,TROT,1.0,0.0,1521,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX skill.STEP_WALK_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --trace-full --trace-npz outputs/trace_onecell.npz --results-csv outputs/onecell_phase.csv,,22,step_up,1,3.092044245619638,on,2,1,heading-only,0.0,0,0.04,obstacle,0.02,2,skill.STEP_WALK_MAX,step_up_0p02,1,3,2026-08-31T02:22:09Z,goal,WALK,0.9999999999999982,0.0,1521,0.0,1,16.78,,
--headless --device cpu --params skill.STEP_TROT_MAX skill.STEP_WALK_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --trace-full --trace-npz outputs/trace_onecell.npz --results-csv outputs/onecell_phase.csv,,26,step_up,1,4.405136129014895,on,2,1,heading-only,0.0,0,0.04,obstacle,0.02,2,skill.STEP_TROT_MAX,step_up_0p02,0,4,2026-08-31T02:22:09Z,goal,TROT,1.0,0.0,1502,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX skill.STEP_WALK_MAX --max-probes 1 --reps 5 --foot-comp on --heading heading-only --trace-full --trace-npz outputs/trace_onecell.npz --results-csv outputs/onecell_phase.csv,,30,step_up,1,3.0337871414423767,on,2,1,heading-only,0.0,0,0.04,obstacle,0.02,2,skill.STEP_WALK_MAX,step_up_0p02,1,4,2026-08-31T02:22:09Z,goal,WALK,0.9999999999999982,0.0,1502,0.0,1,16.3,,
