switch_delay_s,task,level,skill,t_start_s,t_end_s,x_start_m,x_end_m,duration_s
0,jump_on_and_off_box,0,TROT,0,0,1,1,0
0,jump_on_and_off_box,0,WALK,0,3.7,1,1.73996,3.7
0,jump_on_and_off_box,0,RUN,3.7,4.7,1.73996,2.21988,1
0,jump_on_and_off_box,0,WALK,4.7,8.6,2.21988,2.98304,3.9
0,jump_on_and_off_box,0,RUN,8.6,10,2.98304,3.65503,1.4
0,jump_on_and_off_box,0,WALK,10,13.9,3.65503,4.43503,3.9
0,jump_on_and_off_box,0,RUN,13.9,14.7,4.43503,4.81903,0.8
0,jump_on_and_off_box,0,WALK,14.7,18.6,4.81903,5.58465,3.9
0,jump_on_and_off_box,0,RUN,18.6,20,5.58465,6.25646,1.4
0,jump_on_and_off_box,0,WALK,20,23.9,6.25646,7.03624,3.9
0,jump_on_and_off_box,0,RUN,23.9,25.1,7.03624,7.61208,1.2
0,jump_on_and_off_box,0,WALK,25.1,29,7.61208,8.37816,3.9
0,jump_on_and_off_box,0,RUN,29,30.4,8.37816,9.04983,1.4
0,jump_on_and_off_box,0,WALK,30.4,34.3,9.04983,9.82945,3.9
0,jump_on_and_off_box,0,RUN,34.3,35.4,9.82945,10.3572,1.1
0,jump_on_and_off_box,0,WALK,35.4,39.4,10.3572,11.1381,4
0,jump_on_and_off_box,0,RUN,39.4,40.8,11.1381,11.8098,1.4
0,jump_on_and_off_box,0,WALK,40.8,44.7,11.8098,12.5893,3.9
0,jump_on_and_off_box,0,RUN,44.7,45.9,12.5893,13.165,1.2
0,jump_on_and_off_box,0,WALK,45.9,49.8,13.165,13.9344,3.9
0,jump_on_and_off_box,0,RUN,49.8,51.2,13.9344,14.6053,1.4
0,jump_on_and_off_box,0,WALK,51.2,55.1,14.6053,15.384,3.9
0,jump_on_and_off_box,0,RUN,55.1,55.6,15.384,15.6236,0.5
0,jump_on_and_off_box,0,WALK,55.6,59.5,15.6236,16.394,3.9
0,jump_on_and_off_box,0,RUN,59.5,61.3,16.394,17.2576,1.8
0,jump_on_and_off_box,0,WALK,61.3,68.1,17.2576,18.6,6.8
0,jump_on_and_off_box,1,TROT,0,0,1,1,0
0,jump_on_and_off_box,1,WALK,0,3.7,1,1.74,3.7
0,jump_on_and_off_box,1,RUN,3.7,4.3,1.74,2.02799,0.6
0,jump_on_and_off_box,1,WALK,4.3,8.4,2.02799,2.83381,4.1
0,jump_on_and_off_box,1,RUN,8.4,9.8,2.83381,3.50554,1.4
0,jump_on_and_off_box,1,WALK,9.8,13.7,3.50554,4.28521,3.9
0,jump_on_and_off_box,1,RUN,13.7,14.7,4.28521,4.76501,1
0,jump_on_and_off_box,1,WALK,14.7,18.6,4.76501,5.52903,3.9
0,jump_on_and_off_box,1,RUN,18.6,20,5.52903,6.20097,1.4
0,jump_on_and_off_box,1,WALK,20,23.9,6.20097,6.98089,3.9
0,jump_on_and_off_box,1,RUN,23.9,24.8,6.98089,7.41284,0.9
0,jump_on_and_off_box,1,WALK,24.8,28.7,7.41284,8.18602,3.9
0,jump_on_and_off_box,1,RUN,28.7,30.1,8.18602,8.85792,1.4
0,jump_on_and_off_box,1,WALK,30.1,34,8.85792,9.63781,3.9
0,jump_on_and_off_box,1,RUN,34,34.9,9.63781,10.0697,0.9
0,jump_on_and_off_box,1,WALK,34.9,38.7,10.0697,10.8251,3.8
0,jump_on_and_off_box,1,RUN,38.7,40.1,10.8251,11.4971,1.4
0,jump_on_and_off_box,1,WALK,40.1,44,11.4971,12.2771,3.9
0,jump_on_and_off_box,1,RUN,44,45,12.2771,12.7571,1
0,jump_on_and_off_box,1,WALK,45,48.9,12.7571,13.5299,3.9
0,jump_on_and_off_box,1,RUN,48.9,50.3,13.5299,14.2003,1.4
0,jump_on_and_off_box,1,WALK,50.3,54.2,14.2003,14.9785,3.9
0,jump_on_and_off_box,1,RUN,54.2,54.8,14.9785,15.2658,0.6
0,jump_on_and_off_box,1,WALK,54.8,58.7,15.2658,16.0254,3.9
0,jump_on_and_off_box,1,RUN,58.7,61.3,16.0254,17.2725,2.6
0,jump_on_and_off_box,1,WALK,61.3,66.2,17.2725,18.25,4.9
0,jump_on_and_off_box,2,TROT,0,0,1,1,0
0,jump_on_and_off_box,2,WALK,0,3.7,1,1.73929,3.7
0,jump_on_and_off_box,2,RUN,3.7,4.8,1.73929,2.26573,1.1
0,jump_on_and_off_box,2,WALK,4.8,8.7,2.26573,3.04135,3.9
0,jump_on_and_off_box,2,RUN,8.7,10,3.04135,3.66531,1.3
0,jump_on_and_off_box,2,WALK,10,13.8,3.66531,4.42525,3.8
