task,level,switch_delay_s,step_walk_max_m,lookahead_trot_m,px_ground_width_m,obs_step_up_max,obs_step_up_p95,obs_step_up_mean,true_step_up_max,true_step_up_p95,true_step_up_mean,ticks_in_jump_band,jump_gate,requests_dropped_busy,jump_detections,jump_tracks_missed,jump_band_ticks,jump_blocked_far,jump_blocked_retrigger,switches,jumps,goals_reached,goals_total,sim_time_s,travelled_m,stalled,timed_out,n_segments,warn_tick_frac,blind_tick_frac,stale_tick_frac,unsupported_fatal,unsupported_unverified,frac_WALK,frac_TROT,frac_RUN,frac_JUMP,sequence
jump_on_and_off_box,0,0,0.06,0.05,0.00316793,0.44,0.44,0.102555,0.44,0.44,0.102555,0,near_edge,0,0,0,0,0,0,25,0,8,8,68.1,17.6091,False,False,26,1,0,0,65,3,0.785609,0,0.214391,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK
jump_on_and_off_box,1,0,0.06,0.05,0.00316793,0.465,0.465,0.118399,0.465,0.465,0.118399,0,near_edge,0,0,0,0,0,0,25,0,8,8,66.2,17.2596,False,False,26,1,0,0,62,4,0.779456,0,0.220544,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK
jump_on_and_off_box,2,0,0.06,0.05,0.00316793,0.525,0.525,0.137809,0.525,0.525,0.137809,0,near_edge,0,0,0,0,0,0,25,0,8,8,64.8,16.959,False,False,26,1,0,0,60,4,0.776235,0,0.223765,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK
jump_on_and_off_box,3,0,0.06,0.05,0.00316793,0.56,0.56,0.158376,0.56,0.56,0.158376,0,near_edge,0,0,0,0,0,0,25,0,8,8,62.5,16.4652,False,False,26,1,0,0,53,3,0.7696,0,0.2304,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK
jump_on_and_off_box,4,0,0.06,0.05,0.00316793,0.59,0.59,0.174992,0.59,0.59,0.174992,0,near_edge,0,0,0,0,0,0,25,0,8,8,62,16.3563,False,False,26,1,0,0,52,3,0.767742,0,0.232258,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK
jump_on_and_off_box,5,0,0.06,0.05,0.00316793,0.625,0.625,0.197938,0.625,0.625,0.197938,0,near_edge,0,0,0,0,0,0,24,0,8,8,61.1,16.0555,False,False,25,1,0,0,48,2,0.770867,0,0.229133,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
jump_on_and_off_box,6,0,0.06,0.05,0.00316793,0.66,0.66,0.207718,0.66,0.66,0.207718,0,near_edge,0,0,0,0,0,0,24,0,8,8,60.7,15.9114,False,False,25,1,0,0,51,0,0.775947,0,0.224053,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
jump_on_and_off_box,7,0,0.06,0.05,0.00316793,0.71,0.71,0.226025,0.71,0.71,0.226025,0,near_edge,0,0,0,0,0,0,24,0,8,8,60,15.5624,False,False,25,1,0,0,51,0,0.781667,0,0.218333,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
jump_on_and_off_box,8,0,0.06,0.05,0.00316793,0.775,0.775,0.243447,0.775,0.775,0.243447,0,near_edge,0,0,0,0,0,0,24,0,8,8,59.9,15.5588,False,False,25,1,0,0,51,0,0.781302,0,0.218698,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
jump_on_and_off_box,9,0,0.06,0.05,0.00316793,0.795,0.795,0.267976,0.795,0.795,0.267976,0,near_edge,0,0,0,0,0,0,22,0,8,8,59.3,15.0627,False,False,23,1,0,0,51,0,0.799325,0,0.200675,0,TROT→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN→WALK→RUN
