ablation,argv,base_height_mean_m,best_mapping,best_mapping_r,cap_effort_target,cap_runtime_gains,clip,clip_archive,contact_threshold_n,decimation,dt,duty,duty_per_leg,fall_height_m,flight_frac,gain_writes,ground_friction_mu,handover_ang_dps,handover_feet_loaded,handover_speed_mps,hip_offset_rad_max,hip_sign,mode_requested,mode_used,n_cycles,n_steps,phys_dt,plant_comp,plant_comp_alpha,rate,run_utc,settle_mode,start_feet_down,start_foot_spread_m,start_frame,start_phase,stride_cv,stride_hz,terminated_s,torque_saturated_frac,verdict,vx_mean,vy_mean,yaw_rate_deg_s
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --plant-comp off --plant-comp-alpha 0 --results-csv outputs/plant_comp_sweep.csv --trace-npz outputs/traces/plantcomp/TROT_off0.npz,0.31105637550354004,identity,0.6422057275970777,True,True,TROT,skill_clips.npz,30.0,4,0.020090821531248082,0.42272727272727273,"[0.33636363636363636, 0.6181818181818182, 0.24545454545454545, 0.4909090909090909]",0.15,0.12727272727272726,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,1,110,0.0050227053828120205,off,0.0,lo,2026-08-28T07:11:17Z,stand,2,0.014293946325778961,16,level,0.0,1.555436643115643,2.189899546906041,0.006060606060606061,FAIL,0.3063511848449707,-0.2220603972673416,11.254793167114258
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --plant-comp stance --plant-comp-alpha 0 --results-csv outputs/plant_comp_sweep.csv --trace-npz outputs/traces/plantcomp/TROT_stance0.npz,0.31105637550354004,identity,0.6422056914278921,True,True,TROT,skill_clips.npz,30.0,4,0.020090821531248082,0.42272727272727273,"[0.33636363636363636, 0.6181818181818182, 0.24545454545454545, 0.4909090909090909]",0.15,0.12727272727272726,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,1,110,0.0050227053828120205,stance,0.0,lo,2026-08-28T07:11:45Z,stand,2,0.014293946325778961,16,level,0.0,1.555436643115643,2.189899546906041,0.006060606060606061,FAIL,0.3063511848449707,-0.2220603972673416,11.254793167114258
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --plant-comp stance --plant-comp-alpha 0.5 --results-csv outputs/plant_comp_sweep.csv --trace-npz outputs/traces/plantcomp/TROT_stance0.5.npz,0.2989557981491089,identity,0.6539202856429954,True,True,TROT,skill_clips.npz,30.0,4,0.020090821531248082,0.46904761904761905,"[0.38095238095238093, 0.4666666666666667, 0.29523809523809524, 0.7333333333333333]",0.15,0.0761904761904762,0,1.3,11.552714297074736,3,0.06712038069963455,0.09597759246826172,keep,position,position,1,105,0.0050227053828120205,stance,0.5,lo,2026-08-28T07:12:15Z,stand,2,0.014293946325778961,16,level,0.0,1.4221135022771594,2.0894454392498005,0.0,FAIL,0.20682528614997864,-0.20773442089557648,-9.280191421508789
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --plant-comp stance --plant-comp-alpha 1.0 --results-csv outputs/plant_comp_sweep.csv --trace-npz outputs/traces/plantcomp/TROT_stance1.0.npz,0.2813272774219513,identity,0.6197003508447598,True,True,TROT,skill_clips.npz,30.0,4,0.020090821531248082,0.46901041666666665,"[0.196875, 0.3260416666666667, 0.6651041666666667, 0.6880208333333333]",0.15,0.0,0,1.3,10.866078794907938,3,0.06745632737874985,0.19195518493652344,keep,position,position,65,1920,0.0050227053828120205,stance,1.0,lo,2026-08-28T07:12:43Z,stand,2,0.014293946325778961,16,level,0.32801945558348466,1.555436643115643,,0.00030381944444444445,FAIL,0.036002762615680695,0.023274186998605728,6.635796070098877
none,--clip-archive data/skill_clips.npz --clip WALK --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --plant-comp off --plant-comp-alpha 0 --results-csv outputs/plant_comp_sweep.csv --trace-npz outputs/traces/plantcomp/WALK_off0.npz,0.31601953506469727,identity,0.4998604195813338,True,True,WALK,skill_clips.npz,30.0,4,0.01977108591891901,0.542454954954955,"[0.6328828828828829, 0.5509009009009009, 0.4563063063063063, 0.5297297297297298]",0.15,0.0,0,1.3,3.1959654678462646,3,0.019550304859876633,0.0,keep,position,position,58,2220,0.004942771479729753,off,0.0,lo,2026-08-28T07:13:21Z,stand,3,0.026363134384155273,18,level,0.028093920610746545,1.3669976013388716,,0.0,WARN,0.2328098565340042,-0.00022957818873692304,2.676110029220581
none,--clip-archive data/skill_clips.npz --clip WALK --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --plant-comp stance --plant-comp-alpha 0 --results-csv outputs/plant_comp_sweep.csv --trace-npz outputs/traces/plantcomp/WALK_stance0.npz,0.31601953506469727,identity,0.49986042946800957,True,True,WALK,skill_clips.npz,30.0,4,0.01977108591891901,0.542454954954955,"[0.6328828828828829, 0.5509009009009009, 0.4563063063063063, 0.5297297297297298]",0.15,0.0,0,1.3,3.1959654678462646,3,0.019550304859876633,0.0,keep,position,position,58,2220,0.004942771479729753,stance,0.0,lo,2026-08-28T07:14:00Z,stand,3,0.026363134384155273,18,level,0.028093920610746545,1.3669976013388716,,0.0,WARN,0.2328098565340042,-0.00022957818873692304,2.676110029220581
none,--clip-archive data/skill_clips.npz --clip WALK --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --plant-comp stance --plant-comp-alpha 0.5 --results-csv outputs/plant_comp_sweep.csv --trace-npz outputs/traces/plantcomp/WALK_stance0.5.npz,0.3078015148639679,identity,0.5502495661784942,True,True,WALK,skill_clips.npz,30.0,4,0.01977108591891901,0.5843468468468469,"[0.6459459459459459, 0.5698198198198198, 0.5234234234234234, 0.5981981981981982]",0.15,0.0,0,1.3,2.9247339601500038,3,0.01892433688044548,0.0867196686565876,keep,position,position,59,2220,0.004942771479729753,stance,0.5,lo,2026-08-28T07:14:39Z,stand,3,0.026363134384155273,18,level,0.10251194670910548,1.3669976013388716,,0.0,WARN,0.17741753160953522,0.006248272955417633,2.6031885147094727
none,--clip-archive data/skill_clips.npz --clip WALK --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --plant-comp stance --plant-comp-alpha 1.0 --results-csv outputs/plant_comp_sweep.csv --trace-npz outputs/traces/plantcomp/WALK_stance1.0.npz,0.29269465804100037,identity + hip sign flipped,0.41606458145703745,True,True,WALK,skill_clips.npz,30.0,4,0.01977108591891901,0.5807432432432432,"[0.6536036036036036, 0.5783783783783784, 0.4810810810810811, 0.6099099099099099]",0.15,0.00045045045045045046,0,1.3,2.516368902505989,3,0.016833379864692688,0.1734393373131752,keep,position,position,77,2220,0.004942771479729753,stance,1.0,lo,2026-08-28T07:15:18Z,stand,3,0.026363134384155273,18,level,0.41280954692568733,1.404969756931618,,0.0,FAIL,0.16715586185455322,0.00901433452963829,3.8400256633758545
none,--clip-archive data/skill_clips.npz --clip TURN --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --plant-comp off --plant-comp-alpha 0 --results-csv outputs/plant_comp_sweep.csv --trace-npz outputs/traces/plantcomp/TURN_off0.npz,0.3303167521953583,identity,0.3153146884093682,True,True,TURN,skill_clips.npz,30.0,4,0.019829280799998135,0.5610021786492375,"[0.45098039215686275, 0.7603485838779956, 0.4357298474945534, 0.5969498910675382]",0.15,0.023965141612200435,0,1.3,32.107841608921596,2,0.06130257248878479,0.0,keep,position,position,19,459,0.004957320199999534,off,0.0,lo,2026-08-28T07:15:56Z,stand,3,0.005334831774234772,24,level,0.6685038690267756,2.8016929164450977,9.081810606399145,0.0,FAIL,0.003575014416128397,-0.020894397050142288,-14.497282028198242
none,--clip-archive data/skill_clips.npz --clip TURN --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --plant-comp stance --plant-comp-alpha 0 --results-csv outputs/plant_comp_sweep.csv --trace-npz outputs/traces/plantcomp/TURN_stance0.npz,0.3303167521953583,identity,0.3153147255403233,True,True,TURN,skill_clips.npz,30.0,4,0.019829280799998135,0.5610021786492375,"[0.45098039215686275, 0.7603485838779956, 0.4357298474945534, 0.5969498910675382]",0.15,0.023965141612200435,0,1.3,32.107841608921596,2,0.06130257248878479,0.0,keep,position,position,19,459,0.004957320199999534,stance,0.0,lo,2026-08-28T07:16:27Z,stand,3,0.005334831774234772,24,level,0.6685038690267756,2.8016929164450977,9.081810606399145,0.0,FAIL,0.003575014416128397,-0.020894397050142288,-14.497282028198242
