ablation,argv,base_height_mean_m,best_mapping,best_mapping_r,cap_effort_target,cap_runtime_gains,clip,clip_archive,contact_rule,contact_threshold_n,decimation,dt,duty,duty_bare_threshold,duty_per_leg,fall_height_m,flight_frac,gain_writes,ground_friction_mu,handover_ang_dps,handover_feet_loaded,handover_speed_mps,hip_offset_rad_max,hip_sign,mode_requested,mode_used,n_cycles,n_steps,phys_dt,plant_comp,plant_comp_alpha,rate,run_utc,settle_mode,start_feet_down,start_foot_spread_m,start_frame,start_phase,stride_cv,stride_hz,stride_hz_bare_threshold,terminated_s,torque_saturated_frac,verdict,vx_mean,vy_mean,yaw_rate_deg_s
none,--clip-archive data/skill_clips.npz --clip WALK --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --results-csv outputs/reproduction_check.csv --trace-npz outputs/traces/repro/WALK_clip.npz,0.31601953506469727,identity,0.4998604195813338,True,True,WALK,skill_clips.npz,schmitt+despeckle on force,30.0,4,0.01977108591891901,0.5916666666666667,0.542454954954955,"[0.6481981981981982, 0.5527027027027027, 0.586036036036036, 0.5797297297297297]",0.15,0.0,0,1.3,3.1959654678462646,3,0.019550304859876633,0.0,keep,position,position,58,2220,0.004942771479729753,off,0.0,lo,2026-08-28T07:43:07Z,stand,3,0.026363134384155273,18,level,0.02117173335207636,1.3669976013388716,1.3669976013388716,,0.0,WARN,0.2328098565340042,-0.00022957818873692304,2.676110029220581
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --results-csv outputs/reproduction_check.csv --trace-npz outputs/traces/repro/TROT_clip.npz,0.31105637550354004,identity,0.6422057275970777,True,True,TROT,skill_clips.npz,schmitt+despeckle on force,30.0,4,0.020090821531248082,0.4090909090909091,0.42272727272727273,"[0.32727272727272727, 0.5454545454545454, 0.2727272727272727, 0.4909090909090909]",0.15,0.13636363636363635,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,1,110,0.0050227053828120205,off,0.0,lo,2026-08-28T07:43:45Z,stand,2,0.014293946325778961,16,level,0.0,1.555436643115643,1.555436643115643,2.189899546906041,0.006060606060606061,FAIL,0.3063511848449707,-0.2220603972673416,11.254793167114258
none,--clip-archive data/skill_clips.npz --clip TURN --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --results-csv outputs/reproduction_check.csv --trace-npz outputs/traces/repro/TURN_clip.npz,0.3303167521953583,identity,0.3153146884093682,True,True,TURN,skill_clips.npz,schmitt+despeckle on force,30.0,4,0.019829280799998135,0.5980392156862745,0.5610021786492375,"[0.5533769063180828, 0.738562091503268, 0.5119825708061002, 0.5882352941176471]",0.15,0.023965141612200435,0,1.3,32.107841608921596,2,0.06130257248878479,0.0,keep,position,position,7,459,0.004957320199999534,off,0.0,lo,2026-08-28T07:44:14Z,stand,3,0.005334831774234772,24,level,0.39517015153568325,1.120677166578039,2.8016929164450977,9.081810606399145,0.0,FAIL,0.003575014416128397,-0.020894397050142288,-14.497282028198242
none,--clip-archive data/skill_clips.npz --clip RUN --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --results-csv outputs/reproduction_check.csv --trace-npz outputs/traces/repro/RUN_clip.npz,0.20217107236385345,left_right_swapped + hip/thigh/calf sign flipped,0.07610504946205765,True,True,RUN,skill_clips.npz,schmitt+despeckle on force,30.0,4,0.0202551066875003,0.2601626016260163,0.21138211382113822,"[0.2845528455284553, 0.42276422764227645, 0.13008130081300814, 0.2032520325203252]",0.15,0.4146341463414634,123,1.3,12.720914847994221,2,0.10564714670181274,0.0,keep,torque,torque,6,123,0.005063776671875075,off,0.0,lo,2026-08-28T07:44:44Z,stand,1,0.02071179449558258,5,level,0.5973044044765835,3.1851784356224515,4.114188812679,2.471123015875037,0.0,FAIL,0.13133229315280914,-0.10006076842546463,19.15400505065918
none,--clip-archive data/gait_windows.npz --clip RUN_GAIT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase first --settle-mode stand --results-csv outputs/reproduction_check.csv --trace-npz outputs/traces/repro/RUN_GAIT.npz,0.3104109466075897,diagonal_swapped + hip sign flipped,0.2643413797971637,True,True,RUN_GAIT,gait_windows.npz,schmitt+despeckle on force,30.0,4,0.02,0.5565476190476191,0.5148809523809523,"[0.3333333333333333, 0.6071428571428571, 0.5714285714285714, 0.7142857142857143]",0.15,0.19047619047619047,84,1.3,4.500790719620337,3,0.06602886319160461,0.0,keep,torque,torque,3,84,0.005,off,0.0,lo,2026-08-28T07:45:27Z,stand,,nan,0,first,0.0907218423253029,5.555555555555555,5.882352941176471,1.6600000000000001,0.0,FAIL,0.007075084839016199,-0.31161952018737793,2.5594840049743652
none,--clip-archive data/gait_windows.npz --clip TROT_GAIT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase first --settle-mode stand --results-csv outputs/reproduction_check.csv --trace-npz outputs/traces/repro/TROT_GAIT.npz,0.27423450350761414,identity,0.5787274938387176,True,True,TROT_GAIT,gait_windows.npz,schmitt+despeckle on force,30.0,4,0.02,0.5111940298507462,0.417910447761194,"[0.5671641791044776, 0.373134328358209, 0.31343283582089554, 0.7910447761194029]",0.15,0.14925373134328357,0,1.3,5.299996277045407,2,0.050463177263736725,0.0,keep,position,position,0,67,0.005,off,0.0,lo,2026-08-28T07:45:55Z,stand,,nan,0,first,nan,nan,nan,1.32,0.008706467661691543,FAIL,0.20020143687725067,-0.28757932782173157,22.12640953063965
none,--clip-archive data/gait_windows.npz --clip TURN_GAIT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase first --settle-mode stand --results-csv outputs/reproduction_check.csv --trace-npz outputs/traces/repro/TURN_GAIT.npz,0.32349082827568054,identity,0.4805512161304553,True,True,TURN_GAIT,gait_windows.npz,schmitt+despeckle on force,30.0,4,0.02,0.6317427385892116,0.5663900414937759,"[0.4979253112033195, 0.7966804979253111, 0.6514522821576764, 0.5809128630705395]",0.15,0.04149377593360996,0,1.3,3.626908996452226,3,0.053259920328855515,0.0,keep,position,position,2,241,0.005,off,0.0,lo,2026-08-28T07:46:24Z,stand,,nan,0,first,0.4177215189873418,1.2658227848101264,1.639344262295082,4.8,0.0,FAIL,0.03980577737092972,-0.0733906626701355,-17.27350616455078
none,--clip-archive data/gait_windows.npz --clip WALK_GAIT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase first --settle-mode stand --results-csv outputs/reproduction_check.csv --trace-npz outputs/traces/repro/WALK_GAIT.npz,0.31596076488494873,identity,0.5941313104704022,True,True,WALK_GAIT,gait_windows.npz,schmitt+despeckle on force,30.0,4,0.02,0.6015100671140939,0.575503355704698,"[0.6342281879194631, 0.6476510067114094, 0.62751677852349, 0.4966442953020134]",0.15,0.0,0,1.3,10.26544305835442,3,0.05611373484134674,0.0,keep,position,position,7,298,0.005,off,0.0,lo,2026-08-28T07:46:53Z,stand,,nan,0,first,0.25203634097912814,1.3513513513513513,1.5384615384615383,,0.0,WARN,0.21867071092128754,0.005539937876164913,-1.915657877922058
none,--clip-archive data/skill_clips.npz --clip JUMP --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase first --settle-mode stand --mode position --results-csv outputs/reproduction_check.csv --trace-npz outputs/traces/repro/JUMP_position_lo.npz,0.29011213779449463,left_right_swapped + hip sign flipped,0.6460458139578501,True,True,JUMP,skill_clips.npz,schmitt+despeckle on force,30.0,4,0.02,0.6413043478260869,0.4891304347826087,"[0.6086956521739131, 0.6521739130434783, 0.6521739130434783, 0.6521739130434783]",0.15,0.30434782608695654,0,1.3,11.004529290705037,3,0.07256386429071426,0.0,keep,position,position,0,23,0.005,off,0.0,lo,2026-08-28T07:47:23Z,stand,,nan,0,first,nan,nan,10.0,0.44,0.0,FAIL,-0.06332285702228546,-0.008981266990303993,-3.326427936553955
none,--clip-archive data/skill_clips.npz --clip JUMP --rate hi --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase first --settle-mode stand --mode position --results-csv outputs/reproduction_check.csv --trace-npz outputs/traces/repro/JUMP_position_hi.npz,0.29652073979377747,left_right_swapped,0.616193413734436,True,True,JUMP,skill_clips.npz,schmitt+despeckle on force,30.0,4,0.002435828999750811,0.6141304347826086,0.48777173913043476,"[0.6032608695652174, 0.6032608695652174, 0.6304347826086957, 0.6195652173913043]",0.15,0.3695652173913043,0,1.3,11.223216580003212,3,0.07160843908786774,0.0,keep,position,position,0,184,0.0006089572499377027,off,0.0,hi,2026-08-28T07:47:51Z,stand,,nan,0,first,nan,nan,8.734847867751586,0.4457567069543984,0.0,FAIL,-0.06370589137077332,0.007040920667350292,-1.439742922782898
none,--clip-archive data/skill_clips.npz --clip JUMP --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase first --settle-mode stand --mode torque --results-csv outputs/reproduction_check.csv --trace-npz outputs/traces/repro/JUMP_torque_lo.npz,0.1915045529603958,diagonal_swapped,0.5429439842700958,True,True,JUMP,skill_clips.npz,schmitt+despeckle on force,30.0,4,0.02,0.20202020202020202,0.2222222222222222,"[0.10101010101010101, 0.23232323232323232, 0.26262626262626265, 0.21212121212121213]",0.15,0.7272727272727273,99,1.3,11.004529290705037,3,0.07256386429071426,0.0,keep,torque,torque,1,99,0.005,off,0.0,lo,2026-08-28T07:48:22Z,stand,,nan,0,first,0.0,6.25,9.090909090909092,1.96,0.6708754208754208,FAIL,-0.016249362379312515,0.11613256484270096,-1.6288025379180908
none,--clip-archive data/skill_clips.npz --clip JUMP --rate hi --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase first --settle-mode stand --mode torque --results-csv outputs/reproduction_check.csv --trace-npz outputs/traces/repro/JUMP_torque_hi.npz,0.29463204741477966,front_rear_swapped + hip sign flipped,0.588801642258962,True,True,JUMP,skill_clips.npz,schmitt+despeckle on force,30.0,4,0.002435828999750811,0.21143617021276595,0.5226063829787234,"[0.05851063829787234, 0.05851063829787234, 0.6542553191489362, 0.07446808510638298]",0.15,0.34574468085106386,188,1.3,11.223216580003212,3,0.07160843908786774,0.0,keep,torque,torque,0,188,0.0006089572499377027,off,0.0,hi,2026-08-28T07:48:51Z,stand,,nan,0,first,nan,nan,8.734847867751586,0.45550002295340164,0.0008865248226950354,FAIL,-0.06122416630387306,0.007115543354302645,-1.8934015035629272
