argv,drift_max_m,entry_frame,entry_frame_arg,family,fell,final_dist_m,foot_com_height_m,foot_comp,foot_gain,foot_len_bias,foot_offset_clip_m,foot_vy_avg_n,foot_yaw_bias,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,hip_saturated,inplace_at,level_m,n_probes,param,probe,reached,rep,roll_cap_nm,roll_couple,roll_gain,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,tau_hip_max_nm,yaw_cum_deg,yaw_moment,yaw_moment_cap_nm,yaw_moment_gain,yaw_moment_nm,yaw_ok_deg
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --trace-npz outputs/roll/trot_step.npz --results-csv outputs/roll/trot.csv,,0,0,step_up,1,1.5917477275484788,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.02,15,skill.STEP_TROT_MAX,step_up_0p02,0,0,,off,,2026-09-02T02:10:18Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,18.379222869873047,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --trace-npz outputs/roll/trot_step.npz --results-csv outputs/roll/trot.csv,,0,0,step_up,0,1.4894551929436997,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.04,15,skill.STEP_TROT_MAX,step_up_0p04,0,0,,off,,2026-09-02T02:10:18Z,goal,1,TROT,0.9999999999999982,0.0,901,0.0,1,nan,14.798283576965332,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --trace-npz outputs/roll/trot_step.npz --results-csv outputs/roll/trot.csv,,0,0,step_up,0,1.4469564597266256,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.06,15,skill.STEP_TROT_MAX,step_up_0p06,0,0,,off,,2026-09-02T02:10:18Z,goal,1,TROT,0.9999999999999964,0.0,901,0.0,1,nan,14.4834623336792,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --trace-npz outputs/roll/trot_step.npz --results-csv outputs/roll/trot.csv,,0,0,step_up,1,1.9064519078533149,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.08,15,skill.STEP_TROT_MAX,step_up_0p08,0,0,,off,,2026-09-02T02:10:18Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,19.835046768188477,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --trace-npz outputs/roll/trot_step.npz --results-csv outputs/roll/trot.csv,,0,0,step_up,0,1.4938548844866124,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.1,15,skill.STEP_TROT_MAX,step_up_0p10,0,0,,off,,2026-09-02T02:10:18Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,14.442471504211426,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --trace-npz outputs/roll/trot_step.npz --results-csv outputs/roll/trot.csv,,0,0,step_up,0,1.555225920498583,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.12,15,skill.STEP_TROT_MAX,step_up_0p12,0,0,,off,,2026-09-02T02:10:18Z,goal,1,TROT,0.9999999999999982,0.0,901,0.0,1,nan,14.589400291442871,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --trace-npz outputs/roll/trot_step.npz --results-csv outputs/roll/trot.csv,,0,0,step_up,1,1.1561229928163668,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.14,15,skill.STEP_TROT_MAX,step_up_0p14,0,0,,off,,2026-09-02T02:10:18Z,goal,1,TROT,0.9999999999999964,0.0,901,0.0,1,nan,23.66039276123047,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --trace-npz outputs/roll/trot_step.npz --results-csv outputs/roll/trot.csv,,0,0,step_up,1,1.9496417613279526,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.16,15,skill.STEP_TROT_MAX,step_up_0p16,0,0,,off,,2026-09-02T02:10:18Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,14.621021270751953,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --trace-npz outputs/roll/trot_step.npz --results-csv outputs/roll/trot.csv,,0,0,step_up,1,1.7290804790539986,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.18,15,skill.STEP_TROT_MAX,step_up_0p18,0,0,,off,,2026-09-02T02:10:18Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,14.648531913757324,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 0 --skip-unsupported --foot-comp on --heading heading-only --trace-npz outputs/roll/trot_step.npz --results-csv outputs/roll/trot.csv,,0,0,step_up,1,1.56818210551618,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.2,15,skill.STEP_TROT_MAX,step_up_0p20,0,0,,off,,2026-09-02T02:10:18Z,goal,1,TROT,0.9999999999999982,0.0,901,0.0,1,nan,14.60640811920166,,off,nan,0.0,0.0,
