argv,drift_max_m,entry_frame,entry_frame_arg,family,fell,final_dist_m,foot_com_height_m,foot_comp,foot_gain,foot_len_bias,foot_offset_clip_m,foot_vy_avg_n,foot_yaw_bias,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,hip_saturated,inplace_at,level_m,n_probes,param,probe,reached,rep,roll_cap_nm,roll_couple,roll_gain,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,tau_hip_max_nm,yaw_cum_deg,yaw_moment,yaw_moment_cap_nm,yaw_moment_gain,yaw_moment_nm,yaw_ok_deg
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 1 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_1.npz --results-csv outputs/roll2/t4.csv,,1,1,step_up,1,4.681406100818085,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.02,15,skill.STEP_TROT_MAX,step_up_0p02,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,15.756678581237793,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 1 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_1.npz --results-csv outputs/roll2/t4.csv,,1,1,step_up,1,1.9145283599309255,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.04,15,skill.STEP_TROT_MAX,step_up_0p04,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,0.9999999999999982,0.0,901,0.0,1,nan,14.276167869567871,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 1 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_1.npz --results-csv outputs/roll2/t4.csv,,1,1,step_up,0,1.558629985248308,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.06,15,skill.STEP_TROT_MAX,step_up_0p06,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,0.9999999999999964,0.0,901,0.0,1,nan,13.942312240600586,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 1 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_1.npz --results-csv outputs/roll2/t4.csv,,1,1,step_up,1,2.147248176874585,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.08,15,skill.STEP_TROT_MAX,step_up_0p08,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,13.953874588012695,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 1 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_1.npz --results-csv outputs/roll2/t4.csv,,1,1,step_up,0,1.6604395791695408,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.1,15,skill.STEP_TROT_MAX,step_up_0p10,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,13.939618110656738,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 1 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_1.npz --results-csv outputs/roll2/t4.csv,,1,1,step_up,0,1.7761677901872175,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.12,15,skill.STEP_TROT_MAX,step_up_0p12,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,0.9999999999999982,0.0,901,0.0,1,nan,13.945418357849121,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 1 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_1.npz --results-csv outputs/roll2/t4.csv,,1,1,step_up,0,1.6862106347598043,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.14,15,skill.STEP_TROT_MAX,step_up_0p14,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,0.9999999999999964,0.0,901,0.0,1,nan,13.941489219665527,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 1 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_1.npz --results-csv outputs/roll2/t4.csv,,1,1,step_up,0,1.4595532923480012,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.16,15,skill.STEP_TROT_MAX,step_up_0p16,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,13.94144058227539,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 1 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_1.npz --results-csv outputs/roll2/t4.csv,,1,1,step_up,1,1.8519218254090075,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.18,15,skill.STEP_TROT_MAX,step_up_0p18,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,17.194902420043945,,off,nan,0.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-frame 1 --skip-unsupported --foot-comp on --heading heading-only --trace-full --trace-npz outputs/roll2/t4_1.npz --results-csv outputs/roll2/t4.csv,,1,1,step_up,1,1.8285782609355563,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.2,15,skill.STEP_TROT_MAX,step_up_0p20,0,0,,off,,2026-09-02T02:38:46Z,goal,1,TROT,0.9999999999999982,0.0,901,0.0,1,nan,13.944395065307617,,off,nan,0.0,0.0,
