group,session,name,skill_key,primary_skill,gait_mode,motion_type,skill_seq,prereq_skills,cmd_vx,cmd_vy,cmd_wz,cmd_duration_s,speed_level,samples,fs_hz,rec_duration_s,win_start_s,win_end_s,win_span_s,active_s,n_segments,idle_dq_rad_s,peak_dq_rad_s,send_to_motion_s,trigger_skill,settle_s,vx_mean,vx_std,vx_p5,vx_p95,vx_max,vx_min,vx_absmax,vy_mean,vy_absmax,speed_mean,vx_steady_mean,speed_steady_mean,vy_steady_mean,yaw_rate_steady_mean,yaw_rate_mean,yaw_rate_absmax,odom_dist_m,odom_speed_mean,odom_yaw_deg,contact_thr_FR_N,duty_FR,contact_thr_FL_N,duty_FL,contact_thr_RR_N,duty_RR,contact_thr_RL_N,duty_RL,contact_thr_mean_N,duty_mean,duty_min,duty_max,stride_hz,stride_hz_leg_spread,stride_cv,n_stride_intervals,periodic,flight_frac,flight_max_s,flight_mean_s,n_flight_phases,swing_sync,phase_FL,phase_RR,phase_RL,gait_pattern,pair_score_trot,pair_score_pace,pair_score_bound,foot_force_tot_mean_N,foot_force_peak_N,foot_force_clipped_frac,height_mean_m,height_std_m,height_min_m,height_max_m,height_range_m,height_session_min_m,height_session_max_m,tau_rms_Nm,tau_peak_Nm,tau_rms_hip_Nm,tau_peak_hip_Nm,tau_rms_thigh_Nm,tau_peak_thigh_Nm,tau_rms_calf_Nm,tau_peak_calf_Nm,tau_peak_joint,posstop_frac,posstop_frac_session,posstop_rows_frac,posstop_first_s,posstop_total_s,kp_max,nan_frac_state,nan_frac_qdes,nan_frac_tau,has_events
01_running_trot_flight,gait_trot_run_20260824_224440,gait_trot_run,trot_run+move:forward,move,trot_run,forward,trot_run→move,trot_run,0.3,0,0,5,,8601,425.2,20.288,11.4083,16.6623,5.25391,5.09855,1,0.0271153,4.54867,4.1336,move,0.0323661,0.0708122,0.113933,-0.0190196,0.28811,0.595307,-0.251027,0.595307,0.00316128,0.287534,0.0815157,0.0909417,0.0951864,0.00448198,-0.00360897,0.00221455,0.567786,0.515529,0.0981231,1.53133,45.95,0.369926,50.4,0.329336,53.05,0.279059,51.35,0.321033,50.1875,0.324839,0.279059,0.369926,3.09484,0.101457,0.243949,55,True,0.287362,0.148159,0.052326,28,0.287362,0.524986,0.575298,0.0590751,trot,0.843923,-0.479286,-0.465096,135.324,209,0.000345941,0.323792,0.00442197,0.307213,0.336618,0.0294042,0.296589,0.336618,6.78795,25.7464,4.24359,12.097,1.71516,8.43575,10.8295,25.7464,RR_calf,0.000922509,0.000232531,0.000922509,11.4157,0.00470346,40,0.00104639,0.00360423,0,True
01_running_trot_flight,run_trot_08_20260824_231528,run_trot_08,trot_run+move:forward,move,trot_run,forward,speed_level→trot_run→move,speed_level→trot_run,0.8,0,0,4.5,0,10441,421.5,25.069,15.7105,20.818,5.10752,4.81327,1,0.0273761,4.87231,4.42143,move,0.279673,0.169846,0.291156,-0.0447607,0.732837,1.08956,-0.133836,1.08956,-0.010084,0.36317,0.190011,0.202149,0.217288,-0.00964769,-0.0272783,-0.0195333,0.583765,1.39881,0.273872,-4.43102,41.45,0.384919,44.64,0.302119,50.25,0.207984,52.6,0.276984,47.235,0.293001,0.207984,0.384919,2.99452,0.110022,0.330691,50,False,0.380976,0.151823,0.0733496,25,0.380976,0.514997,0.520803,0.017191,trot,0.748153,-0.35016,-0.237952,124.4,180,0,0.319603,0.00405259,0.305876,0.330825,0.0249488,0.305876,0.352108,6.61003,31.0094,3.76991,12.3691,3.09484,16.3767,10.3579,31.0094,FL_calf,0,0,0,,0,40,0.000478881,0.00258596,0,True
01_running_trot_flight,run_trot_10_20260824_230831,run_trot_10,trot_run+move:forward,move,trot_run,forward,trot_run→move,trot_run,1,0,0,4,,8634,425.4,20.446,11.4809,16.8721,5.39118,5.2721,1,0.0270749,4.71885,4.12631,move,0.712773,0.173202,0.344329,-0.0698312,0.879858,1.30905,-0.416565,1.30905,-0.00209364,0.484323,0.207829,0.193992,0.225492,0.00165985,-0.00950434,-0.00520569,0.590156,1.48702,0.275825,-2.51478,41.1,0.448952,45,0.318324,52.05,0.208649,51.8,0.218903,47.4875,0.298707,0.208649,0.448952,3.03143,0.118818,0.430019,44,False,0.308515,0.206841,0.0707184,23,0.308515,0.526335,0.544597,0.0287021,trot,0.619578,-0.399888,-0.249012,126.25,209,0.000334374,0.321325,0.00515063,0.303693,0.335271,0.0315778,0.303693,0.346388,6.58708,31.3888,3.74246,15.1398,3.80929,20.0627,10.0823,31.3888,RR_calf,0.000891663,0.000231642,0.000891663,11.4881,0.00470094,40,0.000926569,0.00301135,0,True
01_running_trot_flight,run_trot_15_20260824_230913,run_trot_15,trot_run+move:forward,move,trot_run,forward,trot_run→move,trot_run,1.5,0,0,3.5,,8310,419.3,19.979,11.4366,16.1762,4.73962,4.64608,1,0.0274034,4.61812,4.04165,move,0.916363,0.316604,0.576611,-0.0783158,1.38211,2.43549,-1.47701,2.43549,0.00841264,1.35875,0.377793,0.387913,0.445337,0.0152112,-0.053866,-0.026525,0.695618,1.93239,0.40771,-9.48385,43.6425,0.321869,50.4,0.35883,55.65,0.244353,55.3,0.281828,51.2481,0.30172,0.244353,0.35883,3.06443,0.387879,0.231333,42,True,0.25154,0.131178,0.0584338,20,0.25154,0.473236,0.465138,0.974009,trot,0.647349,-0.430203,-0.412903,126.912,210,0.00179671,0.310297,0.0104617,0.265377,0.327682,0.0623058,0.265377,0.343012,7.44691,34.3285,4.05296,12.6907,5.3259,26.9647,11.0262,34.3285,FR_calf,0.000513347,0.000120337,0.000513347,11.4465,0.00238505,40,0.00108303,0.00373045,0,True
01_running_trot_flight,run_trot_15_lvl0_20260824_231923,run_trot_15_lvl0,trot_run+move:forward,move,trot_run,forward,speed_level→trot_run→move,speed_level→trot_run,1.5,0,0,3.5,0,9999,423.4,23.889,15.3707,20.0322,4.66155,4.38085,1,0.0273472,4.60986,4.07083,move,0.195845,0.309305,0.590206,-0.0942168,1.35653,2.3134,-1.91219,2.3134,0.00715072,1.48815,0.388832,0.377703,0.488832,0.0195623,-0.0407078,-0.0387435,0.728641,1.75134,0.375699,-6.61802,42.35,0.285714,45,0.385445,56.1,0.273315,52.6,0.311051,49.0125,0.313881,0.273315,0.385445,2.79383,0.233352,0.325769,41,False,0.257143,0.113359,0.0592897,19,0.257143,0.501405,0.51488,0.0302134,trot,0.650321,-0.400187,-0.423378,124.588,209,0.000539084,0.313101,0.00616293,0.286754,0.327853,0.0410991,0.286754,0.329389,7.47964,40.3502,4.05287,13.8782,4.65344,25.2825,11.391,40.3502,FR_calf,0.00107817,0.00020002,0.00107817,15.3802,0.00472329,40,0.00050005,0.00260026,0,True
01_running_trot_flight,run_trot_15_lvl0_20260824_232013,run_trot_15_lvl0,trot_run+move:forward,move,trot_run,forward,speed_level→trot_run→move,speed_level→trot_run,1.5,0,0,3.5,0,9679,411,23.904,15.4236,19.8602,4.43664,4.3409,1,0.0272216,4.58557,4.14508,move,0.128747,0.331657,0.592803,-0.0747581,1.37347,1.95331,-1.78749,1.95331,0.00835396,1.83508,0.402307,0.405315,0.499886,0.019552,-0.0506974,-0.0469475,0.810666,1.81355,0.408767,-7.44491,41,0.321749,48.6,0.308857,56.55,0.254484,53.5,0.295404,49.9125,0.295123,0.254484,0.321749,2.9714,0.324678,0.21865,42,True,0.297646,0.143561,0.0587295,22,0.297646,0.505284,0.472658,0.926451,trot,0.707295,-0.417626,-0.393392,124.187,209,0.00182175,0.314759,0.00704003,0.278609,0.329177,0.0505677,0.278609,0.33341,7.31257,40.3028,3.93554,11.7754,4.27814,25.2578,11.253,40.3028,FR_calf,0.00112108,0.000206633,0.00112108,15.4328,0.00486648,40,0.000619899,0.00309949,0,True
01_running_trot_flight,run_trot_15_lvl0_20260824_232104,run_trot_15_lvl0,trot_run+move:forward,move,trot_run,forward,speed_level→trot_run→move,speed_level→trot_run,1.5,0,0,3.5,0,9926,417.4,24.08,15.623,20.8034,5.18037,5.08564,1,0.0274349,4.49128,4.29365,move,0.66975,0.266617,0.540943,-0.0953228,1.34543,1.58124,-1.33907,1.58124,0.0101626,1.52095,0.335502,0.286915,0.365707,0.0114005,-0.0487131,-0.0327648,0.642354,1.91158,0.369004,-8.17687,41.405,0.439943,45.9,0.4065,57.45,0.235045,53.5,0.246821,49.5637,0.332077,0.235045,0.439943,2.84142,0.100747,0.291528,43,True,0.222327,0.12217,0.0565337,20,0.222327,0.514833,0.482459,0.989712,trot,0.464913,-0.482528,-0.217267,124.748,209,0.000824305,0.309849,0.0116359,0.256058,0.329714,0.0736564,0.256058,0.336012,7.38946,36.7467,4.01389,12.4186,5.46424,26.1978,10.8556,36.7467,FR_calf,0.000942063,0.000201491,0.000942063,15.6295,0.00479099,40,0.000805964,0.00282087,0,True
01_running_trot_flight,run_trot_15_lvl0_20260824_232155,run_trot_15_lvl0,trot_run+move:forward,move,trot_run,forward,speed_level→trot_run→move,speed_level→trot_run,1.5,0,0,3.5,0,9996,425.7,23.813,15.2725,20.2535,4.98098,4.95398,1,0.028141,4.56194,4.01563,move,0.421924,0.300077,0.567333,-0.0773674,1.37189,2.19875,-1.67787,2.19875,0.0204813,1.38599,0.374809,0.360093,0.456624,0.026513,-0.0381965,-0.0235949,0.664725,1.95953,0.393403,-5.10783,40.55,0.293978,47.25,0.402086,57.45,0.241347,52.95,0.25083,49.55,0.29706,0.241347,0.402086,2.98769,0.259584,0.258067,46,True,0.256994,0.0939588,0.0578701,22,0.256994,0.531245,0.4726,0.0114273,trot,0.59974,-0.396921,-0.377879,122.062,209,0.00142248,0.31278,0.00940597,0.262293,0.32754,0.0652463,0.262293,0.334341,7.26859,35.2768,3.86272,11.4291,5.19191,26.0989,10.7991,35.2768,FL_calf,0.000474158,0.00010004,0.000474158,15.2819,0.00234897,40,0.00060024,0.00290116,0,True
01_running_trot_flight,run_trot_20_lvl0_20260824_231436,run_trot_20_lvl0,trot_run+move:forward,move,trot_run,forward,speed_level→trot_run→move,speed_level→trot_run,2,0,0,3,0,10142,432.5,23.924,15.4699,20.7837,5.31385,5.25832,1,0.0272796,4.52609,4.10079,move,1.26192,0.313137,0.683037,-0.0896062,1.87254,2.45888,-2.28638,2.45888,0.0088782,0.823866,0.397967,0.353164,0.450388,0.0180317,-0.0529014,-0.0291149,0.659399,1.98481,0.373516,-8.05064,45.915,0.361917,49.05,0.48285,55.965,0.205365,49.45,0.162269,50.095,0.3031,0.162269,0.48285,3.05646,0.242825,0.605072,38,False,0.269569,0.178052,0.0674991,21,0.269569,0.42062,0.410472,0.988566,trot,0.437071,-0.353943,-0.158005,121.461,209,0.00329815,0.30421,0.0177257,0.212018,0.327808,0.11579,0.212018,0.334511,7.42725,39.9709,3.79084,17.6137,6.23157,27.4842,10.5967,39.9709,FL_calf,0.000879507,0.0001972,0.000879507,15.4762,0.00462474,40,0.0003944,0.0026622,0,True
01_running_trot_flight,run_trot_20_lvl0_20260824_232530,run_trot_20_lvl0,trot_run+move:forward,move,trot_run,forward,speed_level→trot_run→move,speed_level→trot_run,2,0,0,3,0,9989,426.3,23.888,15.3298,19.8342,4.50443,4.37524,1,0.0272611,4.55213,4.04143,move,1.5167,0.402426,0.762497,-0.0885517,1.92349,2.38364,-1.76646,2.38364,0.0195565,0.7448,0.490795,0.51385,0.620814,0.024749,-0.0377669,-0.0131944,0.617853,2.05942,0.457198,-6.42638,45.05,0.396783,47.7,0.338338,57.45,0.250402,51.15,0.213941,50.3375,0.299866,0.213941,0.396783,2.9288,0.20935,0.203991,37,True,0.279893,0.166564,0.0644526,19,0.279893,0.48429,0.481341,0.00091605,trot,0.662434,-0.420906,-0.352719,124.463,209,0.00375335,0.305371,0.0150316,0.249477,0.338097,0.0886204,0.249477,0.338097,7.94263,42.0571,4.01772,15.1151,6.00599,27.5337,11.7065,42.0571,FL_calf,0.000536193,0.00010011,0.000536193,15.3415,0.00234598,40,0.000600661,0.00290319,0,True
