ablation,argv,base_height_mean_m,best_mapping,best_mapping_r,cap_effort_target,cap_runtime_gains,clip,clip_archive,cmd_jump_rad,contact_rule,contact_threshold_n,decimation,dt,duty,duty_bare_threshold,duty_per_leg,fall_height_m,flight_frac,gain_writes,ground_friction_mu,handover_ang_dps,handover_feet_loaded,handover_speed_mps,hip_offset_rad_max,hip_sign,mode_requested,mode_used,n_cycles,n_steps,phys_dt,plant_comp,plant_comp_alpha,rate,run_utc,settle_mode,start_feet_down,start_foot_spread_m,start_frame,start_phase,stride_cv,stride_hz,stride_hz_bare_threshold,switch_after_cycles,switch_step,switch_t_s,terminated_s,then_clip,torque_saturated_frac,verdict,via_clip,vx_mean,vy_mean,yaw_rate_deg_s
none,--clip-archive data/transition_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --switch-after-cycles 1 --then-clip WALK --then-cycles 40 --results-csv outputs/skill_switch.csv --trace-npz outputs/traces/switch/TROT1_direct.npz,0.31585967540740967,identity,0.489999416594704,True,True,TROT,transition_clips.npz,0.37668028473854065,schmitt+despeckle on force,30.0,4,0.020090821531248082,0.5904431216931217,0.546792328042328,"[0.6554232804232805, 0.5608465608465608, 0.5813492063492064, 0.5641534391534392]",0.15,0.0,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,39,1512,0.0050227053828120205,off,0.0,lo,2026-08-28T09:17:32Z,stand,3,0.026385925710201263,18,level,0.0422056145761524,1.3452425021540697,1.3452425021540697,1,32,0.6429062889999386,,WALK,0.0,FAIL,,0.2379639893770218,-0.001754573080688715,3.2350924015045166
none,--clip-archive data/transition_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --switch-after-cycles 1 --then-clip WALK --then-cycles 40 --via-clip BALANCE --via-s 0.21 --results-csv outputs/skill_switch.csv --trace-npz outputs/traces/switch/TROT1_via021.npz,0.31644949316978455,identity,0.5097153619863093,True,True,TROT,transition_clips.npz,0.35654228925704956,schmitt+despeckle on force,30.0,4,0.020090821531248082,0.5837713534822602,0.5456636005256241,"[0.6412614980289093, 0.5703022339027596, 0.5637319316688568, 0.5597897503285151]",0.15,0.0,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,39,1522,0.0050227053828120205,off,0.0,lo,2026-08-28T09:18:07Z,stand,3,0.026385925710201263,18,level,0.0453072360962893,1.3452425021540697,1.3452425021540697,1,32,0.6429062889999386,,WALK,0.0002190100744634253,FAIL,BALANCE,0.22530847787857056,-0.003442533081397414,2.538465738296509
none,--clip-archive data/transition_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --switch-after-cycles 1 --then-clip WALK --then-cycles 40 --via-clip BALANCE --via-s 1.0 --results-csv outputs/skill_switch.csv --trace-npz outputs/traces/switch/TROT1_via100.npz,0.31667089462280273,identity,0.4863268503298362,True,True,TROT,transition_clips.npz,0.3553435206413269,schmitt+despeckle on force,30.0,4,0.020090821531248082,0.5947503201024328,0.545134443021767,"[0.6632522407170295, 0.5723431498079385, 0.5640204865556978, 0.5793854033290653]",0.15,0.0,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,39,1562,0.0050227053828120205,off,0.0,lo,2026-08-28T09:18:42Z,stand,3,0.026385925710201263,18,level,0.1857612465544703,1.3452425021540697,1.309841383676331,1,32,0.6429062889999386,,WALK,0.0,FAIL,BALANCE,0.22546304762363434,-0.0018509068759158254,2.8545827865600586
none,--clip-archive data/transition_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --switch-after-cycles 2 --then-clip WALK --then-cycles 40 --results-csv outputs/skill_switch.csv --trace-npz outputs/traces/switch/TROT2_direct.npz,0.16537606716156006,identity,0.7734951873620352,True,True,TROT,transition_clips.npz,0.37668028473854065,schmitt+despeckle on force,30.0,4,0.020090821531248082,0.18490932642487046,0.05035621761658031,"[0.02655440414507772, 0.33095854922279794, 0.023316062176165803, 0.3588082901554404]",0.15,0.3646373056994819,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,1,1544,0.0050227053828120205,off,0.0,lo,2026-08-28T09:19:18Z,stand,3,0.026385925710201263,18,level,0.0,1.382610349436127,1.4639403699911935,2,64,1.2858125779998772,,WALK,0.00048575129533678756,FAIL,,0.023841753602027893,-0.01629457250237465,-0.06784585863351822
none,--clip-archive data/transition_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --switch-after-cycles 2 --then-clip WALK --then-cycles 40 --via-clip BALANCE --via-s 0.21 --results-csv outputs/skill_switch.csv --trace-npz outputs/traces/switch/TROT2_via021.npz,0.1655276119709015,identity,0.7716649907330672,True,True,TROT,transition_clips.npz,0.35654228925704956,schmitt+despeckle on force,30.0,4,0.020090821531248082,0.19047619047619047,0.055823680823680825,"[0.025096525096525095, 0.3359073359073359, 0.023166023166023165, 0.37773487773487774]",0.15,0.35714285714285715,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,1,1554,0.0050227053828120205,off,0.0,lo,2026-08-28T09:19:54Z,stand,3,0.026385925710201263,18,level,0.0,1.0590206931851187,1.1060882795489018,2,64,1.2858125779998772,,WALK,0.0005362505362505362,FAIL,BALANCE,0.022010911256074905,-0.01613432727754116,0.9888473153114319
none,--clip-archive data/transition_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --switch-after-cycles 2 --then-clip WALK --then-cycles 40 --via-clip BALANCE --via-s 1.0 --results-csv outputs/skill_switch.csv --trace-npz outputs/traces/switch/TROT2_via100.npz,0.28459012508392334,identity,0.5570896506930391,True,True,TROT,transition_clips.npz,0.3553435206413269,schmitt+despeckle on force,30.0,4,0.020090821531248082,0.32407407407407407,0.32592592592592595,"[0.2222222222222222, 0.45185185185185184, 0.21481481481481482, 0.4074074074074074]",0.15,0.3111111111111111,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,0,135,0.0050227053828120205,off,0.0,lo,2026-08-28T09:20:29Z,stand,3,0.026385925710201263,18,level,nan,nan,nan,2,64,1.2858125779998772,2.692170085187243,WALK,0.0,FAIL,BALANCE,0.2847577631473541,-0.15066377818584442,22.626312255859375
none,--clip-archive data/transition_clips.npz --clip TURN --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --switch-after-cycles 1 --then-clip WALK --then-cycles 40 --results-csv outputs/skill_switch.csv --trace-npz outputs/traces/switch/TURN1_direct.npz,0.31652992963790894,identity,0.5333606560404102,True,True,TURN,transition_clips.npz,0.24826419353485107,schmitt+despeckle on force,30.0,4,0.019829280799998135,0.5995081967213115,0.5509836065573771,"[0.6491803278688525, 0.5691803278688524, 0.598688524590164, 0.580983606557377]",0.15,0.0,0,1.3,32.107841608921596,2,0.06130257248878479,0.0,keep,position,position,40,1525,0.004957320199999534,off,0.0,lo,2026-08-28T09:21:42Z,stand,3,0.02636738121509552,18,level,0.05921324946001797,1.362985743135453,1.362985743135453,1,45,0.8923176359999161,,WALK,0.0,FAIL,,0.2223738133907318,0.0031431640964001417,3.085104465484619
none,--clip-archive data/transition_clips.npz --clip TURN --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --switch-after-cycles 2 --then-clip WALK --then-cycles 40 --results-csv outputs/skill_switch.csv --trace-npz outputs/traces/switch/TURN2_direct.npz,0.3172013759613037,identity,0.5795625994602839,True,True,TURN,transition_clips.npz,0.24826419353485107,schmitt+despeckle on force,30.0,4,0.019829280799998135,0.5985668789808917,0.5477707006369427,"[0.6439490445859872, 0.5796178343949044, 0.5923566878980892, 0.578343949044586]",0.15,0.0,0,1.3,32.107841608921596,2,0.06130257248878479,0.0,keep,position,position,41,1570,0.004957320199999534,off,0.0,lo,2026-08-28T09:22:18Z,stand,3,0.02636738121509552,18,level,0.09688510720913207,1.362985743135453,1.362985743135453,2,90,1.7846352719998322,,WALK,0.0,FAIL,,0.2172735333442688,0.00015220072236843407,1.5293197631835938
none,--clip-archive data/transition_clips.npz --clip TURN --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --switch-after-cycles 4 --then-clip WALK --then-cycles 40 --results-csv outputs/skill_switch.csv --trace-npz outputs/traces/switch/TURN4_direct.npz,0.3181195855140686,identity,0.6394063010811806,True,True,TURN,transition_clips.npz,0.24826419353485107,schmitt+despeckle on force,30.0,4,0.019829280799998135,0.5975903614457831,0.5506024096385542,"[0.6385542168674698, 0.5873493975903614, 0.5855421686746988, 0.5789156626506025]",0.15,0.0,0,1.3,32.107841608921596,2,0.06130257248878479,0.0,keep,position,position,44,1660,0.004957320199999534,off,0.0,lo,2026-08-28T09:22:52Z,stand,3,0.02636738121509552,18,level,0.19357249357405507,1.362985743135453,1.3816567807126512,4,180,3.5692705439996644,,WALK,0.0,FAIL,,0.20800770819187164,0.0028901456389576197,1.0592334270477295
none,--clip-archive data/transition_clips.npz --clip TURN --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --switch-after-cycles 8 --then-clip WALK --then-cycles 40 --results-csv outputs/skill_switch.csv --trace-npz outputs/traces/switch/TURN8_direct.npz,0.3207261562347412,identity,0.6850691462556521,True,True,TURN,transition_clips.npz,0.24826419353485107,schmitt+despeckle on force,30.0,4,0.019829280799998135,0.6016304347826087,0.5581521739130435,"[0.6260869565217392, 0.6141304347826086, 0.5907608695652173, 0.5755434782608696]",0.15,0.0,0,1.3,32.107841608921596,2,0.06130257248878479,0.0,keep,position,position,47,1840,0.004957320199999534,off,0.0,lo,2026-08-28T09:23:28Z,stand,3,0.02636738121509552,18,level,0.16119447678089588,1.362985743135453,1.362985743135453,8,360,7.138541087999329,,WALK,0.0,FAIL,,0.18813897669315338,0.00538313714787364,-0.23987409472465515
