ablation,argv,balance_comp,balance_kd_pitch,balance_kd_roll,balance_kp_pitch,balance_kp_roll,balance_max_rad,base_height_mean_m,best_mapping,best_mapping_r,cap_effort_target,cap_runtime_gains,clip,clip_archive,cmd_jump_rad,contact_rule,contact_threshold_n,decimation,dev_cmd_max_rad,dev_cmd_rms_calf_stance,dev_cmd_rms_calf_swing,dev_cmd_rms_hip_stance,dev_cmd_rms_hip_swing,dev_cmd_rms_thigh_stance,dev_cmd_rms_thigh_swing,dev_meas_rms_calf_stance,dev_meas_rms_calf_swing,dev_meas_rms_hip_stance,dev_meas_rms_hip_swing,dev_meas_rms_thigh_stance,dev_meas_rms_thigh_swing,dt,duty,duty_bare_threshold,duty_per_leg,fall_height_m,flight_frac,foot_axis,foot_cap_hit_frac,foot_clip_rad,foot_comp,foot_hip_x_front_m,foot_k,foot_len_bias,foot_lever_m,foot_sign,foot_swing_source,foot_t_stance_s,foot_vel_filter_hz,foot_vx_des,foot_vy_log,foot_vy_target,foot_wz_log,foot_yaw,foot_yaw_bias,gain_writes,ground_friction_mu,handover_ang_dps,handover_feet_loaded,handover_speed_mps,hip_offset_rad_max,hip_sign,mode_requested,mode_used,n_cycles,n_steps,overwrite_frac_legsteps,overwrite_frac_time,phys_dt,plant_comp,plant_comp_alpha,rate,run_utc,settle_mode,start_feet_down,start_foot_spread_m,start_frame,start_phase,stride_cv,stride_hz,stride_hz_bare_threshold,swing_frac,swing_lift_calf_max_rad,swing_lift_mm,swing_lift_thigh_max_rad,switch_after_cycles,switch_step,switch_t_s,tag,term_reason,terminated_s,then_clip,torque_saturated_frac,verdict,via_clip,vx_mean,vy_mean,yaw_rate_deg_s
none,--clip-archive data/skill_clips.npz --clip WALK --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --swing-lift 0 --tag sl_WALK_0 --results-csv outputs/swing_lift.csv --trace-npz outputs/traces/swinglift/sl_WALK_0.npz,off,0.0,0.0,0.0,0.0,0.0,0.3160277307033539,identity,0.5329795069992542,True,True,WALK,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.05000000074505806,0.0,0.0,0.0,0.040190935134887695,0.0,0.0,0.2321527749300003,0.0421438030898571,0.10255441069602966,0.04920674487948418,0.08192294090986252,0.04644153639674187,0.01977108591891901,0.5875,0.5522522522522523,"[0.6522522522522523, 0.5527027027027027, 0.5617117117117117, 0.5833333333333334]",0.15,0.0,y,0.43033333333333335,0.05,raibert,0.19340020381222495,0.0,0.0,0.2869259938597679,1.0,clip,0.48439160501351586,0.0,0.18746616149213685,0.00722115,0.0,-0.0128187,off,0.0,0,1.3,3.1959654678462646,3,0.019550304859876633,0.0,keep,position,position,58,2220,0.33783783783783783,0.7837837837837838,0.004942771479729753,off,0.0,lo,2026-08-29T15:32:49Z,stand,3,0.026363134384155273,18,level,0.023422657324677534,1.3669976013388716,1.3669976013388716,0.33783783783783783,0.0,0.0,0.0,,,,sl_WALK_0,,,,0.0,WARN,,0.2313266545534134,-0.003380662063136697,3.0016932487487793
none,--clip-archive data/skill_clips.npz --clip WALK --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --swing-lift 20 --tag sl_WALK_20 --results-csv outputs/swing_lift.csv --trace-npz outputs/traces/swinglift/sl_WALK_20.npz,off,0.0,0.0,0.0,0.0,0.0,0.3148201107978821,identity + hip sign flipped,0.5322379765884316,True,True,WALK,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.08205115795135498,0.0,0.03468410670757294,0.0,0.03775504231452942,0.0,0.019408395513892174,0.23017360270023346,0.06162194535136223,0.11479414999485016,0.044700417667627335,0.0809725746512413,0.04904252663254738,0.01977108591891901,0.5939189189189189,0.5471846846846847,"[0.6504504504504505, 0.5405405405405406, 0.5806306306306306, 0.6040540540540541]",0.15,0.0,y,0.375,0.05,raibert,0.19340020381222495,0.0,0.0,0.2869259938597679,1.0,clip,0.48439160501351586,0.0,0.18746616149213685,0.00722115,0.0,-0.0128187,off,0.0,0,1.3,3.1959654678462646,3,0.019550304859876633,0.0,keep,position,position,58,2220,0.33783783783783783,0.7837837837837838,0.004942771479729753,off,0.0,lo,2026-08-29T15:33:28Z,stand,3,0.026363134384155273,18,level,0.018651104796058998,1.3669976013388716,1.3669976013388716,0.33783783783783783,0.0820511216752807,20.0,0.04584198081964011,,,,sl_WALK_20,,,,0.0,FAIL,,0.25658491253852844,-0.01084643229842186,3.5004148483276367
none,--clip-archive data/skill_clips.npz --clip WALK --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --swing-lift 40 --tag sl_WALK_40 --results-csv outputs/swing_lift.csv --trace-npz outputs/traces/swinglift/sl_WALK_40.npz,off,0.0,0.0,0.0,0.0,0.0,0.3136882185935974,identity + hip sign flipped,0.616232275279208,True,True,WALK,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.21033740043640137,0.0,0.09818915277719498,0.0,0.03855368122458458,0.0,0.053608283400535583,0.22920240461826324,0.10762980580329895,0.12377018481492996,0.044304609298706055,0.0855090469121933,0.06944816559553146,0.01977108591891901,0.5870495495495496,0.5733108108108108,"[0.6509009009009009, 0.5567567567567567, 0.5684684684684684, 0.5720720720720721]",0.15,0.0,y,0.409,0.05,raibert,0.19340020381222495,0.0,0.0,0.2869259938597679,1.0,clip,0.48439160501351586,0.0,0.18746616149213685,0.00722115,0.0,-0.0128187,off,0.0,0,1.3,3.1959654678462646,3,0.019550304859876633,0.0,keep,position,position,58,2220,0.33783783783783783,0.7837837837837838,0.004942771479729753,off,0.0,lo,2026-08-29T15:34:06Z,stand,3,0.026363134384155273,18,level,0.017965774805421365,1.3669976013388716,1.3669976013388716,0.33783783783783783,0.210337419129534,40.0,0.12316936441759664,,,,sl_WALK_40,,,,0.0,FAIL,,0.2764064073562622,-0.00914112851023674,4.302706241607666
none,--clip-archive data/skill_clips.npz --clip WALK --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --swing-lift 60 --tag sl_WALK_60 --results-csv outputs/swing_lift.csv --trace-npz outputs/traces/swinglift/sl_WALK_60.npz,off,0.0,0.0,0.0,0.0,0.0,0.3134634792804718,identity + hip sign flipped,0.6431022822255269,True,True,WALK,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.3386237621307373,0.0,0.1681010127067566,0.0,0.038686614483594894,0.0,0.08984978497028351,0.22831259667873383,0.168970987200737,0.12652045488357544,0.04398386925458908,0.08681566268205643,0.09909288585186005,0.01977108591891901,0.6127252252252252,0.5832207207207207,"[0.6554054054054054, 0.5693693693693693, 0.659009009009009, 0.5671171171171171]",0.15,0.0,y,0.434,0.05,raibert,0.19340020381222495,0.0,0.0,0.2869259938597679,1.0,clip,0.48439160501351586,0.0,0.18746616149213685,0.00722115,0.0,-0.0128187,off,0.0,0,1.3,3.1959654678462646,3,0.019550304859876633,0.0,keep,position,position,58,2220,0.33783783783783783,0.7837837837837838,0.004942771479729753,off,0.0,lo,2026-08-29T15:34:45Z,stand,3,0.026363134384155273,18,level,0.019681978578461247,1.3669976013388716,1.3669976013388716,0.33783783783783783,0.33862371658378726,60.0,0.20049674801555314,,,,sl_WALK_60,,,,0.0,FAIL,,0.2793627083301544,-0.0061236098408699036,4.706189155578613
none,--clip-archive data/skill_clips.npz --clip WALK --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --swing-lift 80 --tag sl_WALK_80 --results-csv outputs/swing_lift.csv --trace-npz outputs/traces/swinglift/sl_WALK_80.npz,off,0.0,0.0,0.0,0.0,0.0,0.31311988830566406,identity + hip sign flipped,0.6619095426627896,True,True,WALK,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.4669100046157837,0.0,0.23972190916538239,0.0,0.03886967897415161,0.0,0.12665842473506927,0.22779442369937897,0.23495043814182281,0.13036701083183289,0.04402891919016838,0.0875987559556961,0.131373330950737,0.01977108591891901,0.6198198198198198,0.590990990990991,"[0.6666666666666666, 0.5734234234234235, 0.6599099099099099, 0.5792792792792792]",0.15,0.0,y,0.4686666666666667,0.05,raibert,0.19340020381222495,0.0,0.0,0.2869259938597679,1.0,clip,0.48439160501351586,0.0,0.18746616149213685,0.00722115,0.0,-0.0128187,off,0.0,0,1.3,3.1959654678462646,3,0.019550304859876633,0.0,keep,position,position,58,2220,0.33783783783783783,0.7837837837837838,0.004942771479729753,off,0.0,lo,2026-08-29T15:35:23Z,stand,3,0.026363134384155273,18,level,0.02125272292460583,1.3669976013388716,1.3669976013388716,0.33783783783783783,0.4669100140380406,80.0,0.2778241316135097,,,,sl_WALK_80,,,,0.0,FAIL,,0.2791471779346466,-0.0023498311638832092,4.524178504943848
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --swing-lift 0 --tag sl_TROT_0 --results-csv outputs/swing_lift.csv --trace-npz outputs/traces/swinglift/sl_TROT_0.npz,off,0.0,0.0,0.0,0.0,0.0,0.3335344195365906,identity,0.6181183482209841,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.05000000074505806,0.0,0.0,0.0,0.022225670516490936,0.0,0.0,0.24396151304244995,0.0688866451382637,0.1161646768450737,0.03363433852791786,0.1209273561835289,0.053456589579582214,0.020090821531248082,0.54296875,0.537109375,"[0.5869791666666667, 0.5692708333333333, 0.4713541666666667, 0.5442708333333334]",0.15,0.0,y,0.020061728395061727,0.05,raibert,0.1934001270520398,0.0,0.0,0.31089838594198227,1.0,clip,0.3716801983280895,0.0,0.443721311481766,-0.00273842,0.0,0.019511,off,0.0,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,58,1920,0.421875,0.90625,0.0050227053828120205,off,0.0,lo,2026-08-29T15:36:01Z,stand,2,0.014293946325778961,16,level,0.018806214062007987,1.555436643115643,2.765220698872254,0.421875,0.0,0.0,0.0,,,,sl_TROT_0,,,,0.0,WARN,,0.6585094332695007,0.01522577740252018,5.321401119232178
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --swing-lift 20 --tag sl_TROT_20 --results-csv outputs/swing_lift.csv --trace-npz outputs/traces/swinglift/sl_TROT_20.npz,off,0.0,0.0,0.0,0.0,0.0,0.3335344195365906,identity,0.6181180032104512,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.05000000074505806,0.0,0.0,0.0,0.022225670516490936,0.0,0.0,0.24396151304244995,0.0688866451382637,0.1161646768450737,0.03363433852791786,0.1209273561835289,0.053456589579582214,0.020090821531248082,0.54296875,0.537109375,"[0.5869791666666667, 0.5692708333333333, 0.4713541666666667, 0.5442708333333334]",0.15,0.0,y,0.020061728395061727,0.05,raibert,0.1934001270520398,0.0,0.0,0.31089838594198227,1.0,clip,0.3716801983280895,0.0,0.443721311481766,-0.00273842,0.0,0.019511,off,0.0,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,58,1920,0.421875,0.90625,0.0050227053828120205,off,0.0,lo,2026-08-29T15:36:38Z,stand,2,0.014293946325778961,16,level,0.018806214062007987,1.555436643115643,2.765220698872254,0.421875,0.0,20.0,0.0,,,,sl_TROT_20,,,,0.0,WARN,,0.6585094332695007,0.01522577740252018,5.321401119232178
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --swing-lift 40 --tag sl_TROT_40 --results-csv outputs/swing_lift.csv --trace-npz outputs/traces/swinglift/sl_TROT_40.npz,off,0.0,0.0,0.0,0.0,0.0,0.3335344195365906,identity,0.6181180032104512,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.05000000074505806,0.0,0.0,0.0,0.022225670516490936,0.0,0.0,0.24396151304244995,0.0688866451382637,0.1161646768450737,0.03363433852791786,0.1209273561835289,0.053456589579582214,0.020090821531248082,0.54296875,0.537109375,"[0.5869791666666667, 0.5692708333333333, 0.4713541666666667, 0.5442708333333334]",0.15,0.0,y,0.020061728395061727,0.05,raibert,0.1934001270520398,0.0,0.0,0.31089838594198227,1.0,clip,0.3716801983280895,0.0,0.443721311481766,-0.00273842,0.0,0.019511,off,0.0,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,58,1920,0.421875,0.90625,0.0050227053828120205,off,0.0,lo,2026-08-29T15:37:15Z,stand,2,0.014293946325778961,16,level,0.018806214062007987,1.555436643115643,2.765220698872254,0.421875,0.0,40.0,0.0,,,,sl_TROT_40,,,,0.0,WARN,,0.6585094332695007,0.01522577740252018,5.321401119232178
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --swing-lift 60 --tag sl_TROT_60 --results-csv outputs/swing_lift.csv --trace-npz outputs/traces/swinglift/sl_TROT_60.npz,off,0.0,0.0,0.0,0.0,0.0,0.333558589220047,identity,0.6305780560734118,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.09811282157897949,0.0,0.031332265585660934,0.0,0.023784387856721878,0.0,0.012663672678172588,0.24484528601169586,0.0750899687409401,0.11496111750602722,0.034642960876226425,0.1203678697347641,0.057210806757211685,0.020090821531248082,0.5436197916666666,0.5399739583333333,"[0.5921875, 0.5625, 0.48072916666666665, 0.5390625]",0.15,0.0,y,0.029938271604938272,0.05,raibert,0.1934001270520398,0.0,0.0,0.31089838594198227,1.0,clip,0.3716801983280895,0.0,0.443721311481766,-0.00273842,0.0,0.019511,off,0.0,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,59,1920,0.421875,0.90625,0.0050227053828120205,off,0.0,lo,2026-08-29T15:37:52Z,stand,2,0.014293946325778961,16,level,0.02467035507028557,1.555436643115643,2.488698628985029,0.421875,0.09811280422550496,60.0,0.04061738013282147,,,,sl_TROT_60,,,,0.0,WARN,,0.6559097170829773,0.01973872072994709,5.227113723754883
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --swing-lift 80 --tag sl_TROT_80 --results-csv outputs/swing_lift.csv --trace-npz outputs/traces/swinglift/sl_TROT_80.npz,off,0.0,0.0,0.0,0.0,0.0,0.324123740196228,identity,0.5944359025552636,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.21919727325439453,0.0,0.08850105851888657,0.0,0.0463477298617363,0.0,0.032950855791568756,0.2854958474636078,0.12116620689630508,0.11559304594993591,0.08952223509550095,0.12007401138544083,0.15926706790924072,0.020090821531248082,0.49789915966386555,0.5042016806722689,"[0.3949579831932773, 0.6218487394957983, 0.3277310924369748, 0.6470588235294118]",0.15,0.0,y,0.8080808080808081,0.05,raibert,0.1934001270520398,0.0,0.0,0.31089838594198227,1.0,clip,0.3716801983280895,0.0,0.443721311481766,-0.00273842,0.0,0.019511,off,0.0,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,1,119,0.41596638655462187,0.8991596638655462,0.0050227053828120205,off,0.0,lo,2026-08-29T15:38:29Z,stand,2,0.014293946325778961,16,level,0.0,1.6056120187000187,3.016604398769732,0.41596638655462187,0.21919731004936305,80.0,0.09074473547717095,,,,sl_TROT_80,roll,2.3707169406872737,,0.004901960784313725,FAIL,,0.35701876878738403,-0.2188139706850052,14.047800064086914
