ablation,argv,balance_comp,balance_kd_pitch,balance_kd_roll,balance_kp_pitch,balance_kp_roll,balance_max_rad,base_height_mean_m,best_mapping,best_mapping_r,cap_effort_target,cap_runtime_gains,clip,clip_archive,cmd_jump_rad,contact_rule,contact_threshold_n,decimation,dev_cmd_max_rad,dev_cmd_rms_calf_stance,dev_cmd_rms_calf_swing,dev_cmd_rms_hip_stance,dev_cmd_rms_hip_swing,dev_cmd_rms_thigh_stance,dev_cmd_rms_thigh_swing,dev_meas_rms_calf_stance,dev_meas_rms_calf_swing,dev_meas_rms_hip_stance,dev_meas_rms_hip_swing,dev_meas_rms_thigh_stance,dev_meas_rms_thigh_swing,dt,duty,duty_bare_threshold,duty_per_leg,fall_height_m,flight_frac,foot_axis,foot_cap_hit_frac,foot_clip_rad,foot_comp,foot_hip_x_front_m,foot_k,foot_len_bias,foot_lever_m,foot_sign,foot_swing_source,foot_t_stance_s,foot_vel_filter_hz,foot_vx_des,foot_vy_log,foot_vy_target,foot_wz_log,foot_yaw,foot_yaw_bias,gain_writes,ground_friction_mu,handover_ang_dps,handover_feet_loaded,handover_speed_mps,hip_offset_rad_max,hip_sign,mode_requested,mode_used,n_cycles,n_steps,overwrite_frac_legsteps,overwrite_frac_time,phys_dt,plant_comp,plant_comp_alpha,rate,run_utc,settle_mode,start_feet_down,start_foot_spread_m,start_frame,start_phase,stride_cv,stride_hz,stride_hz_bare_threshold,swing_frac,swing_lift_added_mm,swing_lift_calf_max_rad,swing_lift_mm,swing_lift_sym,swing_lift_thigh_max_rad,switch_after_cycles,switch_step,switch_t_s,tag,term_reason,terminated_s,then_clip,torque_saturated_frac,verdict,via_clip,vx_mean,vy_mean,yaw_rate_deg_s
none,--clip-archive data/skill_clips.npz --clip WALK --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --swing-lift 60 --tag wa60_asym --results-csv outputs/swing_lift_sym.csv --trace-npz outputs/traces/sym_wa60_asym.npz --swing-lift-asym,off,0.0,0.0,0.0,0.0,0.0,0.3134634792804718,identity + hip sign flipped,0.6431022822255269,True,True,WALK,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.3386237621307373,0.0,0.1681010127067566,0.0,0.038686614483594894,0.0,0.08984978497028351,0.22831259667873383,0.168970987200737,0.12652045488357544,0.04398386925458908,0.08681566268205643,0.09909288585186005,0.01977108591891901,0.6127252252252252,0.5832207207207207,"[0.6554054054054054, 0.5693693693693693, 0.659009009009009, 0.5671171171171171]",0.15,0.0,y,0.434,0.05,raibert,0.19340020381222495,0.0,0.0,0.2869259938597679,1.0,clip,0.48439160501351586,0.0,0.18746616149213685,0.00722115,0.0,-0.0128187,off,0.0,0,1.3,3.1959654678462646,3,0.019550304859876633,0.0,keep,position,position,58,2220,0.33783783783783783,0.7837837837837838,0.004942771479729753,off,0.0,lo,2026-08-30T15:13:02Z,stand,3,0.026363134384155273,18,level,0.019681978578461247,1.3669976013388716,1.3669976013388716,0.33783783783783783,"{""FL"": [45.4], ""FR"": [28.8], ""RL"": [52.8], ""RR"": [51.9]}",0.33862371658378726,60.0,0,0.20049674801555314,,,,wa60_asym,,,,0.0,FAIL,,0.2793627083301544,-0.0061236098408699036,4.706189155578613
none,--clip-archive data/skill_clips.npz --clip WALK --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --swing-lift 60 --tag wa60_asym --results-csv outputs/swing_lift_sym.csv --trace-npz outputs/traces/sym_wa60_asym.npz --swing-lift-asym,off,0.0,0.0,0.0,0.0,0.0,0.3134634792804718,identity + hip sign flipped,0.6431022822255269,True,True,WALK,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.3386237621307373,0.0,0.1681010127067566,0.0,0.038686614483594894,0.0,0.08984978497028351,0.22831259667873383,0.168970987200737,0.12652045488357544,0.04398386925458908,0.08681566268205643,0.09909288585186005,0.01977108591891901,0.6127252252252252,0.5832207207207207,"[0.6554054054054054, 0.5693693693693693, 0.659009009009009, 0.5671171171171171]",0.15,0.0,y,0.434,0.05,raibert,0.19340020381222495,0.0,0.0,0.2869259938597679,1.0,clip,0.48439160501351586,0.0,0.18746616149213685,0.00722115,0.0,-0.0128187,off,0.0,0,1.3,3.1959654678462646,3,0.019550304859876633,0.0,keep,position,position,58,2220,0.33783783783783783,0.7837837837837838,0.004942771479729753,off,0.0,lo,2026-08-30T15:14:21Z,stand,3,0.026363134384155273,18,level,0.019681978578461247,1.3669976013388716,1.3669976013388716,0.33783783783783783,"{""FL"": [45.4], ""FR"": [28.8], ""RL"": [52.8], ""RR"": [51.9]}",0.33862371658378726,60.0,0,0.20049674801555314,,,,wa60_asym,,,,0.0,FAIL,,0.2793627083301544,-0.0061236098408699036,4.706189155578613
none,--clip-archive data/skill_clips.npz --clip WALK --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --swing-lift 60 --tag wa60_sym --results-csv outputs/swing_lift_sym.csv --trace-npz outputs/traces/sym_wa60_sym.npz,off,0.0,0.0,0.0,0.0,0.0,0.3134998381137848,identity + hip sign flipped,0.6415652899009766,True,True,WALK,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.3386237621307373,0.0,0.18051829934120178,0.0,0.038625046610832214,0.0,0.09406087547540665,0.2284669131040573,0.1806512176990509,0.12615416944026947,0.043785370886325836,0.08671058714389801,0.10269389301538467,0.01977108591891901,0.6121621621621621,0.5808558558558559,"[0.6554054054054054, 0.5716216216216217, 0.6545045045045045, 0.5671171171171171]",0.15,0.0,y,0.439,0.05,raibert,0.19340020381222495,0.0,0.0,0.2869259938597679,1.0,clip,0.48439160501351586,0.0,0.18746616149213685,0.00722115,0.0,-0.0128187,off,0.0,0,1.3,3.1959654678462646,3,0.019550304859876633,0.0,keep,position,position,58,2220,0.33783783783783783,0.7837837837837838,0.004942771479729753,off,0.0,lo,2026-08-30T15:14:59Z,stand,3,0.026363134384155273,18,level,0.02091928040296792,1.3669976013388716,1.3669976013388716,0.33783783783783783,"{""FL"": [45.4], ""FR"": [45.4], ""RL"": [52.8], ""RR"": [52.8]}",0.33862371658378726,60.0,1,0.20411288303786085,,,,wa60_sym,,,,0.0,FAIL,,0.2791707217693329,-0.005255810916423798,4.4813432693481445
none,--clip-archive data/skill_clips.npz --clip WALK --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --swing-lift 80 --tag wa80_sym --results-csv outputs/swing_lift_sym.csv --trace-npz outputs/traces/sym_wa80_sym.npz,off,0.0,0.0,0.0,0.0,0.0,0.31319382786750793,identity + hip sign flipped,0.6587459929483725,True,True,WALK,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.4669100046157837,0.0,0.25314876437187195,0.0,0.038752421736717224,0.0,0.13121604919433594,0.2278907597064972,0.24772271513938904,0.12971967458724976,0.04387743026018143,0.08754169195890427,0.13558751344680786,0.01977108591891901,0.6199324324324325,0.5898648648648649,"[0.6644144144144144, 0.5747747747747748, 0.654054054054054, 0.5864864864864865]",0.15,0.0,y,0.4646666666666667,0.05,raibert,0.19340020381222495,0.0,0.0,0.2869259938597679,1.0,clip,0.48439160501351586,0.0,0.18746616149213685,0.00722115,0.0,-0.0128187,off,0.0,0,1.3,3.1959654678462646,3,0.019550304859876633,0.0,keep,position,position,58,2220,0.33783783783783783,0.7837837837837838,0.004942771479729753,off,0.0,lo,2026-08-30T15:15:36Z,stand,3,0.026363134384155273,18,level,0.021571562509379437,1.3669976013388716,1.3669976013388716,0.33783783783783783,"{""FL"": [65.4], ""FR"": [65.4], ""RL"": [72.8], ""RR"": [72.8]}",0.4669100140380406,80.0,1,0.2814402666358174,,,,wa80_sym,,,,0.0,FAIL,,0.27903062105178833,-0.0016388694057241082,4.338597774505615
none,--clip-archive data/skill_clips.npz --clip WALK --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --swing-lift 40 --tag wa40_sym --results-csv outputs/swing_lift_sym.csv --trace-npz outputs/traces/sym_wa40_sym.npz,off,0.0,0.0,0.0,0.0,0.0,0.31371811032295227,identity + hip sign flipped,0.6154125073509745,True,True,WALK,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.21033740043640137,0.0,0.10807961970567703,0.0,0.03823697566986084,0.0,0.05698668956756592,0.22949592769145966,0.11648747324943542,0.12331099808216095,0.043791625648736954,0.08545757830142975,0.07236043363809586,0.01977108591891901,0.5870495495495496,0.5727477477477477,"[0.6527027027027027, 0.5630630630630631, 0.5644144144144144, 0.568018018018018]",0.15,0.0,y,0.401,0.05,raibert,0.19340020381222495,0.0,0.0,0.2869259938597679,1.0,clip,0.48439160501351586,0.0,0.18746616149213685,0.00722115,0.0,-0.0128187,off,0.0,0,1.3,3.1959654678462646,3,0.019550304859876633,0.0,keep,position,position,58,2220,0.33783783783783783,0.7837837837837838,0.004942771479729753,off,0.0,lo,2026-08-30T15:16:14Z,stand,3,0.026363134384155273,18,level,0.019951265664676487,1.3669976013388716,1.3669976013388716,0.33783783783783783,"{""FL"": [25.4], ""FR"": [25.4], ""RL"": [32.8], ""RR"": [32.8]}",0.210337419129534,40.0,1,0.12678549943990433,,,,wa40_sym,,,,0.0,FAIL,,0.27636557817459106,-0.009249227121472359,4.466668605804443
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --swing-lift 60 --tag tr60_sym --results-csv outputs/swing_lift_sym.csv --trace-npz outputs/traces/sym_tr60_sym.npz,off,0.0,0.0,0.0,0.0,0.0,0.3339320719242096,identity,0.6468356805618702,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.09852659702301025,0.0,0.041524771600961685,0.0,0.025552187114953995,0.0,0.01584579236805439,0.24510836601257324,0.07985269278287888,0.11109022051095963,0.036098454147577286,0.11996593326330185,0.058976225554943085,0.020090821531248082,0.5485677083333333,0.53984375,"[0.5927083333333333, 0.5703125, 0.490625, 0.540625]",0.15,0.0,y,0.05154320987654321,0.05,raibert,0.1934001270520398,0.0,0.0,0.31089838594198227,1.0,clip,0.3716801983280895,0.0,0.443721311481766,-0.00273842,0.0,0.019511,off,0.0,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,58,1920,0.421875,0.90625,0.0050227053828120205,off,0.0,lo,2026-08-30T15:16:53Z,stand,2,0.014293946325778961,16,level,0.022102425876010783,1.555436643115643,2.488698628985029,0.421875,"{""FL"": [0.2], ""FR"": [0.2], ""RL"": [16.2], ""RR"": [16.2]}",0.09852665083732356,60.0,1,0.04061738013282147,,,,tr60_sym,,,,0.0,WARN,,0.6542837023735046,0.017288625240325928,5.05703067779541
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --swing-lift 80 --tag tr80_sym --results-csv outputs/swing_lift_sym.csv --trace-npz outputs/traces/sym_tr80_sym.npz,off,0.0,0.0,0.0,0.0,0.0,0.3270832598209381,identity,0.610654020279065,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.2201218605041504,0.0,0.10283959656953812,0.0,0.04481915012001991,0.0,0.037550732493400574,0.2221425622701645,0.1341056525707245,0.11080455034971237,0.06255792081356049,0.16805538535118103,0.2855067551136017,0.020090821531248082,0.4815436241610738,0.4848993288590604,"[0.47651006711409394, 0.7315436241610739, 0.28859060402684567, 0.42953020134228187]",0.15,0.020134228187919462,y,0.6854838709677419,0.05,raibert,0.1934001270520398,0.0,0.0,0.31089838594198227,1.0,clip,0.3716801983280895,0.0,0.443721311481766,-0.00273842,0.0,0.019511,off,0.0,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,3,149,0.4161073825503356,0.8993288590604027,0.0050227053828120205,off,0.0,lo,2026-08-30T15:17:29Z,stand,2,0.014293946325778961,16,level,0.07427004822854189,1.7776418778464491,4.328171528669616,0.4161073825503356,"{""FL"": [20.2], ""FR"": [20.2], ""RL"": [36.2], ""RR"": [36.2]}",0.2201218995033061,80.0,1,0.09074473547717095,,,,tr80_sym,roll,2.973441586624716,,0.017337807606263984,FAIL,,0.40102657675743103,-0.12160008400678635,-13.827473640441895
none,--clip-archive data/skill_clips.npz --clip WALK --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --swing-lift 0 --tag wa00_ctl --results-csv outputs/swing_lift_sym.csv --trace-npz outputs/traces/sym_wa00_ctl.npz,off,0.0,0.0,0.0,0.0,0.0,0.3160277307033539,identity,0.5329795069992542,True,True,WALK,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.05000000074505806,0.0,0.0,0.0,0.040190935134887695,0.0,0.0,0.2321527749300003,0.0421438030898571,0.10255441069602966,0.04920674487948418,0.08192294090986252,0.04644153639674187,0.01977108591891901,0.5875,0.5522522522522523,"[0.6522522522522523, 0.5527027027027027, 0.5617117117117117, 0.5833333333333334]",0.15,0.0,y,0.43033333333333335,0.05,raibert,0.19340020381222495,0.0,0.0,0.2869259938597679,1.0,clip,0.48439160501351586,0.0,0.18746616149213685,0.00722115,0.0,-0.0128187,off,0.0,0,1.3,3.1959654678462646,3,0.019550304859876633,0.0,keep,position,position,58,2220,0.33783783783783783,0.7837837837837838,0.004942771479729753,off,0.0,lo,2026-08-30T15:17:30Z,stand,3,0.026363134384155273,18,level,0.023422657324677534,1.3669976013388716,1.3669976013388716,0.33783783783783783,{},0.0,0.0,1,0.0,,,,wa00_ctl,,,,0.0,WARN,,0.2313266545534134,-0.003380662063136697,3.0016932487487793
none,--clip-archive data/skill_clips.npz --clip TURN --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --swing-lift 20 --tag tu20_sym --results-csv outputs/swing_lift_sym.csv --trace-npz outputs/traces/sym_tu20_sym.npz --foot-yaw log-cycle,off,0.0,0.0,0.0,0.0,0.0,0.3313130736351013,identity,0.33703182003823545,True,True,TURN,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.134507417678833,0.0,0.0762067586183548,0.0,0.04657404497265816,0.0,0.038137298077344894,0.18596693873405457,0.14705327153205872,0.12786266207695007,0.08341183513402939,0.06281396001577377,0.05735247954726219,0.019829280799998135,0.6088709677419355,0.5645161290322581,"[0.4946236559139785, 0.8064516129032258, 0.532258064516129, 0.6021505376344086]",0.15,0.0,y,0.8140495867768595,0.05,raibert,0.1934002084666337,0.0,0.0,0.29903870075941086,1.0,clip,0.5998357441999437,0.0,0.007509986553621348,0.0143151,,-0.395449,log-cycle,0.0,0,1.3,32.107841608921596,2,0.06130257248878479,0.0,keep,position,position,5,186,0.32526881720430106,0.8279569892473119,0.004957320199999534,off,0.0,lo,2026-08-30T15:17:57Z,stand,3,0.005334831774234772,24,level,0.623710379175054,2.0172188998404703,3.735590555260131,0.32526881720430106,"{""FL"": [17.5], ""FR"": [17.5], ""RL"": [19.5], ""RR"": [19.5, 19.5]}",0.13450743651152172,20.0,1,0.07571608951399475,,,,tu20_sym,roll,3.668416947999655,,0.0,FAIL,,0.02396332658827305,-0.09710020571947098,-20.534940719604492
none,--clip-archive data/skill_clips.npz --clip TROT --rate lo --headless --device cpu --hip-sign keep --contact-threshold-n 30 --start-phase level --settle-mode stand --cycles 60 --foot-comp raibert --foot-clip-rad 0.05 --swing-lift 0 --tag tr00_ctl --results-csv outputs/swing_lift_sym.csv --trace-npz outputs/traces/sym_tr00_ctl.npz,off,0.0,0.0,0.0,0.0,0.0,0.3335344195365906,identity,0.6181183482209841,True,True,TROT,skill_clips.npz,,schmitt+despeckle on force,30.0,4,0.05000000074505806,0.0,0.0,0.0,0.022225670516490936,0.0,0.0,0.24396151304244995,0.0688866451382637,0.1161646768450737,0.03363433852791786,0.1209273561835289,0.053456589579582214,0.020090821531248082,0.54296875,0.537109375,"[0.5869791666666667, 0.5692708333333333, 0.4713541666666667, 0.5442708333333334]",0.15,0.0,y,0.020061728395061727,0.05,raibert,0.1934001270520398,0.0,0.0,0.31089838594198227,1.0,clip,0.3716801983280895,0.0,0.443721311481766,-0.00273842,0.0,0.019511,off,0.0,0,1.3,13.176564451488588,3,0.06827092915773392,0.0,keep,position,position,58,1920,0.421875,0.90625,0.0050227053828120205,off,0.0,lo,2026-08-30T15:18:09Z,stand,2,0.014293946325778961,16,level,0.018806214062007987,1.555436643115643,2.765220698872254,0.421875,{},0.0,0.0,1,0.0,,,,tr00_ctl,,,,0.0,WARN,,0.6585094332695007,0.01522577740252018,5.321401119232178
