argv,entry_frame,family,fell,final_dist_m,foot_comp,grid_cols,grid_rows,level_m,n_probes,param,probe,reached,rep,run_utc,skill,steps,swing_lift_mm,swing_lift_sym,t_reached_s
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_sym_steps.csv,0,step_up,1,19.735909108239756,on,6,5,0.02,30,skill.STEP_WALK_MAX,step_up_0p02,1,0,2026-08-30T15:18:48Z,WALK,2140,0.0,1,16.92
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_sym_steps.csv,0,step_up,1,1.281654013268112,on,6,5,0.04,30,skill.STEP_WALK_MAX,step_up_0p04,0,0,2026-08-30T15:18:48Z,WALK,2140,0.0,1,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_sym_steps.csv,0,step_up,1,1.657204991597118,on,6,5,0.06,30,skill.STEP_WALK_MAX,step_up_0p06,0,0,2026-08-30T15:18:48Z,WALK,2140,0.0,1,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_sym_steps.csv,0,step_up,1,1.8179232770840317,on,6,5,0.08,30,skill.STEP_WALK_MAX,step_up_0p08,0,0,2026-08-30T15:18:48Z,WALK,2140,0.0,1,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_sym_steps.csv,0,step_up,1,1.5845866779323845,on,6,5,0.1,30,skill.STEP_WALK_MAX,step_up_0p10,0,0,2026-08-30T15:18:48Z,WALK,2140,0.0,1,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_sym_steps.csv,0,step_up,1,1.7520409644000552,on,6,5,0.12,30,skill.STEP_WALK_MAX,step_up_0p12,0,0,2026-08-30T15:18:48Z,WALK,2140,0.0,1,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_sym_steps.csv,0,step_up,1,1.7994400690394259,on,6,5,0.14,30,skill.STEP_WALK_MAX,step_up_0p14,0,0,2026-08-30T15:18:48Z,WALK,2140,0.0,1,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_sym_steps.csv,0,step_up,1,1.7299149021039282,on,6,5,0.16,30,skill.STEP_WALK_MAX,step_up_0p16,0,0,2026-08-30T15:18:48Z,WALK,2140,0.0,1,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_sym_steps.csv,0,step_up,1,1.8116533086077562,on,6,5,0.18,30,skill.STEP_WALK_MAX,step_up_0p18,0,0,2026-08-30T15:18:48Z,WALK,2140,0.0,1,nan
--headless --device cpu --reps 5 --foot-comp on --heading heading-only --params skill.STEP_WALK_MAX skill.STEP_TROT_MAX --swing-lift 0 --results-csv outputs/swing_lift_sym_steps.csv,0,step_up,1,1.7080427516418437,on,6,5,0.2,30,skill.STEP_WALK_MAX,step_up_0p20,0,0,2026-08-30T15:18:48Z,WALK,2140,0.0,1,nan
