task_idx,task,max_step_m@lo,max_step_m@hi,max_step_m@all,max_gap_width_m@lo,max_gap_width_m@hi,max_gap_width_m@all,max_slope_deg@lo,max_slope_deg@hi,max_slope_deg@all,mean_slope_deg@lo,mean_slope_deg@hi,mean_slope_deg@all,min_width_m@lo,min_width_m@hi,min_width_m@all,max_height_m@lo,max_height_m@hi,max_height_m@all,lateral_offset_max_m@lo,lateral_offset_max_m@hi,lateral_offset_max_m@all,n_fixed_levels
0,jump_on_and_off_box,0.000,0.795,0.795,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.550,2.000,1.300,0.000,0.795,0.795,0.000,0.000,0.000,3
1,forward_ramp_lips,0.465,0.650,0.650,0.000,0.000,0.000,14.036,23.025,26.565,4.368,6.490,5.337,1.500,1.300,1.000,0.465,0.650,0.650,0.000,0.000,0.000,0
2,sphere_bump_lips,0.365,0.755,0.755,0.000,0.000,0.000,26.565,25.408,26.565,3.142,1.662,2.365,0.250,0.050,0.050,0.475,0.850,0.850,0.000,0.000,0.000,10
3,forward_ramp_no_lips,0.400,0.620,0.620,0.000,0.000,0.000,24.228,42.769,42.769,10.389,13.267,12.196,1.300,1.100,1.100,0.400,0.620,0.620,0.000,0.000,0.000,0
4,flush_a_frame,0.080,0.120,0.120,0.000,0.000,0.000,42.769,55.864,55.864,18.289,22.163,20.975,1.200,1.000,1.000,0.490,0.660,0.675,0.000,0.000,0.000,0
5,sphere_bump,0.075,0.220,0.320,0.000,0.000,0.000,47.726,53.973,55.864,12.554,14.457,14.597,3.150,0.850,0.850,0.360,0.630,0.630,0.000,0.000,0.000,10
6,box_jump_even,0.000,0.000,0.000,0.550,0.850,0.850,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0
7,box_jump_uneven,0.015,0.230,0.240,0.500,0.950,0.950,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.100,1.000,0.025,0.680,0.895,0.000,0.000,0.000,0
8,flat_circle_jump,0.155,0.275,0.275,0.400,1.250,1.250,0.000,0.000,0.000,0.000,0.000,0.000,0.450,0.450,0.150,0.165,0.285,0.285,0.000,0.050,0.100,0
9,bump_jump,0.090,0.045,0.090,0.850,1.150,1.150,35.942,37.776,37.776,16.139,17.501,17.296,0.450,0.450,0.050,0.145,0.185,0.195,0.250,0.000,0.250,0
10,sideways_ramp,0.075,0.230,0.275,0.400,0.850,0.850,5.711,0.000,14.036,3.093,0.000,1.704,1.000,1.000,1.000,0.105,0.280,0.280,0.000,0.000,0.000,0
11,stepping_stones_cylinder,0.010,0.070,0.070,0.000,0.200,0.200,0.000,0.000,2.862,0.000,0.000,0.018,0.350,0.150,0.050,0.000,0.070,0.070,0.150,0.150,0.200,0
12,stepping_stones_randomly_arranged,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.400,0.400,0.000,0.000,0.000,0.050,0.150,0.150,0
13,staircase_walking_full_width,0.175,0.300,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,4.000,4.000,1.050,1.695,1.695,0.000,0.000,0.000,0
14,staircase_walking,0.070,0.250,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.400,0.400,0.350,1.320,1.320,0.000,0.000,0.000,0
15,staircase_climbing,0.545,0.685,0.685,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.300,1.100,1.100,3.040,3.815,3.830,0.000,0.000,0.000,0
16,staircase_spiral,0.055,0.250,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.600,0.200,0.200,0.650,2.960,2.960,0.000,0.000,0.000,0
17,squeeze,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.300,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0
18,agility_poles,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.550,1.800,1.800,0.000,0.000,0.000,0.000,0.000,0.000,1
19,balance_beam,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.300,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0
