task_idx,task,level,difficulty,scaled_difficulty,segment,x0_m,y0_m,x1_m,y1_m,path_len_m,max_step_up_m,max_step_down_m,max_step_m,max_gap_width_m,n_gaps,gap_landing_dz_m,mean_slope_deg,max_slope_deg,min_width_m,median_width_m,lateral_offset_max_m,center_pit_fraction,rise_m,max_height_m,min_height_m,fix_desc
0,jump_on_and_off_box,0,0.0000,0.1000,0,1.0000,2.0000,1.5000,0.5000,1.5811,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5500,3.3000,0.0000,0.0000,0.0000,0.0000,0.0000,"goals too close to edge, goals too close to spawn"
0,jump_on_and_off_box,0,0.0000,0.1000,1,1.5000,0.5000,1.5000,0.5000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5500,2.5500,0.0000,0.0000,0.0000,0.0000,0.0000,"goals too close to edge, goals too close to spawn"
0,jump_on_and_off_box,0,0.0000,0.1000,2,1.5000,0.5000,1.5000,0.5000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5500,2.5500,0.0000,0.0000,0.0000,0.0000,0.0000,"goals too close to edge, goals too close to spawn"
0,jump_on_and_off_box,0,0.0000,0.1000,3,1.5000,0.5000,1.5000,0.5000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5500,2.5500,0.0000,0.0000,0.0000,0.0000,0.0000,"goals too close to edge, goals too close to spawn"
0,jump_on_and_off_box,0,0.0000,0.1000,4,1.5000,0.5000,1.5000,0.5000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5500,2.5500,0.0000,0.0000,0.0000,0.0000,0.0000,"goals too close to edge, goals too close to spawn"
0,jump_on_and_off_box,0,0.0000,0.1000,5,1.5000,0.5000,1.5000,0.5000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5500,2.5500,0.0000,0.0000,0.0000,0.0000,0.0000,"goals too close to edge, goals too close to spawn"
0,jump_on_and_off_box,0,0.0000,0.1000,6,1.5000,0.5000,1.5000,0.5000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5500,2.5500,0.0000,0.0000,0.0000,0.0000,0.0000,"goals too close to edge, goals too close to spawn"
0,jump_on_and_off_box,0,0.0000,0.1000,7,1.5000,0.5000,1.5000,0.5000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5500,2.5500,0.0000,0.0000,0.0000,0.0000,0.0000,"goals too close to edge, goals too close to spawn"
0,jump_on_and_off_box,1,0.1111,0.1778,0,1.0000,2.0000,1.5000,0.5000,1.5811,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5500,3.3000,0.0000,0.0000,0.0000,0.0000,0.0000,"goals too close to edge, goals too close to spawn"
0,jump_on_and_off_box,1,0.1111,0.1778,1,1.5000,0.5000,1.5000,0.5000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5500,2.5500,0.0000,0.0000,0.0000,0.0000,0.0000,"goals too close to edge, goals too close to spawn"
0,jump_on_and_off_box,1,0.1111,0.1778,2,1.5000,0.5000,1.5000,0.5000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5500,2.5500,0.0000,0.0000,0.0000,0.0000,0.0000,"goals too close to edge, goals too close to spawn"
0,jump_on_and_off_box,1,0.1111,0.1778,3,1.5000,0.5000,1.5000,0.5000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5500,2.5500,0.0000,0.0000,0.0000,0.0000,0.0000,"goals too close to edge, goals too close to spawn"
0,jump_on_and_off_box,1,0.1111,0.1778,4,1.5000,0.5000,1.5000,0.5000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5500,2.5500,0.0000,0.0000,0.0000,0.0000,0.0000,"goals too close to edge, goals too close to spawn"
0,jump_on_and_off_box,1,0.1111,0.1778,5,1.5000,0.5000,1.5000,0.5000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5500,2.5500,0.0000,0.0000,0.0000,0.0000,0.0000,"goals too close to edge, goals too close to spawn"
0,jump_on_and_off_box,1,0.1111,0.1778,6,1.5000,0.5000,1.5000,0.5000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5500,2.5500,0.0000,0.0000,0.0000,0.0000,0.0000,"goals too close to edge, goals too close to spawn"
0,jump_on_and_off_box,1,0.1111,0.1778,7,1.5000,0.5000,1.5000,0.5000,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5500,2.5500,0.0000,0.0000,0.0000,0.0000,0.0000,"goals too close to edge, goals too close to spawn"
0,jump_on_and_off_box,2,0.2222,0.2556,0,1.0000,2.0000,1.5000,2.0000,0.5000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,goals too close to edge
0,jump_on_and_off_box,2,0.2222,0.2556,1,1.5000,2.0000,2.6614,1.9106,1.1648,0.2450,-0.0000,0.2450,0.0000,0.0000,0.0000,0.0000,0.0000,1.6000,1.6000,0.0000,0.0000,0.2450,0.2450,0.0000,goals too close to edge
0,jump_on_and_off_box,2,0.2222,0.2556,2,2.6614,1.9106,5.3060,1.9426,2.6448,0.3000,0.2450,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6000,3.9500,0.0000,0.0000,0.0550,0.3000,0.0000,goals too close to edge
0,jump_on_and_off_box,2,0.2222,0.2556,3,5.3060,1.9426,7.8405,1.9864,2.5349,0.3800,0.3000,0.3800,0.0000,0.0000,0.0000,0.0000,0.0000,1.6000,4.0000,0.0000,0.0000,0.0800,0.3800,0.0000,goals too close to edge
0,jump_on_and_off_box,2,0.2222,0.2556,4,7.8405,1.9864,10.3096,1.9781,2.4691,0.4000,0.3800,0.4000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6000,4.0000,0.0000,0.0000,0.0200,0.4000,0.0000,goals too close to edge
0,jump_on_and_off_box,2,0.2222,0.2556,5,10.3096,1.9781,12.8622,2.0425,2.5535,0.4600,0.4000,0.4600,0.0000,0.0000,0.0000,0.0000,0.0000,1.6000,4.0000,0.0000,0.0000,0.0600,0.4600,0.0000,goals too close to edge
0,jump_on_and_off_box,2,0.2222,0.2556,6,12.8622,2.0425,15.4538,1.9196,2.5945,0.5250,0.4600,0.5250,0.0000,0.0000,0.0000,0.0000,0.0000,1.6000,4.0000,0.0000,0.0000,0.0650,0.5250,0.0000,goals too close to edge
0,jump_on_and_off_box,2,0.2222,0.2556,7,15.4538,1.9196,17.5000,2.0000,2.0478,0.0000,0.5250,0.5250,0.0000,0.0000,0.0000,0.0000,0.0000,1.6000,4.0000,0.0000,0.0000,-0.5250,0.5250,0.0000,goals too close to edge
0,jump_on_and_off_box,3,0.3333,0.3333,0,1.0000,2.0000,1.5000,2.0000,0.5000,0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0,jump_on_and_off_box,3,0.3333,0.3333,1,1.5000,2.0000,2.4956,2.0492,0.9968,0.3300,-0.0000,0.3300,0.0000,0.0000,0.0000,0.0000,0.0000,1.3000,1.3000,0.0000,0.0000,0.3300,0.3300,0.0000,
