argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_comp,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,yaw_cum_deg,yaw_ok_deg
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,0,step_up,1,1.5888294522221798,on,4,4,heading-only,0.0,1,0.04,obstacle,0.02,15,skill.STEP_TROT_MAX,step_up_0p02,0,0,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,0,step_up,0,1.5432800041854666,on,4,4,heading-only,0.0,1,0.04,obstacle,0.04,15,skill.STEP_TROT_MAX,step_up_0p04,0,0,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999982,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,0,step_up,0,1.3697413643284098,on,4,4,heading-only,0.0,1,0.04,obstacle,0.06,15,skill.STEP_TROT_MAX,step_up_0p06,0,0,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999964,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,0,step_up,1,1.9782047772897449,on,4,4,heading-only,0.0,1,0.04,obstacle,0.08,15,skill.STEP_TROT_MAX,step_up_0p08,0,0,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,0,step_up,1,2.114442941018691,on,4,4,heading-only,0.0,1,0.04,obstacle,0.1,15,skill.STEP_TROT_MAX,step_up_0p10,0,0,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,0,step_up,1,2.0439167393048954,on,4,4,heading-only,0.0,1,0.04,obstacle,0.12,15,skill.STEP_TROT_MAX,step_up_0p12,0,0,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999982,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,0,step_up,0,1.522132715707493,on,4,4,heading-only,0.0,1,0.04,obstacle,0.14,15,skill.STEP_TROT_MAX,step_up_0p14,0,0,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999964,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,0,step_up,1,1.9112715297225107,on,4,4,heading-only,0.0,1,0.04,obstacle,0.16,15,skill.STEP_TROT_MAX,step_up_0p16,0,0,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,0,step_up,1,1.88123099394997,on,4,4,heading-only,0.0,1,0.04,obstacle,0.18,15,skill.STEP_TROT_MAX,step_up_0p18,0,0,2026-08-31T02:18:37Z,goal,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --heading-len --trace-npz outputs/trace_trot_headB.npz --results-csv outputs/trot_heading_B.csv,,0,step_up,1,1.2205902757758547,on,4,4,heading-only,0.0,1,0.04,obstacle,0.2,15,skill.STEP_TROT_MAX,step_up_0p20,0,0,2026-08-31T02:18:37Z,goal,TROT,0.9999999999999982,0.0,901,0.0,1,nan,,
