argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_comp,foot_len_bias,foot_yaw_bias,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,yaw_cum_deg,yaw_ok_deg
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --foot-len-bias -0.04 --trace-npz outputs/trace_trot_E_ladder.npz --results-csv outputs/trot_step_ff.csv,,0,step_up,1,11.084888138595527,on,-0.04,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.02,15,skill.STEP_TROT_MAX,step_up_0p02,0,0,2026-08-31T02:30:34Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --foot-len-bias -0.04 --trace-npz outputs/trace_trot_E_ladder.npz --results-csv outputs/trot_step_ff.csv,,0,step_up,0,1.4212121097294053,on,-0.04,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.04,15,skill.STEP_TROT_MAX,step_up_0p04,0,0,2026-08-31T02:30:34Z,goal,1,TROT,0.9999999999999982,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --foot-len-bias -0.04 --trace-npz outputs/trace_trot_E_ladder.npz --results-csv outputs/trot_step_ff.csv,,0,step_up,1,1.607710266333814,on,-0.04,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.06,15,skill.STEP_TROT_MAX,step_up_0p06,0,0,2026-08-31T02:30:34Z,goal,1,TROT,0.9999999999999964,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --foot-len-bias -0.04 --trace-npz outputs/trace_trot_E_ladder.npz --results-csv outputs/trot_step_ff.csv,,0,step_up,1,1.8589721985259917,on,-0.04,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.08,15,skill.STEP_TROT_MAX,step_up_0p08,0,0,2026-08-31T02:30:34Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --foot-len-bias -0.04 --trace-npz outputs/trace_trot_E_ladder.npz --results-csv outputs/trot_step_ff.csv,,0,step_up,1,1.9528980108096923,on,-0.04,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.1,15,skill.STEP_TROT_MAX,step_up_0p10,0,0,2026-08-31T02:30:34Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --foot-len-bias -0.04 --trace-npz outputs/trace_trot_E_ladder.npz --results-csv outputs/trot_step_ff.csv,,0,step_up,0,1.4210816376364375,on,-0.04,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.12,15,skill.STEP_TROT_MAX,step_up_0p12,0,0,2026-08-31T02:30:34Z,goal,1,TROT,0.9999999999999982,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --foot-len-bias -0.04 --trace-npz outputs/trace_trot_E_ladder.npz --results-csv outputs/trot_step_ff.csv,,0,step_up,1,1.9844843695422743,on,-0.04,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.14,15,skill.STEP_TROT_MAX,step_up_0p14,0,0,2026-08-31T02:30:34Z,goal,1,TROT,0.9999999999999964,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --foot-len-bias -0.04 --trace-npz outputs/trace_trot_E_ladder.npz --results-csv outputs/trot_step_ff.csv,,0,step_up,1,1.9990578064170974,on,-0.04,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.16,15,skill.STEP_TROT_MAX,step_up_0p16,0,0,2026-08-31T02:30:34Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --foot-len-bias -0.04 --trace-npz outputs/trace_trot_E_ladder.npz --results-csv outputs/trot_step_ff.csv,,0,step_up,1,1.9801599296684427,on,-0.04,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.18,15,skill.STEP_TROT_MAX,step_up_0p18,0,0,2026-08-31T02:30:34Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --foot-len-bias -0.04 --trace-npz outputs/trace_trot_E_ladder.npz --results-csv outputs/trot_step_ff.csv,,0,step_up,1,1.8868666219749528,on,-0.04,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.2,15,skill.STEP_TROT_MAX,step_up_0p20,0,0,2026-08-31T02:30:34Z,goal,1,TROT,0.9999999999999982,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --foot-len-bias -0.04 --trace-npz outputs/trace_trot_E_ladder.npz --results-csv outputs/trot_step_ff.csv,,0,step_up,1,2.056714323452714,on,-0.04,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.22,15,skill.STEP_TROT_MAX,step_up_0p22,0,0,2026-08-31T02:30:34Z,goal,1,TROT,0.9999999999999964,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --foot-len-bias -0.04 --trace-npz outputs/trace_trot_E_ladder.npz --results-csv outputs/trot_step_ff.csv,,0,step_up,1,1.4399346602371483,on,-0.04,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.24,15,skill.STEP_TROT_MAX,step_up_0p24,0,0,2026-08-31T02:30:34Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --foot-len-bias -0.04 --trace-npz outputs/trace_trot_E_ladder.npz --results-csv outputs/trot_step_ff.csv,,0,step_up,1,2.0338521946909616,on,-0.04,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.26,15,skill.STEP_TROT_MAX,step_up_0p26,0,0,2026-08-31T02:30:34Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --foot-len-bias -0.04 --trace-npz outputs/trace_trot_E_ladder.npz --results-csv outputs/trot_step_ff.csv,,0,step_up,1,1.9457445549533003,on,-0.04,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.28,15,skill.STEP_TROT_MAX,step_up_0p28,0,0,2026-08-31T02:30:34Z,goal,1,TROT,0.9999999999999982,0.0,901,0.0,1,nan,,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --foot-comp on --heading heading-only --foot-len-bias -0.04 --trace-npz outputs/trace_trot_E_ladder.npz --results-csv outputs/trot_step_ff.csv,,0,step_up,0,1.5411430424905739,on,-0.04,0.0,4,4,heading-only,0.0,0,0.04,obstacle,0.3,15,skill.STEP_TROT_MAX,step_up_0p30,0,0,2026-08-31T02:30:34Z,goal,1,TROT,0.9999999999999964,0.0,901,0.0,1,nan,,
