argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_comp,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,yaw_cum_deg,yaw_ok_deg
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.5340548157691956,0,step_up,1,4.396319832175719,on,3,3,off,0.0,0,0.04,spawn,0.02,9,probe.step_up@TURN,step_up_0p02,0,0,2026-08-31T02:18:37Z,inplace,TURN,1.0,0.0,258,0.0,1,nan,-36.02994628128354,48.70163691837402
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.5244576334953308,0,step_up,1,4.393977393609597,on,3,3,off,0.0,0,0.04,spawn,0.04,9,probe.step_up@TURN,step_up_0p04,0,0,2026-08-31T02:18:37Z,inplace,TURN,0.9999999999999982,0.0,258,0.0,1,nan,-36.601236718607595,49.86986089740617
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.45436230301856995,0,step_up,1,4.366994714030965,on,3,3,off,0.0,0,0.04,spawn,0.06,9,probe.step_up@TURN,step_up_0p06,0,0,2026-08-31T02:18:37Z,inplace,TURN,0.9999999999999964,0.0,258,0.0,1,nan,-37.96868697392699,51.825582076600796
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.5107792615890503,0,step_down,1,4.397508984145723,on,3,3,off,0.0,0,0.04,spawn,0.02,9,probe.step_down@TURN,step_down_0p02,0,0,2026-08-31T02:18:37Z,inplace,TURN,1.0,0.0,258,0.0,1,nan,-38.480184263661414,49.299464324868865
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.5038619041442871,0,step_down,1,4.391844245693231,on,3,3,off,0.0,0,0.04,spawn,0.04,9,probe.step_down@TURN,step_down_0p04,0,0,2026-08-31T02:18:37Z,inplace,TURN,0.9999999999999982,0.0,258,0.0,1,nan,-35.96219887663841,49.56268576365494
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.45280709862709045,0,step_down,1,4.363202729978564,on,3,3,off,0.0,0,0.04,spawn,0.06,9,probe.step_down@TURN,step_down_0p06,0,0,2026-08-31T02:18:37Z,inplace,TURN,0.9999999999999964,0.0,258,0.0,1,nan,-37.28922448659978,51.2586944582639
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.5431374311447144,0,gap,1,3.976020308079639,on,3,3,off,0.0,0,0.04,spawn,0.05,9,probe.gap@TURN,gap_0p05,0,0,2026-08-31T02:18:37Z,inplace,TURN,1.0,0.0,258,0.0,1,nan,-44.25855385851074,50.714314840346674
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.5260820984840393,0,gap,1,4.0130067778407525,on,3,3,off,0.0,0,0.04,spawn,0.1,9,probe.gap@TURN,gap_0p10,0,0,2026-08-31T02:18:37Z,inplace,TURN,0.9999999999999982,0.0,258,0.0,1,nan,-40.67095305544467,49.40074611990386
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.5036835074424744,0,gap,1,4.0481522588947385,on,3,3,off,0.0,0,0.04,spawn,0.15,9,probe.gap@TURN,gap_0p15,0,0,2026-08-31T02:18:37Z,inplace,TURN,0.9999999999999964,0.0,258,0.0,1,nan,-36.763294398346346,49.69620536646505
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.12495722621679306,9,step_up,0,3.9156395293624615,on,3,3,off,0.0,0,0.04,spawn,0.02,9,probe.step_up@TURN,step_up_0p02,1,1,2026-08-31T02:18:37Z,inplace,TURN,1.0,0.0,275,0.0,1,5.48,-90.19808221477717,90.19808221477717
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.13883280754089355,9,step_up,0,3.9133348807212114,on,3,3,off,0.0,0,0.04,spawn,0.04,9,probe.step_up@TURN,step_up_0p04,1,1,2026-08-31T02:18:37Z,inplace,TURN,0.9999999999999982,0.0,275,0.0,1,5.34,-94.69801913812157,94.69801913812157
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.1389702558517456,9,step_up,0,3.9141103879725025,on,3,3,off,0.0,0,0.04,spawn,0.06,9,probe.step_up@TURN,step_up_0p06,1,1,2026-08-31T02:18:37Z,inplace,TURN,0.9999999999999964,0.0,275,0.0,1,5.34,-94.71819224525834,94.71819224525834
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.13913464546203613,9,step_down,0,3.9124793313623583,on,3,3,off,0.0,0,0.04,spawn,0.02,9,probe.step_down@TURN,step_down_0p02,1,1,2026-08-31T02:18:37Z,inplace,TURN,1.0,0.0,275,0.0,1,5.32,-95.55155399168612,95.55155399168612
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.13161474466323853,9,step_down,0,3.9389494233889573,on,3,3,off,0.0,0,0.04,spawn,0.04,9,probe.step_down@TURN,step_down_0p04,1,1,2026-08-31T02:18:37Z,inplace,TURN,0.9999999999999982,0.0,275,0.0,1,5.48,-90.19204291717094,90.19204291717094
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.12739987671375275,9,step_down,0,3.9390425243500276,on,3,3,off,0.0,0,0.04,spawn,0.06,9,probe.step_down@TURN,step_down_0p06,1,1,2026-08-31T02:18:37Z,inplace,TURN,0.9999999999999964,0.0,275,0.0,1,5.4,-92.6887507903889,92.6887507903889
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.13959674537181854,9,gap,0,3.4639422727767464,on,3,3,off,0.0,0,0.04,spawn,0.05,9,probe.gap@TURN,gap_0p05,1,1,2026-08-31T02:18:37Z,inplace,TURN,1.0,0.0,275,0.0,1,5.32,-95.43272943312357,95.43272943312357
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.14250361919403076,9,gap,0,3.511008297155574,on,3,3,off,0.0,0,0.04,spawn,0.1,9,probe.gap@TURN,gap_0p10,1,1,2026-08-31T02:18:37Z,inplace,TURN,0.9999999999999982,0.0,275,0.0,1,5.32,-95.71262194220213,95.71262194220213
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.12303970754146576,9,gap,0,3.592164609778586,on,3,3,off,0.0,0,0.04,spawn,0.15,9,probe.gap@TURN,gap_0p15,1,1,2026-08-31T02:18:37Z,inplace,TURN,0.9999999999999964,0.0,275,0.0,1,5.48,-90.21933244085349,90.21933244085349
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.405355840921402,18,step_up,0,4.341368392586469,on,3,3,off,0.0,0,0.04,spawn,0.02,9,probe.step_up@TURN,step_up_0p02,0,2,2026-08-31T02:18:37Z,inplace,TURN,1.0,0.0,398,0.0,1,nan,-46.25581944648715,65.13042038866371
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.5936174392700195,18,step_up,1,4.4718226860031605,on,3,3,off,0.0,0,0.04,spawn,0.04,9,probe.step_up@TURN,step_up_0p04,0,2,2026-08-31T02:18:37Z,inplace,TURN,0.9999999999999982,0.0,398,0.0,1,nan,-51.10548903565319,53.42596733823578
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.5551188588142395,18,step_up,1,4.46675829004751,on,3,3,off,0.0,0,0.04,spawn,0.06,9,probe.step_up@TURN,step_up_0p06,0,2,2026-08-31T02:18:37Z,inplace,TURN,0.9999999999999964,0.0,398,0.0,1,nan,-47.930912747044346,57.29625936976612
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.5730353593826294,18,step_down,1,4.469356431341598,on,3,3,off,0.0,0,0.04,spawn,0.02,9,probe.step_down@TURN,step_down_0p02,0,2,2026-08-31T02:18:37Z,inplace,TURN,1.0,0.0,398,0.0,1,nan,-43.87911249632745,57.696006587589096
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.5648626685142517,18,step_down,1,4.445805010207161,on,3,3,off,0.0,0,0.04,spawn,0.04,9,probe.step_down@TURN,step_down_0p04,0,2,2026-08-31T02:18:37Z,inplace,TURN,0.9999999999999982,0.0,398,0.0,1,nan,-41.08537017936575,54.14770012797334
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.5637862682342529,18,step_down,1,4.476336846195765,on,3,3,off,0.0,0,0.04,spawn,0.06,9,probe.step_down@TURN,step_down_0p06,0,2,2026-08-31T02:18:37Z,inplace,TURN,0.9999999999999964,0.0,398,0.0,1,nan,-48.69013272535321,58.73084469012986
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.572731614112854,18,gap,1,3.999154519604249,on,3,3,off,0.0,0,0.04,spawn,0.05,9,probe.gap@TURN,gap_0p05,0,2,2026-08-31T02:18:37Z,inplace,TURN,1.0,0.0,398,0.0,1,nan,-49.93059380629006,54.583733049355686
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.5689151287078857,18,gap,1,4.053245167648758,on,3,3,off,0.0,0,0.04,spawn,0.1,9,probe.gap@TURN,gap_0p10,0,2,2026-08-31T02:18:37Z,inplace,TURN,0.9999999999999982,0.0,398,0.0,1,nan,-43.18060033930098,54.811574333051425
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_flat.csv,0.5776348114013672,18,gap,1,4.105357042119735,on,3,3,off,0.0,0,0.04,spawn,0.15,9,probe.gap@TURN,gap_0p15,0,2,2026-08-31T02:18:37Z,inplace,TURN,0.9999999999999964,0.0,398,0.0,1,nan,-46.54578478793161,54.37586895159424
