argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_comp,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,yaw_cum_deg,yaw_ok_deg
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_obstacle.csv,0.6351478099822998,0,step_up,1,1.453737594663356,on,7,6,off,0.0,0,0.04,obstacle,0.02,42,probe.step_up@TURN,step_up_0p02,0,0,2026-08-31T02:23:43Z,inplace,1,TURN,4.0,0.02,398,0.0,1,nan,-15.504381555316769,26.10786042266153
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_obstacle.csv,0.5788764953613281,0,step_up,1,1.502354629836921,on,7,6,off,0.0,0,0.04,obstacle,0.04,42,probe.step_up@TURN,step_up_0p04,0,0,2026-08-31T02:23:43Z,inplace,1,TURN,3.9999999999999982,0.04,398,0.0,1,nan,-30.979662952186914,33.21669942611794
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_obstacle.csv,0.628828227519989,0,step_up,1,1.6097742618811075,on,7,6,off,0.0,0,0.04,obstacle,0.06,42,probe.step_up@TURN,step_up_0p06,0,0,2026-08-31T02:23:43Z,inplace,1,TURN,3.9999999999999964,0.06,398,0.0,1,nan,-32.54261715646095,25.32239939677936
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_obstacle.csv,0.6691822409629822,0,step_up,1,1.4834142046571324,on,7,6,off,0.0,0,0.04,obstacle,0.08,42,probe.step_up@TURN,step_up_0p08,0,0,2026-08-31T02:23:43Z,inplace,1,TURN,4.0,0.08,398,0.0,1,nan,42.07626452768528,21.63100123536151
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_obstacle.csv,0.6514636278152466,0,step_up,1,1.6323128005253613,on,7,6,off,0.0,0,0.04,obstacle,0.1,42,probe.step_up@TURN,step_up_0p10,0,0,2026-08-31T02:23:43Z,inplace,1,TURN,3.999999999999993,0.1,398,0.0,1,nan,49.10008790452616,35.307689123357505
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_obstacle.csv,0.6720935106277466,0,step_up,1,1.6380055645720075,on,7,6,off,0.0,0,0.04,obstacle,0.12,42,probe.step_up@TURN,step_up_0p12,0,0,2026-08-31T02:23:43Z,inplace,1,TURN,4.0,0.12,398,0.0,1,nan,44.45692251328339,35.150962762838844
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_obstacle.csv,0.6364220976829529,0,step_up,1,1.4662210627707803,on,7,6,off,0.0,0,0.04,obstacle,0.14,42,probe.step_up@TURN,step_up_0p14,0,0,2026-08-31T02:23:43Z,inplace,1,TURN,4.0,0.14,398,0.0,1,nan,30.590460692676714,21.97594031314972
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_obstacle.csv,0.6449371576309204,0,step_up,1,1.5921683408384957,on,7,6,off,0.0,0,0.04,obstacle,0.16,42,probe.step_up@TURN,step_up_0p16,0,0,2026-08-31T02:23:43Z,inplace,1,TURN,4.0,0.16,398,0.0,1,nan,39.663422632317264,30.1076097120488
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_obstacle.csv,0.5965686440467834,0,step_up,1,1.5400867531012865,on,7,6,off,0.0,0,0.04,obstacle,0.18,42,probe.step_up@TURN,step_up_0p18,0,0,2026-08-31T02:23:43Z,inplace,1,TURN,3.9999999999999982,0.18,398,0.0,1,nan,-43.209023157359326,27.725155936557485
--headless --device cpu --families step_up step_down gap --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/turn_inplace_obstacle.csv,0.049206189811229706,0,step_up,0,1.3575529688610877,on,7,6,off,0.0,0,0.04,obstacle,0.2,42,probe.step_up@TURN,step_up_0p20,0,0,2026-08-31T02:23:43Z,inplace,1,TURN,3.9999999999999964,0.2,398,0.0,1,nan,3.5056064600954358,10.239953621456152
