argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_comp,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,yaw_cum_deg,yaw_ok_deg
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,0,slope,1,1.725308743868184,on,5,4,heading-only,0.0,0,0.04,obstacle,5.0,20,skill.SLOPE_WALK_MAX,slope_5p00,1,0,2026-08-31T02:22:09Z,goal,WALK,1.0,0.0,1849,0.0,1,30.5,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,0,slope,1,2.8737572339618462,on,5,4,heading-only,0.0,0,0.04,obstacle,10.0,20,skill.SLOPE_WALK_MAX,slope_10p00,0,0,2026-08-31T02:22:09Z,goal,WALK,0.9999999999999982,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,0,slope,1,2.959799475944468,on,5,4,heading-only,0.0,0,0.04,obstacle,15.0,20,skill.SLOPE_WALK_MAX,slope_15p00,0,0,2026-08-31T02:22:09Z,goal,WALK,0.9999999999999964,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,0,slope,1,3.0535315406020005,on,5,4,heading-only,0.0,0,0.04,obstacle,20.0,20,skill.SLOPE_WALK_MAX,slope_20p00,0,0,2026-08-31T02:22:09Z,goal,WALK,1.0,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,0,slope,1,2.8267250569200995,on,5,4,heading-only,0.0,0,0.04,obstacle,25.0,20,skill.SLOPE_WALK_MAX,slope_25p00,0,0,2026-08-31T02:22:09Z,goal,WALK,0.9999999999999929,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,0,slope,1,3.0169158011769257,on,5,4,heading-only,0.0,0,0.04,obstacle,30.0,20,skill.SLOPE_WALK_MAX,slope_30p00,0,0,2026-08-31T02:22:09Z,goal,WALK,1.0,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,0,slope,1,3.118342472671229,on,5,4,heading-only,0.0,0,0.04,obstacle,35.0,20,skill.SLOPE_WALK_MAX,slope_35p00,0,0,2026-08-31T02:22:09Z,goal,WALK,0.9999999999999982,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,0,slope,1,3.120099125886423,on,5,4,heading-only,0.0,0,0.04,obstacle,40.0,20,skill.SLOPE_WALK_MAX,slope_40p00,0,0,2026-08-31T02:22:09Z,goal,WALK,0.9999999999999964,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,0,roughness,1,28.77188172437333,on,5,4,heading-only,0.0,0,0.04,obstacle,0.005,20,skill.ROUGHNESS_TROT_MAX,roughness_0p01,0,0,2026-08-31T02:22:09Z,goal,TROT,1.0,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --params skill.SLOPE_WALK_MAX skill.ROUGHNESS_TROT_MAX --reps 5 --foot-comp on --heading heading-only --trace-npz outputs/trace_v2_walk.npz --results-csv outputs/v2_slope_rough.csv,,0,roughness,1,1.307016888259104,on,5,4,heading-only,0.0,0,0.04,obstacle,0.01,20,skill.ROUGHNESS_TROT_MAX,roughness_0p01,0,0,2026-08-31T02:22:09Z,goal,TROT,0.9999999999999929,0.0,1849,0.0,1,nan,,
