argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_comp,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,yaw_cum_deg,yaw_ok_deg
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.5320641398429871,0,slope,1,5.88959585882095,on,3,2,off,0.0,0,0.04,spawn,5.0,6,probe.slope@TURN,slope_5p00,0,0,2026-08-31T02:27:13Z,inplace,1,TURN,1.0,0.0,258,0.0,1,nan,-35.95397139750736,48.70163691837402
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.5256841778755188,0,slope,1,5.893225862003687,on,3,2,off,0.0,0,0.04,spawn,10.0,6,probe.slope@TURN,slope_10p00,0,0,2026-08-31T02:27:13Z,inplace,1,TURN,0.9999999999999982,0.0,258,0.0,1,nan,-37.386422680647144,49.86986089740617
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.4555966556072235,0,slope,1,5.8656981137806685,on,3,2,off,0.0,0,0.04,spawn,15.0,6,probe.slope@TURN,slope_15p00,0,0,2026-08-31T02:27:13Z,inplace,1,TURN,0.9999999999999964,0.0,258,0.0,1,nan,-38.593102380913024,51.825582076600796
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.5087374448776245,0,roughness,1,5.892239112231772,on,3,2,off,0.0,0,0.04,spawn,0.005,6,probe.roughness@TURN,roughness_0p005,0,0,2026-08-31T02:27:13Z,inplace,1,TURN,1.0,0.0,258,0.0,1,nan,-39.08436007585857,49.299464324868865
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.5067309141159058,0,roughness,1,5.893132738629619,on,3,2,off,0.0,0,0.04,spawn,0.01,6,probe.roughness@TURN,roughness_0p010,0,0,2026-08-31T02:27:13Z,inplace,1,TURN,0.9999999999999982,0.0,258,0.0,1,nan,-39.797608686122345,49.56268576365494
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.458093523979187,0,roughness,1,5.8639607950551955,on,3,2,off,0.0,0,0.04,spawn,0.015,6,probe.roughness@TURN,roughness_0p015,0,0,2026-08-31T02:27:13Z,inplace,1,TURN,0.9999999999999964,0.0,258,0.0,1,nan,-37.04127496476539,51.2586944582639
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.12495722621679306,9,slope,0,5.4155815466524855,on,3,2,off,0.0,0,0.04,spawn,5.0,6,probe.slope@TURN,slope_5p00,1,1,2026-08-31T02:27:13Z,inplace,1,TURN,1.0,0.0,275,0.0,1,5.48,-90.19808221477717,90.19808221477717
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.13883280754089355,9,slope,0,5.413274461757213,on,3,2,off,0.0,0,0.04,spawn,10.0,6,probe.slope@TURN,slope_10p00,1,1,2026-08-31T02:27:13Z,inplace,1,TURN,0.9999999999999982,0.0,275,0.0,1,5.34,-94.69801913812157,94.69801913812157
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.1389702558517456,9,slope,0,5.414050828909306,on,3,2,off,0.0,0,0.04,spawn,15.0,6,probe.slope@TURN,slope_15p00,1,1,2026-08-31T02:27:13Z,inplace,1,TURN,0.9999999999999964,0.0,275,0.0,1,5.34,-94.71819224525834,94.71819224525834
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at spawn --max-probes 3 --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_flat.csv,0.13913464546203613,9,roughness,0,5.412419552639991,on,3,2,off,0.0,0,0.04,spawn,0.005,6,probe.roughness@TURN,roughness_0p005,1,1,2026-08-31T02:27:13Z,inplace,1,TURN,1.0,0.0,275,0.0,1,5.32,-95.55155399168612,95.55155399168612
