argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_comp,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,yaw_cum_deg,yaw_ok_deg
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_inplace.csv,0.6118096113204956,0,slope,1,2.0178734411728807,on,5,4,off,0.0,0,0.04,obstacle,5.0,20,probe.slope@TURN,slope_5p00,0,0,2026-08-31T02:23:43Z,inplace,1,TURN,5.0,0.115,398,0.0,1,nan,-20.39189900743068,33.0176113565785
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_inplace.csv,0.6269412636756897,0,slope,0,2.0182095178615858,on,5,4,off,0.0,0,0.04,obstacle,10.0,20,probe.slope@TURN,slope_10p00,0,0,2026-08-31T02:23:43Z,inplace,1,TURN,4.999999999999998,0.23,398,0.0,1,nan,-16.48004395942789,13.55993347710887
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_inplace.csv,0.4831419587135315,0,slope,1,2.496199426488917,on,5,4,off,0.0,0,0.04,obstacle,15.0,20,probe.slope@TURN,slope_15p00,1,0,2026-08-31T02:23:43Z,inplace,1,TURN,4.9999999999999964,0.35000000000000003,398,0.0,1,0.22,-172.32921745666425,161.20892421646576
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_inplace.csv,0.2556115984916687,0,slope,1,2.5682954268549048,on,5,4,off,0.0,0,0.04,obstacle,20.0,20,probe.slope@TURN,slope_20p00,0,0,2026-08-31T02:23:43Z,inplace,0,TURN,5.0,0.47500000000000003,398,0.0,1,nan,18.0046227966493,15.532503065391893
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_inplace.csv,0.02653772383928299,0,slope,1,2.455352639395464,on,5,4,off,0.0,0,0.04,obstacle,25.0,20,probe.slope@TURN,slope_25p00,0,0,2026-08-31T02:23:43Z,inplace,0,TURN,4.999999999999993,0.605,398,0.0,1,nan,-4.384770271034114,0.5409512559121765
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_inplace.csv,0.011442658491432667,0,slope,1,2.5154768863667973,on,5,4,off,0.0,0,0.04,obstacle,30.0,20,probe.slope@TURN,slope_30p00,0,0,2026-08-31T02:23:43Z,inplace,0,TURN,5.0,0.75,398,0.0,1,nan,-1.7097569297201005,0.0
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_inplace.csv,0.015864845365285873,0,slope,1,2.5629194444634615,on,5,4,off,0.0,0,0.04,obstacle,35.0,20,probe.slope@TURN,slope_35p00,0,0,2026-08-31T02:23:43Z,inplace,0,TURN,4.999999999999998,0.91,398,0.0,1,nan,-3.7507274312435186,0.0
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_inplace.csv,0.0514187216758728,0,slope,0,2.5374183716418415,on,5,4,off,0.0,0,0.04,obstacle,40.0,20,probe.slope@TURN,slope_40p00,0,0,2026-08-31T02:23:43Z,inplace,0,TURN,4.9999999999999964,1.09,398,0.0,1,nan,-1.38544310379649,2.1411169558006975
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_inplace.csv,0.6360171437263489,0,roughness,1,1.9129438174866547,on,5,4,off,0.0,0,0.04,obstacle,0.005,20,probe.roughness@TURN,roughness_0p01,0,0,2026-08-31T02:23:43Z,inplace,1,TURN,5.0,0.005,398,0.0,1,nan,-20.357492026225884,40.019090152825356
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_inplace.csv,0.6730654239654541,0,roughness,1,1.8833966196044283,on,5,4,off,0.0,0,0.04,obstacle,0.01,20,probe.roughness@TURN,roughness_0p01,0,0,2026-08-31T02:23:43Z,inplace,1,TURN,4.999999999999993,0.01,398,0.0,1,nan,-8.941691505292624,31.596907930567852
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_inplace.csv,0.6525172591209412,0,roughness,1,1.9471901073964228,on,5,4,off,0.0,0,0.04,obstacle,0.015,20,probe.roughness@TURN,roughness_0p01,0,0,2026-08-31T02:23:43Z,inplace,1,TURN,5.0,0.015,398,0.0,1,nan,-14.468266425330256,32.233293117118535
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_inplace.csv,0.6430494785308838,0,roughness,1,1.8448382328414772,on,5,4,off,0.0,0,0.04,obstacle,0.02,20,probe.roughness@TURN,roughness_0p02,0,0,2026-08-31T02:23:43Z,inplace,1,TURN,4.999999999999998,0.02,398,0.0,1,nan,-10.755514636868156,42.01614458948447
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_inplace.csv,0.7170340418815613,0,roughness,1,1.8567290488604158,on,5,4,off,0.0,0,0.04,obstacle,0.025,20,probe.roughness@TURN,roughness_0p03,0,0,2026-08-31T02:23:43Z,inplace,1,TURN,4.9999999999999964,0.025,398,0.0,1,nan,0.5662671869006033,39.27036566266622
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_inplace.csv,0.745827317237854,0,roughness,1,1.6019506774922632,on,5,4,off,0.0,0,0.04,obstacle,0.03,20,probe.roughness@TURN,roughness_0p03,0,0,2026-08-31T02:23:43Z,inplace,1,TURN,5.0,0.03,398,0.0,1,nan,14.57263553393932,30.894928319672545
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_inplace.csv,0.6535352468490601,0,roughness,1,1.9027704213255425,on,5,4,off,0.0,0,0.04,obstacle,0.035,20,probe.roughness@TURN,roughness_0p04,0,0,2026-08-31T02:23:43Z,inplace,1,TURN,4.999999999999993,0.035,398,0.0,1,nan,-14.680336973403058,22.617762000991405
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill TURN --score inplace --inplace-at obstacle --reps 5 --foot-comp on --heading off --results-csv outputs/v2_turn_inplace.csv,0.6467065811157227,0,roughness,1,1.7214399544370624,on,5,4,off,0.0,0,0.04,obstacle,0.04,20,probe.roughness@TURN,roughness_0p04,0,0,2026-08-31T02:23:43Z,inplace,1,TURN,5.0,0.04,398,0.0,1,nan,1.0128240804544646,19.67523863758504
