argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_comp,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,yaw_cum_deg,yaw_ok_deg
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,0,slope,1,1.725308743868184,on,5,4,heading-only,0.0,0,0.04,obstacle,5.0,20,probe.slope@WALK,slope_5p00,1,0,2026-08-31T02:27:13Z,goal,1,WALK,1.0,0.0,1849,0.0,1,30.5,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,0,slope,1,2.8737572339618462,on,5,4,heading-only,0.0,0,0.04,obstacle,10.0,20,probe.slope@WALK,slope_10p00,0,0,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999982,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,0,slope,1,2.959799475944468,on,5,4,heading-only,0.0,0,0.04,obstacle,15.0,20,probe.slope@WALK,slope_15p00,0,0,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999964,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,0,slope,1,3.0535315406020005,on,5,4,heading-only,0.0,0,0.04,obstacle,20.0,20,probe.slope@WALK,slope_20p00,0,0,2026-08-31T02:27:13Z,goal,1,WALK,1.0,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,0,slope,1,2.8267250569200995,on,5,4,heading-only,0.0,0,0.04,obstacle,25.0,20,probe.slope@WALK,slope_25p00,0,0,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999929,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,0,slope,1,3.0169158011769257,on,5,4,heading-only,0.0,0,0.04,obstacle,30.0,20,probe.slope@WALK,slope_30p00,0,0,2026-08-31T02:27:13Z,goal,1,WALK,1.0,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,0,slope,1,3.118342472671229,on,5,4,heading-only,0.0,0,0.04,obstacle,35.0,20,probe.slope@WALK,slope_35p00,0,0,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999982,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,0,slope,1,3.120099125886423,on,5,4,heading-only,0.0,0,0.04,obstacle,40.0,20,probe.slope@WALK,slope_40p00,0,0,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999964,0.0,1849,0.0,1,nan,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,0,roughness,1,1.2065338255702915,on,5,4,heading-only,0.0,0,0.04,obstacle,0.005,20,probe.roughness@WALK,roughness_0p005,1,0,2026-08-31T02:27:13Z,goal,1,WALK,1.0,0.0,1849,0.0,1,23.900000000000002,,
--headless --device cpu --probes data/calibration_probes_v2.npz --families slope roughness --skill WALK --reps 5 --foot-comp on --heading heading-only --results-csv outputs/v2_walk.csv,,0,roughness,1,1.1066567537502292,on,5,4,heading-only,0.0,0,0.04,obstacle,0.01,20,probe.roughness@WALK,roughness_0p010,0,0,2026-08-31T02:27:13Z,goal,1,WALK,0.9999999999999929,0.0,1849,0.0,1,nan,,
