task,task_name,level,episode,goals,settle_ok,heading,heading_cap_rad,partial,skill,start_phase,foot_comp,steps
0,jump_on_and_off_box,0,0,1,1,heading-only,0.02,1,TROT,first,on,486
0,jump_on_and_off_box,5,0,1,1,heading-only,0.02,1,TROT,first,on,486
1,forward_ramp_lips,0,0,1,1,heading-only,0.02,1,TROT,first,on,486
1,forward_ramp_lips,5,0,1,1,heading-only,0.02,1,TROT,first,on,486
2,sphere_bump_lips,0,0,1,1,heading-only,0.02,1,TROT,first,on,486
2,sphere_bump_lips,5,0,1,1,heading-only,0.02,1,TROT,first,on,486
0,jump_on_and_off_box,0,0,1,1,off,0.0,1,TROT,first,on,741
0,jump_on_and_off_box,5,0,1,1,off,0.0,1,TROT,first,on,741
1,forward_ramp_lips,0,0,1,1,off,0.0,1,TROT,first,on,741
1,forward_ramp_lips,5,0,1,1,off,0.0,1,TROT,first,on,741
2,sphere_bump_lips,0,0,1,1,off,0.0,1,TROT,first,on,741
2,sphere_bump_lips,5,0,1,1,off,0.0,1,TROT,first,on,741
