argv,drift_max_m,entry_frame,family,fell,final_dist_m,foot_com_height_m,foot_comp,foot_gain,foot_len_bias,foot_offset_clip_m,foot_vy_avg_n,foot_yaw_bias,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,hip_saturated,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,tau_hip_max_nm,yaw_cum_deg,yaw_moment,yaw_moment_cap_nm,yaw_moment_gain,yaw_moment_nm,yaw_ok_deg
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,0,step_up,1,10.599903654562429,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.02,15,skill.STEP_TROT_MAX,step_up_0p02,0,0,2026-09-01T07:36:29Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,14.563233375549316,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,0,step_up,1,1.0489062032881433,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.04,15,skill.STEP_TROT_MAX,step_up_0p04,0,0,2026-09-01T07:36:29Z,goal,1,TROT,0.9999999999999982,0.0,901,0.0,1,nan,16.753570556640625,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,0,step_up,0,1.36079367552679,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.06,15,skill.STEP_TROT_MAX,step_up_0p06,0,0,2026-09-01T07:36:29Z,goal,1,TROT,0.9999999999999964,0.0,901,0.0,1,nan,18.029876708984375,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,0,step_up,1,1.8870023896528216,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.08,15,skill.STEP_TROT_MAX,step_up_0p08,0,0,2026-09-01T07:36:29Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,15.518026351928711,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,0,step_up,1,1.9131431998256307,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.1,15,skill.STEP_TROT_MAX,step_up_0p10,0,0,2026-09-01T07:36:29Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,14.487661361694336,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,0,step_up,1,1.958981503209979,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.12,15,skill.STEP_TROT_MAX,step_up_0p12,0,0,2026-09-01T07:36:29Z,goal,1,TROT,0.9999999999999982,0.0,901,0.0,1,nan,15.426021575927734,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,0,step_up,1,1.949239682857664,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.14,15,skill.STEP_TROT_MAX,step_up_0p14,0,0,2026-09-01T07:36:29Z,goal,1,TROT,0.9999999999999964,0.0,901,0.0,1,nan,14.589730262756348,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,0,step_up,1,1.9167493681322867,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.16,15,skill.STEP_TROT_MAX,step_up_0p16,0,0,2026-09-01T07:36:29Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,15.17818832397461,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,0,step_up,1,1.8986131101063073,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.18,15,skill.STEP_TROT_MAX,step_up_0p18,0,0,2026-09-01T07:36:29Z,goal,1,TROT,1.0,0.0,901,0.0,1,nan,14.695807456970215,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 5 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --results-csv outputs/yawm/grid_ab.csv,,0,step_up,1,1.9259720109583183,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.2,15,skill.STEP_TROT_MAX,step_up_0p20,0,0,2026-09-01T07:36:29Z,goal,1,TROT,0.9999999999999982,0.0,901,0.0,1,nan,14.654830932617188,,hold,2.0,5.0,0.0,
