argv,drift_max_m,entry_frame,entry_offset,family,fell,final_dist_m,foot_com_height_m,foot_comp,foot_gain,foot_len_bias,foot_offset_clip_m,foot_vy_avg_n,foot_yaw_bias,grid_cols,grid_rows,heading,heading_cap_rad,heading_len,heading_len_cap_rad,hip_saturated,inplace_at,level_m,n_probes,param,probe,reached,rep,run_utc,score,settle_ok,skill,spawn_x,spawn_z0_m,steps,swing_lift_mm,swing_lift_sym,t_reached_s,tau_hip_max_nm,yaw_cum_deg,yaw_moment,yaw_moment_cap_nm,yaw_moment_gain,yaw_moment_nm,yaw_ok_deg
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 13 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --trace-npz outputs/yawm/trace_sB13.npz --results-csv outputs/yawm/ladder_frames.csv,,13,13,step_up,1,3.8394919991949887,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.02,15,skill.STEP_TROT_MAX,step_up_0p02,0,0,2026-09-01T07:59:39Z,goal,1,TROT,1.0,0.0,141,0.0,1,nan,18.598140716552734,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 13 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --trace-npz outputs/yawm/trace_sB13.npz --results-csv outputs/yawm/ladder_frames.csv,,13,13,step_up,1,4.111204236631078,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,1,obstacle,0.04,15,skill.STEP_TROT_MAX,step_up_0p04,0,0,2026-09-01T07:59:39Z,goal,1,TROT,0.9999999999999982,0.0,141,0.0,1,nan,23.700000762939453,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 13 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --trace-npz outputs/yawm/trace_sB13.npz --results-csv outputs/yawm/ladder_frames.csv,,13,13,step_up,1,4.063710155287563,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.06,15,skill.STEP_TROT_MAX,step_up_0p06,0,0,2026-09-01T07:59:39Z,goal,1,TROT,0.9999999999999964,0.0,141,0.0,1,nan,18.622455596923828,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 13 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --trace-npz outputs/yawm/trace_sB13.npz --results-csv outputs/yawm/ladder_frames.csv,,13,13,step_up,1,3.464871431977751,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.08,15,skill.STEP_TROT_MAX,step_up_0p08,0,0,2026-09-01T07:59:39Z,goal,1,TROT,1.0,0.0,141,0.0,1,nan,16.889347076416016,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 13 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --trace-npz outputs/yawm/trace_sB13.npz --results-csv outputs/yawm/ladder_frames.csv,,13,13,step_up,1,4.037554253966835,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.1,15,skill.STEP_TROT_MAX,step_up_0p10,0,0,2026-09-01T07:59:39Z,goal,1,TROT,1.0,0.0,141,0.0,1,nan,22.296152114868164,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 13 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --trace-npz outputs/yawm/trace_sB13.npz --results-csv outputs/yawm/ladder_frames.csv,,13,13,step_up,1,3.4556990902449463,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.12,15,skill.STEP_TROT_MAX,step_up_0p12,0,0,2026-09-01T07:59:39Z,goal,1,TROT,0.9999999999999982,0.0,141,0.0,1,nan,16.916263580322266,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 13 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --trace-npz outputs/yawm/trace_sB13.npz --results-csv outputs/yawm/ladder_frames.csv,,13,13,step_up,1,4.042830709092087,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.14,15,skill.STEP_TROT_MAX,step_up_0p14,0,0,2026-09-01T07:59:39Z,goal,1,TROT,0.9999999999999964,0.0,141,0.0,1,nan,20.747833251953125,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 13 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --trace-npz outputs/yawm/trace_sB13.npz --results-csv outputs/yawm/ladder_frames.csv,,13,13,step_up,1,3.997313024237721,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.16,15,skill.STEP_TROT_MAX,step_up_0p16,0,0,2026-09-01T07:59:39Z,goal,1,TROT,1.0,0.0,141,0.0,1,nan,19.880273818969727,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 13 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --trace-npz outputs/yawm/trace_sB13.npz --results-csv outputs/yawm/ladder_frames.csv,,13,13,step_up,1,4.301206019216028,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.18,15,skill.STEP_TROT_MAX,step_up_0p18,0,0,2026-09-01T07:59:39Z,goal,1,TROT,1.0,0.0,141,0.0,1,nan,18.512548446655273,,hold,2.0,5.0,0.0,
--headless --device cpu --params skill.STEP_TROT_MAX --reps 1 --entry-offset 13 --skip-unsupported --foot-comp on --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0 --trace-npz outputs/yawm/trace_sB13.npz --results-csv outputs/yawm/ladder_frames.csv,,13,13,step_up,1,4.0848868222974755,,on,half-stance,0.0,0.0,0,0.0,4,4,heading-only,0.0,0,0.04,0,obstacle,0.2,15,skill.STEP_TROT_MAX,step_up_0p20,0,0,2026-09-01T07:59:39Z,goal,1,TROT,0.9999999999999982,0.0,141,0.0,1,nan,20.758880615234375,,hold,2.0,5.0,0.0,
