argv,curv_deg_per_m,dt,duty,entry_turn,executed_switches,foot_comp,gate_deferrals,heading,hip_effort_limit_nm,hip_sat_frac,initial,main_skill,main_verdict,max_cmd_jump_rad,min_switch_gap_s,n_steps,pairs,planner_switches,refused_skills,refused_ticks,run_utc,schedule,seg_not_ok,seg_ok,segments,speed_gate,speed_refusals,stride_hz,switch_blend_s,switch_entry,switch_gate,tau_hip_peak_nm,term_reason,terminated_s,vx_mean,vy_mean,yaw_moment,yaw_moment_cap_nm,yaw_moment_gain,yaw_moment_nm,yaw_moment_skill,yaw_rate_deg_s
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase.csv --entry-offset 24 --yaw-moment off,14.508979416632448,0.02,0.5321428571428571,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,70,,0,,0,2026-09-01T07:41:14Z,hold,1,0,1,off,0,1.5625,0.0,contact,off,0.0,roll,1.3800000000000001,0.1312897503376007,-0.2591453492641449,off,nan,0.0,0.0,TROT,1.9048802852630615
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase.csv --entry-offset 20 --yaw-moment off,43.88277179855425,0.02,0.4868421052631579,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,95,,0,,0,2026-09-01T07:41:14Z,hold,1,0,1,off,0,0.9803921568627451,0.0,contact,off,0.0,roll,1.8800000000000001,0.16407112777233124,-0.14071418344974518,off,nan,0.0,0.0,TROT,7.199895858764648
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase.csv --entry-offset 28 --yaw-moment off,590.5663210111163,0.02,0.48936170212765956,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,47,,0,,0,2026-09-01T07:41:14Z,hold,1,0,1,off,0,nan,0.0,contact,off,0.0,roll,0.92,0.09986254572868347,-0.34430551528930664,off,nan,0.0,0.0,TROT,-58.97545623779297
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase.csv --entry-offset 8 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,50.455416635799615,0.02,0.4956896551724138,rule,0,on,0,heading-only,23.700000762939453,0.13793103448275862,TROT,TROT,FAIL,,,58,,0,,0,2026-09-01T07:41:14Z,hold,1,0,1,off,0,3.846153846153846,0.0,contact,off,23.7,roll,1.1400000000000001,0.19752642512321472,0.2790028750896454,hold,2.0,5.0,0.0,TROT,9.966278076171875
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase.csv --entry-offset 28 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,620.4605997590286,0.02,0.5,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,47,,0,,0,2026-09-01T07:41:14Z,hold,1,0,1,off,0,nan,0.0,contact,off,21.558989,roll,0.92,0.08059947192668915,-0.3462677001953125,hold,2.0,5.0,0.0,TROT,-50.00879669189453
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase.csv --entry-offset 8 --yaw-moment off,115.8949902177934,0.02,0.5263157894736842,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,57,,0,,0,2026-09-01T07:41:14Z,hold,1,0,1,off,0,3.846153846153846,0.0,contact,off,0.0,roll,1.12,0.2335892766714096,0.26589035987854004,off,nan,0.0,0.0,TROT,27.071826934814453
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase.csv --entry-offset 4 --yaw-moment off,107.64506567270254,0.02,0.5038461538461538,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,ok,,,130,,0,,0,2026-09-01T07:41:14Z,hold,0,1,1,off,0,1.5384615384615383,0.0,contact,off,0.0,roll,2.58,0.24233300983905792,-0.1865142285823822,off,nan,0.0,0.0,TROT,-26.085952758789062
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase.csv --entry-offset 12 --yaw-moment off,367.5380401688683,0.02,0.5104166666666666,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,48,,0,,0,2026-09-01T07:41:14Z,hold,1,0,1,off,0,2.6315789473684212,0.0,contact,off,0.0,roll,0.9400000000000001,0.15781430900096893,0.33733925223350525,off,nan,0.0,0.0,TROT,58.00276184082031
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase.csv --entry-offset 20 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,64.0328446336425,0.02,0.540650406504065,rule,0,on,0,heading-only,23.700000762939453,0.032520325203252036,TROT,TROT,FAIL,,,123,,0,,0,2026-09-01T07:41:14Z,hold,1,0,1,off,0,1.2987012987012987,0.0,contact,off,23.7,roll,2.44,0.14253735542297363,-0.10553079098463058,hold,2.0,5.0,0.0,TROT,-9.12707233428955
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase.csv --entry-offset 12 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,363.83158947357015,0.02,0.4946808510638298,rule,0,on,0,heading-only,23.700000762939453,0.1276595744680851,TROT,TROT,FAIL,,,47,,0,,0,2026-09-01T07:41:14Z,hold,1,0,1,off,0,2.6315789473684212,0.0,contact,off,23.7,roll,0.92,0.15539099276065826,0.35109296441078186,hold,2.0,5.0,0.0,TROT,56.53615188598633
