argv,curv_deg_per_m,dt,duty,entry_turn,executed_switches,foot_comp,gate_deferrals,heading,hip_effort_limit_nm,hip_sat_frac,initial,main_skill,main_verdict,max_cmd_jump_rad,min_switch_gap_s,n_steps,pairs,planner_switches,refused_skills,refused_ticks,run_utc,schedule,seg_not_ok,seg_ok,segments,speed_gate,speed_refusals,stride_hz,switch_blend_s,switch_entry,switch_gate,tau_hip_peak_nm,term_reason,terminated_s,vx_mean,vy_mean,yaw_moment,yaw_moment_cap_nm,yaw_moment_gain,yaw_moment_nm,yaw_moment_skill,yaw_rate_deg_s
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 7 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,32.06081028439331,0.02,0.49603174603174605,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,63,,0,,0,2026-09-01T07:42:46Z,hold,1,0,1,off,0,2.272727272727273,0.0,contact,off,13.08396,roll,1.24,0.23754706978797913,0.27167537808418274,hold,2.0,5.0,0.0,TROT,-7.6159515380859375
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 6 --yaw-moment off,15.627579961839102,0.02,0.45394736842105265,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,ok,,,114,,0,,0,2026-09-01T07:42:47Z,hold,0,1,1,off,0,1.6949152542372878,0.0,contact,off,0.0,roll,2.2600000000000002,0.4434475004673004,-0.17467136681079865,off,nan,0.0,0.0,TROT,-6.93001127243042
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 3 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,790.7295604854218,0.02,0.4548611111111111,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,72,,0,,0,2026-09-01T07:42:46Z,hold,1,0,1,off,0,nan,0.0,contact,off,18.59282,roll,1.42,-0.022762082517147064,-0.22759710252285004,hold,2.0,5.0,0.0,TROT,-17.9986515045166
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 1 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,75.81460055988406,0.02,0.5120967741935484,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,62,,0,,0,2026-09-01T07:42:46Z,hold,1,0,1,off,0,nan,0.0,contact,off,12.007127,roll,1.22,0.24437110126018524,-0.34159156680107117,hold,2.0,5.0,0.0,TROT,-18.526897430419922
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 2 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,1147.2931564803196,0.02,0.4897959183673469,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,49,,0,,0,2026-09-01T07:42:46Z,hold,1,0,1,off,0,nan,0.0,contact,off,11.7924595,roll,0.96,0.01472986489534378,-0.4226264953613281,hold,2.0,5.0,0.0,TROT,16.899473190307617
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 5 --yaw-moment off,1516.0951351420188,0.02,0.44029850746268656,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,67,,0,,0,2026-09-01T07:42:46Z,hold,1,0,1,off,0,nan,0.0,contact,off,0.0,roll,1.32,-0.022232668474316597,-0.22463448345661163,off,nan,0.0,0.0,TROT,-33.70684051513672
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 2 --yaw-moment off,1554.7760585172728,0.02,0.485,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,50,,0,,0,2026-09-01T07:42:46Z,hold,1,0,1,off,0,nan,0.0,contact,off,0.0,roll,0.98,0.010531120002269745,-0.41290074586868286,off,nan,0.0,0.0,TROT,16.373533248901367
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 7 --yaw-moment off,7.685050103005607,0.02,0.4153225806451613,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,62,,0,,0,2026-09-01T07:42:47Z,hold,1,0,1,off,0,6.25,0.0,contact,off,0.0,roll,1.22,0.25974348187446594,0.3050766587257385,off,nan,0.0,0.0,TROT,1.9961416721343994
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 1 --yaw-moment off,92.39810866643406,0.02,0.5,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,65,,0,,0,2026-09-01T07:42:46Z,hold,1,0,1,off,0,nan,0.0,contact,off,0.0,roll,1.28,0.25905641913414,-0.3354635536670685,off,nan,0.0,0.0,TROT,-23.936323165893555
--schedule hold --initial TROT --headless --device cpu --heading heading-only --results-csv outputs/yawm/phase32.csv --entry-offset 5 --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,1183.7693777190611,0.02,0.463768115942029,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,FAIL,,,69,,0,,0,2026-09-01T07:42:47Z,hold,1,0,1,off,0,nan,0.0,contact,off,20.894356,roll,1.36,-0.02093973010778427,-0.21012337505817413,hold,2.0,5.0,0.0,TROT,-24.787811279296875
