argv,curv_deg_per_m,dt,duty,entry_turn,executed_switches,foot_comp,gate_deferrals,heading,hip_effort_limit_nm,hip_sat_frac,initial,main_skill,main_verdict,max_cmd_jump_rad,min_switch_gap_s,n_steps,pairs,planner_switches,refused_skills,refused_ticks,run_utc,schedule,seg_not_ok,seg_ok,segments,speed_gate,speed_refusals,stride_hz,switch_blend_s,switch_entry,switch_gate,tau_hip_peak_nm,term_reason,terminated_s,vx_mean,vy_mean,yaw_moment,yaw_moment_cap_nm,yaw_moment_gain,yaw_moment_nm,yaw_moment_skill,yaw_rate_deg_s
--schedule hold --initial TROT --headless --device cpu --results-csv outputs/yawm/probe.csv --heading off --yaw-moment probe --yaw-moment-nm -2.0 --yaw-moment-cap-nm 8.0,74.88408143829062,0.02,0.5,,0,on,0,off,1000000000.0,0.0,TROT,TROT,ok,,,115,,0,,0,2026-09-01T07:29:29Z,hold,0,1,1,off,0,1.4705882352941175,0.0,contact,off,19.41556,roll,2.2800000000000002,0.3230648338794708,-0.20792119204998016,probe,8.0,0.0,-2.0,TROT,24.192413330078125
--schedule hold --initial TROT --headless --device cpu --results-csv outputs/yawm/probe.csv --heading off --yaw-moment probe --yaw-moment-nm -1.0 --yaw-moment-cap-nm 8.0,16.940596944938015,0.02,0.5263888888888889,,0,on,0,off,1000000000.0,0.0,TROT,TROT,ok,,,180,,0,,0,2026-09-01T07:29:29Z,hold,0,1,1,off,0,1.5151515151515151,0.0,contact,off,14.283289,roll,3.58,0.4424760043621063,-0.16204184293746948,probe,8.0,0.0,-1.0,TROT,7.495807647705078
--schedule hold --initial TROT --headless --device cpu --results-csv outputs/yawm/probe.csv --heading heading-only --yaw-moment off,3.2044688992401897,0.02,0.551875,,0,on,0,heading-only,1000000000.0,0.0,TROT,TROT,ok,,,2000,,0,,0,2026-09-01T07:29:29Z,hold,0,1,1,off,0,1.5625,0.0,contact,off,0.0,,,0.662945568561554,0.044927582144737244,off,nan,0.0,0.0,TROT,2.1243884563446045
--schedule hold --initial TROT --headless --device cpu --results-csv outputs/yawm/probe.csv --heading off,7.7935623913068275,0.02,0.546,,0,on,0,off,1000000000.0,0.0,TROT,TROT,ok,,,2000,,0,,0,2026-09-01T07:29:29Z,hold,0,1,1,off,0,1.5625,0.0,contact,off,0.0,,,0.6636368632316589,0.014156749472022057,off,nan,0.0,0.0,TROT,5.17209529876709
--schedule hold --initial TROT --headless --device cpu --results-csv outputs/yawm/probe.csv --heading off --yaw-moment probe --yaw-moment-nm 1.0 --yaw-moment-cap-nm 8.0,6.327805821789561,0.02,0.543,,0,on,0,off,1000000000.0,0.0,TROT,TROT,ok,,,2000,,0,,0,2026-09-01T07:29:29Z,hold,0,1,1,off,0,1.5625,0.0,contact,off,11.790982,,,0.6528981924057007,0.0254030954092741,probe,8.0,0.0,1.0,TROT,-4.131412982940674
--schedule hold --initial TROT --headless --device cpu --results-csv outputs/yawm/probe.csv --heading off --yaw-moment probe --yaw-moment-nm 2.0 --yaw-moment-cap-nm 8.0,24.32367584166158,0.02,0.58,,0,on,0,off,1000000000.0,0.0,TROT,TROT,ok,,,2000,,0,,0,2026-09-01T07:29:29Z,hold,0,1,1,off,0,1.5625,0.0,contact,off,11.474054,,,0.6389166712760925,0.011472093872725964,probe,8.0,0.0,2.0,TROT,-15.540802001953125
--schedule hold --initial TROT --headless --device cpu --results-csv outputs/yawm/probe.csv --heading off --yaw-moment probe --yaw-moment-nm 0.6 --yaw-moment-cap-nm 8.0,1.3110214610278146,0.02,0.542625,rule,0,on,0,off,23.700000762939453,0.0,TROT,TROT,ok,,,2000,,0,,0,2026-09-01T07:31:32Z,hold,0,1,1,off,0,1.5625,0.0,contact,off,11.903964,,,0.6604411602020264,0.028903808444738388,probe,8.0,0.0,0.6,TROT,-0.8658525347709656
--schedule hold --initial TROT --headless --device cpu --results-csv outputs/yawm/probe.csv --heading heading-only --yaw-moment hold --yaw-moment-gain 5 --yaw-moment-cap-nm 2.0,0.01393141631497434,0.02,0.547875,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,ok,,,2000,,0,,0,2026-09-01T07:31:32Z,hold,0,1,1,off,0,1.5625,0.0,contact,off,11.950871,,,0.6638371348381042,0.04386506602168083,hold,2.0,5.0,0.0,TROT,0.009248191490769386
--schedule hold --initial TROT --headless --device cpu --results-csv outputs/yawm/probe.csv --heading heading-only --yaw-moment hold --yaw-moment-gain 10 --yaw-moment-cap-nm 2.0,0.01541666977283338,0.02,0.54725,rule,0,on,0,heading-only,23.700000762939453,0.0,TROT,TROT,ok,,,2000,,0,,0,2026-09-01T07:31:32Z,hold,0,1,1,off,0,1.5625,0.0,contact,off,11.969886,,,0.6636241674423218,0.036770764738321304,hold,2.0,10.0,0.0,TROT,0.01023087464272976
--schedule hold --initial TROT --headless --device cpu --results-csv outputs/yawm/probe.csv --heading off --yaw-moment probe --yaw-moment-nm 0.25 --yaw-moment-cap-nm 8.0,4.499248566043136,0.02,0.547625,rule,0,on,0,off,23.700000762939453,0.0,TROT,TROT,ok,,,2000,,0,,0,2026-09-01T07:31:32Z,hold,0,1,1,off,0,1.5625,0.0,contact,off,11.901833,,,0.6627683043479919,0.022370819002389908,probe,8.0,0.0,0.25,TROT,2.981959342956543
